"speciesID","N.initial","N.cleaned","N.rarefied","N.invasive","N.inv.rarefied"
"acrcri","118859","93440","340","13","3"
"acrtri","1913186","832857","1304","24","9"
"agafis","4887","4297","39","7","3"
"agaper","3811","2629","27","9","3"
"agaros","38103","7214","94","7","2"
"amaama","65339","37674","409","205","40"
"araacu","28651","16974","396","41","11"
"chrpic","5436","965","112","89","27"
"estast","338826","175473","896","953","80"
"estmel","21444","5767","307","58","14"
"esttro","5396","3573","161","80","23"
"eupafe","62030","37576","411","141","34"
"myimon","410993","161261","573","447","88"
"nannen","75422","4004","62","40","12"
"plomel","29226","9524","159","129","28"
"poicep","11359","10763","299","41","17"
"psieup","83165","60783","389","45","11"
"psikra","926383","549339","1017","535","113"
"syrrev","5622","207","55","228","62"
"vidmac","180705","158148","1168","34","8"
