"","lon","lat","PC1","PC2"
"1",34.1375,-2.166194,6.89008140563965,0.793189942836761
"2",34.99715,-3.02012,5.8542947769165,0.528938889503479
"3",34.683838,-2.461279,5.67619609832764,1.1884868144989
"6",36.000137,-3.991328,6.40890789031982,0.249584197998047
"7",35.336494,-1.837492,4.86560440063477,2.08588194847107
"11",35.174618,-3.716,6.63618755340576,-0.43269482254982
"15",35.797386,-3.457154,6.45114612579346,0.0505060404539108
"34",36.608635,-3.341938,6.22255039215088,1.34614062309265
"116",35.81312,-2.670742,6.60970449447632,-0.916469871997833
"119",36.348267,-0.753915,4.61668920516968,1.19169306755066
"132",35.31233,-2.400423,5.27644348144531,0.993538320064545
"190",35.49585,-4.279219,5.41950035095215,0.703442931175232
"268",36.68043,-2.679762,6.07861137390137,0.257085472345352
"290",35.43846,-3.136585,5.19954538345337,0.801928460597992
"306",34.833332,-2,5.86018705368042,1.75751650333405
"334",36.13458,-0.312696,4.87819004058838,1.40536904335022
"343",37.04125,-1.457917,6.13106489181519,-0.0814362317323685
"357",35.207917,-0.124583,5.4600977897644,4.84990835189819
"372",37.481017,-2.690317,6.8893895149231,0.105984605848789
"378",37.25,-0.25,1.97117745876312,7.87819051742554
"515",36.624583,-1.79125,6.16089630126953,0.219789922237396
"525",36.04125,0.625417,6.95701837539673,0.440757066011429
"531",34.707917,-0.04125,5.3083438873291,6.56545972824097
"644",37.125496,-3.335415,7.41202068328857,0.872643709182739
"764",33.595474,-2.359013,6.90018844604492,1.17604291439056
"878",31.369,-2.627,6.21664524078369,1.27591681480408
"1051",35.457917,0.792083,4.470534324646,2.88602018356323
"1236",36.54125,0.292083,5.11379098892212,0.627879858016968
"1237",37.54125,0.125417,5.32790899276733,4.40902853012085
"1364",35.04125,-1.374583,5.28773307800293,2.76365160942078
"1564",35.957917,0.125417,5.76608848571777,1.683718085289
"1888",33.93575,-1.516209,6.72337913513184,2.09827256202698
"2099",34.362087,-1.187018,5.54163646697998,4.73269605636597
"2388",34.28366,-5.28513,7.27004861831665,-0.14202418923378
"2669",33.186577,-4.188804,7.43451547622681,0.151161164045334
"2819",33.62533,-3.504167,7.5403413772583,0.0935605242848396
"2983",32.90271,-2.592352,6.70995664596558,1.5887987613678
"3178",36.420364,-3.7787,6.07329320907593,0.458371698856354
"3309",36.942516,-3.766967,6.80618381500244,0.449186772108078
