"","lon","lat","PC1","PC2"
"1",36.021698,-3.770492,6.95309782028198,0.739967465400696
"3",36.48401,-3.410442,6.81550121307373,0.521102070808411
"8",34.944077,-7.406877,7.210693359375,1.92905008792877
"11",35.005188,-4.01496,6.46925258636475,0.725622594356537
"79",34.996861,-3.020098,6.30505847930908,0.311265677213669
"81",36.6,-7.35,7.19184255599976,-1.38213074207306
"108",37.249313,-3.314953,7.65252447128296,-2.41562747955322
"109",35.75,-6.18,7.38857841491699,1.16538023948669
"161",35.319722,-5.98,7.74512004852295,1.41356074810028
"167",35.46936,-2.986927,6.69048166275024,1.91833531856537
"173",36.17157,-4.33144,6.92532205581665,1.09982264041901
"194",36.75,-2.75,6.884840965271,1.68742525577545
"195",37.75,-3.25,7.41736698150635,0.28083124756813
"214",34.8131,-6.275654,7.32235288619995,1.5588995218277
"217",34.570038,-7.906901,7.51730823516846,1.32869243621826
"223",35.986343,-7.136969,7.53543996810913,1.31705176830292
"244",36.879032,-3.71364,7.43639802932739,1.09531033039093
"398",35.831684,-4.840474,6.78116703033447,0.573111951351166
"400",36.339783,-6.306518,7.10439300537109,0.980467081069946
"901",35.618893,-7.724678,6.78884124755859,1.05721986293793
"1094",35.30455,-4.51871,6.14871025085449,0.607097804546356
"1477",37.12949,-7.328644,7.84333038330078,-2.09107851982117
"1585",34.07623,-8.704616,7.85789203643799,0.389200240373611
"1720",35.437172,-8.511714,6.06513261795044,-2.43141770362854
"2131",33.648483,-8.215313,7.19185590744019,-0.14159944653511
"2146",34.7407,-4.811892,6.93633604049683,1.06087362766266
"2179",36.659855,-8.276681,8.45688629150391,-4.11347198486328
