"","lon","lat","PC1","PC2"
"2",76.473,12.47999,2.18440198898315,1.61392676830292
"4",74.00897,15.533911,6.3921012878418,2.29870963096619
"8",77.517044,27.178883,1.30958068370819,4.12789344787598
"9",88.47504,22.601685,2.91637325286865,2.05434846878052
"10",94.86366,21.172066,2.03157114982605,2.67000293731689
"14",96.56592,20.650856,1.52923631668091,1.23205316066742
"15",78.94004,29.30765,2.56895208358765,2.92407250404358
"18",76.00835,22.765211,2.02461743354797,3.80651164054871
"19",76.67932,10.118474,7.01651477813721,-1.48179650306702
"21",77.336945,12.884829,2.18172407150269,1.97647929191589
"22",77.30637,28.56687,1.5732102394104,3.61378455162048
"24",76.17894,10.545555,7.23463773727417,-1.19608986377716
"27",72.4282,23.033455,2.0140597820282,4.0633864402771
"31",77.02137,12.055552,2.27956700325012,1.88354623317719
"33",73.02342,18.933811,6.1367359161377,2.44781446456909
"38",100.811874,13.741719,3.80138039588928,1.453533411026
"41",81.79321,28.07198,2.25273132324219,2.85147285461426
"49",98.95334,18.839851,2.26631903648376,2.15215945243835
"55",106.99087,-6.747976,4.96284675598145,-5.23836231231689
"57",87.303116,23.476059,2.30404567718506,2.69012069702148
"59",84.54093,27.4847,2.7175076007843,1.74222040176392
"61",84.03651,27.530115,3.50855588912964,2.28023552894592
"62",105.04677,12.399615,3.83413481712341,1.27363872528076
"66",83.276535,27.490305,2.59656262397766,2.99956846237183
"67",100.9259,14.506485,3.34353542327881,1.90851712226868
"74",81.2384,28.469296,3.06107521057129,2.64427495002747
"75",103.96302,13.600442,3.29342818260193,1.71243453025818
"76",104.902954,12.860004,3.57943844795227,1.55995845794678
"78",103.30131,13.868766,3.23393702507019,1.91679406166077
"82",106.03695,12.464067,3.94466137886047,1.15766572952271
"84",104.56598,14.11277,3.48527097702026,1.86968743801117
"87",84.00696,21.450512,3.04541611671448,3.2732515335083
"92",107.611084,-6.904614,4.22272157669067,-1.4865311384201
"94",77.98096,21.555285,2.11123967170715,3.34798312187195
"96",106.8207,-6.3113,6.01568603515625,-2.21260285377502
"99",73.75097,18.642235,2.23566794395447,2.90011405944824
"100",104.44263,13.022413,3.38449907302856,1.67293226718903
"104",100.092896,20.303328,3.24658703804016,1.99801206588745
"106",106.66666,10.75,4.10675764083862,1.12265539169312
"117",103.406111,23.361944,1.3250013589859,0.865261375904083
"119",101.083333,22.766667,1.70476913452148,0.607744932174683
"122",102.406111,23.361944,1.92418801784515,1.19969081878662
"132",72.98442,21.809292,2.33513951301575,3.85898518562317
"134",80.5957,22.29545,2.31631398200989,3.10752105712891
"142",85.281975,27.648712,1.94404149055481,1.18368911743164
"143",100.21201,15.714157,3.12460613250732,2.08540105819702
"156",78.12,30.25,2.50008487701416,2.33065462112427
"170",79.04166,10.970474,3.18963360786438,1.55984270572662
"189",79.113756,13.132791,2.59535431861877,1.90698039531708
"192",81.920301,20.8706,2.63297367095947,3.40249419212341
"193",102.09711,18.21071,3.05390214920044,1.8564145565033
"200",82.607122,18.608268,2.52837014198303,1.99053823947906
"203",96.013711,21.835213,1.98042368888855,2.53850388526917
"205",73.0268,20.1778,5.2694787979126,3.10369968414307
"211",79.657013,21.177658,2.56378722190857,3.46075129508972
"212",91.869131,24.20092,3.52529668807983,1.25005257129669
"217",96.385245,25.222559,3.67198157310486,1.26445770263672
"222",74.773888,18.108783,1.76455819606781,2.89170813560486
"226",77.875718,12.782612,2.06783318519592,1.89545917510986
"232",78.146014,11.664325,3.11912870407104,1.85903882980347
"233",72.804835,19.458078,4.55987119674683,2.57968235015869
"234",101.272978,14.096628,3.66453456878662,1.718416929245
"245",81.868875,21.406028,2.64678859710693,3.59434723854065
"252",74.658811,25.335164,1.22919380664825,3.99792265892029
"276",125.577095,-8.606795,3.75748419761658,0.100201778113842
"286",93.357926,26.6347,3.29422879219055,1.22476994991302
"290",77.450059,23.131536,2.42262578010559,3.88776993751526
"291",80.16422,21.562553,2.8588240146637,3.56974148750305
"293",74.72382,19.127224,1.53834176063538,3.07648611068726
"295",95.39152,27.26448,3.58667039871216,0.648969054222107
"301",74.57657,32.83265,1.56619465351105,2.94204831123352
"303",78.43663,13.642734,1.89045333862305,2.0335841178894
"305",78.02968,29.378183,1.84474813938141,3.33011269569397
"306",74.5719,16.832209,1.95834469795227,2.50705027580261
"307",80.88172,21.294168,2.52175831794739,3.46798253059387
