"","lon","lat","PC1","PC2"
"306",-2.37527,57.4558,0.480287313461304,-2.86232233047485
"308",-3.37527,56.0391,0.750478684902191,-2.75965690612793
"310",-2.9586,54.8725,1.13275730609894,-3.00746560096741
"311",-1.4586,54.0391,0.366317421197891,-2.55322289466858
"312",-2.9586,53.7891,1.7107617855072,-3.30321788787842
"314",-1.79193,53.5391,1.85894453525543,-4.48882532119751
"317",-2.54193,53.1225,0.544484674930573,-2.23272085189819
"318",-4.04193,52.9558,2.31291961669922,-4.00221633911133
"319",0.541401,52.9558,0.448348432779312,-2.10930323600769
"333",1.5414,52.7891,0.43001663684845,-2.15526223182678
"337",-2.9586,52.6225,1.28260600566864,-3.28417277336121
"347",0.874734,52.5391,0.442414581775665,-2.07684540748596
"348",-1.2086,52.4558,0.325809061527252,-2.33376622200012
"356",-3.79193,52.3725,3.63475131988525,-6.29657316207886
"366",1.62473,52.2891,0.276133030653,-1.85228371620178
"367",0.124734,52.2058,0.264146000146866,-1.26320099830627
"371",-4.37527,52.0391,2.48736453056335,-4.33890962600708
"373",0.958067,52.0391,0.21848101913929,-1.40819573402405
"376",-0.708599,51.9558,0.434924930334091,-2.02542400360107
"379",-3.37527,51.7058,2.48351001739502,-4.52380132675171
"385",-2.37527,51.6225,1.18877184391022,-2.67655420303345
"387",-0.291933,51.4558,0.60684061050415,-1.52572154998779
"388",-1.04193,51.2891,1.12693917751312,-2.25868225097656
"390",-1.62527,50.8725,1.32261061668396,-2.39407157897949
"392",0.0414006,50.8725,1.34493148326874,-2.25724816322327
"393",-0.791933,50.7891,1.470867395401,-2.36364221572876
"394",-3.79193,50.2891,2.29966855049133,-3.20007252693176
