"","lon","lat","PC1","PC2"
"1348",-3.04193,43.2891,-2.74777269363403,1.8098977804184
"1351",-8.79193,42.0391,-2.20016169548035,3.05127263069153
"1353",0.708067,41.7058,-2.01478266716003,-2.10216426849365
"1356",2.2914,41.6225,-2.00377488136292,-0.393805265426636
"1362",0.291401,41.3725,-1.36524975299835,-2.02771878242493
"1367",-3.54193,40.2891,-1.50911140441895,-2.23026061058044
"1376",-0.291933,39.9558,-1.44750010967255,-1.30120146274567
"1381",-0.875266,39.5391,-2.28057551383972,-1.97295868396759
"1389",-0.791933,38.2058,-0.522336900234222,-1.90709316730499
"1390",-5.29193,37.7058,-0.371255993843079,-1.79087281227112
"1391",-1.04193,37.7058,-0.280366003513336,-2.34599328041077
"1393",-6.04193,37.5391,-0.268666982650757,-1.7487233877182
"1398",-4.4586,36.7891,-0.499984383583069,-1.28954231739044
"1405",-5.37527,36.2058,-0.362529516220093,-0.143843054771423
