"","lon","lat","PC1","PC2"
"1406",1.87473,41.9558,-2.55624294281006,-0.849715054035187
"1409",2.2914,41.6225,-1.95320379734039,-0.466231882572174
"1420",-7.79193,41.2058,-1.76504504680634,1.23975443840027
"1421",0.541401,41.2058,-1.06662130355835,-1.82048618793488
"1422",1.5414,41.2058,-1.55523467063904,-0.655476272106171
"1425",-3.2086,40.7891,-1.80716454982758,-2.13392972946167
"1427",-2.2086,40.7891,-2.24200415611267,-1.5957145690918
"1428",-3.79193,40.5391,-1.54614055156708,-2.09338641166687
"1430",0.374734,40.3725,-0.982397794723511,-1.0913827419281
"1434",-3.29193,40.2891,-1.51638996601105,-2.17531967163086
"1436",-5.04193,40.0391,-1.16645061969757,-2.11719989776611
"1438",-0.0419328,39.9558,-0.84521758556366,-1.17143023014069
"1440",-0.541933,39.5391,-0.782352089881897,-1.34585392475128
"1443",-5.54193,39.0391,-0.871251702308655,-1.62494575977325
"1444",-0.291933,38.9558,-1.0617151260376,-1.93429660797119
"1446",-1.2086,37.9558,-0.229026272892952,-2.22126364707947
"1447",-4.79193,37.7891,-0.279904693365097,-1.92632496356964
"1451",-5.79193,37.6225,-0.197773694992065,-1.63385403156281
"1461",-6.12527,37.2058,-0.284308016300201,-1.25724852085114
"1467",-4.79193,37.1225,-0.535461902618408,-1.48111915588379
"1473",-4.37527,36.7891,-0.705601036548615,-1.22035598754883
"1481",-3.4586,36.7058,-0.395108222961426,-1.50306475162506
"1484",-5.29193,36.2891,-0.378713816404343,-0.19372832775116
