"","lon","lat","PC1","PC2"
"1",-57.051765,-19.32006,6.4686541557312,0.380699664354324
"2",-58.264618,-24.854042,4.49425745010376,1.24976980686188
"3",-60.666504,-21.93795,5.05008745193481,3.06472969055176
"5",-56.69135,-16.456923,6.86389207839966,0.55910986661911
"7",-57.748947,-25.249819,4.69109725952148,-0.521013259887695
"10",-55.863045,-16.345982,6.88403415679932,0.547611653804779
"11",-59.139404,-23.150461,4.5306077003479,2.25645709037781
"12",-59.73198,-22.518265,4.69979763031006,3.26558685302734
"21",-58.14583,-20.133635,5.89670085906982,1.16484713554382
"38",-57.996389,-22.993333,5.19932842254639,0.578491926193237
"43",-57.787285,-18.96875,6.20403146743774,1.11098313331604
"59",-60.31374,-24.369772,4.42895412445068,2.52852416038513
"64",-56.92916,-17.11743,6.71001434326172,0.667443037033081
"67",-58.513,-23.826117,4.70233154296875,1.65520131587982
"71",-59.95,-22,4.88714981079102,3.26170539855957
"87",-57.20581,-18.625425,6.56552505493164,0.742567181587219
"92",-57.869797,-21.039005,5.61566925048828,0.977485358715057
"103",-57.742131,-21.700682,5.60127973556519,0.462576508522034
"104",-58.190021,-25.606105,4.4116644859314,0.0576116554439068
"114",-57.427969,-17.675059,6.64299154281616,0.707601726055145
"117",-57.882708,-22.26257,5.44102191925049,0.383850574493408
"155",-58.283333,-26.516666,4.48720836639404,-0.598887920379639
"157",-57.013786,-24.278982,5.65626192092896,-0.640389561653137
"192",-58.965572,-22.605354,4.76247549057007,2.30120062828064
"203",-57.487362,-25.673077,4.61944913864136,-1.45014572143555
"236",-57.52259,-19.43288,6.22835063934326,0.599164366722107
"238",-58.433147,-22.497639,5.06891107559204,1.47050893306732
"285",-58.275436,-24.25929,4.67278623580933,1.42504441738129
"288",-59.81739,-24.696655,4.44694519042969,2.07307744026184
"385",-58.716217,-26.979988,4.49380302429199,-0.442999333143234
"390",-57.45,-24.883333,5.03915548324585,-0.486960172653198
"417",-57.166668,-22.416666,5.52868556976318,-0.39056584239006
"551",-60.34177,-22.355356,4.96618270874023,3.12426948547363
"679",-60.667473,-21.1005,4.81365299224854,3.48662495613098
"721",-59.83,-23.85,4.49935817718506,2.55957269668579
"808",-57.38646,-23.342773,5.35728931427002,-0.100081399083138
"849",-58.914223,-27.44403,4.38627052307129,-0.631075918674469
"1047",-57.640476,-27.341805,4.07776260375977,-1.19104206562042
"1072",-56.618824,-18.988226,6.7097601890564,0.14335298538208
"1111",-59.045235,-19.402214,5.69997024536133,1.81914830207825
"1128",-58.510086,-21.71579,5.13745880126953,1.71111869812012
"1207",-58.884445,-21.07,5.27118968963623,2.19300150871277
"1328",-57.18566,-25.28159,4.84203958511353,-1.2221907377243
"1438",-57.84609,-16.687624,7.04561519622803,0.532247722148895
"1799",-58.80303,-24.416336,4.50005102157593,1.69104981422424
"1844",-58.366837,-26.030817,4.47337007522583,-0.0696353241801262
"1857",-60.108196,-22.860537,4.58192443847656,3.2725727558136
"1973",-60.8854,-22.617895,4.78345966339111,3.44152212142944
"1985",-57.730106,-26.743526,4.34243726730347,-1.20976781845093
"2075",-58.91784,-25.784391,4.33981275558472,1.05264341831207
"2642",-59.56389,-28.2163,3.74600839614868,0.690576195716858
"2683",-57.17686,-26.104744,4.15498399734497,-1.87346315383911
"2742",-58.03231,-19.434593,6.05382633209229,1.03708028793335
"2929",-59.40195,-19.985914,5.5525860786438,2.52459597587585
"3150",-58.836,-26.247334,4.32048511505127,0.724873661994934
"3249",-58.683,-18.85,6.15485954284668,1.32012212276459
"3543",-59.752224,-21.144167,5.0748724937439,2.98019289970398
"3671",-57.68,-16.07,7.01502418518066,0.733911097049713
"3717",-57.48,-23.93,5.33847522735596,0.15201573073864
"3739",-58.308056,-20.774723,5.58105659484863,1.53904211521149
"3769",-57.55,-22.733334,5.43965148925781,-0.00933305639773607
"3815",-57.76,-24.49,4.88610458374023,0.798818051815033
