"","lon","lat","PC1","PC2"
"2",29.899292,-0.189514,1.04388105869293,2.28620481491089
"3",-16.623308,13.433905,2.93535900115967,1.83319389820099
"4",34.742504,-0.125407,0.250363916158676,3.68816018104553
"6",31.659792,2.190438,1.35061967372894,2.08716106414795
"8",-16.240677,16.397068,2.83549785614014,-1.0370147228241
"9",34.248592,-0.436983,0.561292052268982,2.76965641975403
"15",30.405521,0.404774,0.226598814129829,3.06143760681152
"16",33.796364,-2.267098,1.4552526473999,1.39284586906433
"18",-0.41301,11.06437,2.98358249664307,1.3889137506485
"21",33.192963,0.420464,-0.00869066640734673,3.76732707023621
"22",34.148598,0.384175,0.262616693973541,4.13543748855591
"29",31.755013,-0.31867,0.346996128559113,3.03088235855103
"34",32.03774,0.369931,-0.0028018387965858,3.0414924621582
"39",-16.497002,15.89715,2.59880447387695,-0.534865856170654
"40",32.18582,2.026555,1.06709218025208,2.29995775222778
"47",15.549817,-4.257613,1.62701714038849,2.88290429115295
"48",29.290924,-0.790733,0.557215452194214,2.57199931144714
"54",29.485832,-1.251389,-0.545101463794708,4.14592838287354
"68",29.93869,-1.271517,-0.519308269023895,2.66010093688965
"82",31.700237,1.70419,0.937341153621674,2.61450123786926
"106",-0.806111,10.686944,2.90236377716064,1.74502015113831
"109",30.0586,-1.9493,0.790231287479401,2.36459851264954
"119",30.937716,-0.655131,0.828983128070831,1.48663687705994
"123",29.2575,-1.6949,-0.341543793678284,3.61165881156921
"146",32.633686,0.423227,-0.0257627610117197,3.16697788238525
"148",-15.382233,16.542747,3.16291332244873,-1.59841966629028
"150",38.707626,14.130487,1.11422097682953,0.339718192815781
"151",1.208198,6.117628,2.28716778755188,2.31472063064575
"161",-7.973124,12.633264,3.15968608856201,0.183683708310127
"164",30.931976,1.44946,1.62250983715057,2.21641516685486
"165",34.792328,0.372159,-0.441433697938919,4.88051223754883
"170",31.396332,2.972786,1.35124111175537,1.30719900131226
"171",32.236328,1.074255,0.707293152809143,2.45742988586426
"199",18.595749,4.363223,1.58324694633484,3.44202995300293
"230",-14.794421,13.54523,3.22401976585388,-0.0151911079883575
"233",-17.029955,14.560817,2.75760459899902,0.638117730617523
"268",-13.293231,13.026997,2.92170119285583,0.585316836833954
"274",-16.295244,12.599744,2.87597274780273,3.10602688789368
"277",31.82,3.57,2.17478632926941,1.30045092105865
"296",29.23,-0.17,-2.03059792518616,4.29227256774902
"298",29.77,-2.48,0.630587577819824,2.57057023048401
"307",30.18,-0.85,0.236005514860153,2.22023558616638
"346",29.48,0.62,-0.0026136664673686,4.30737972259521
"354",29.1,-2.98,1.71787238121033,1.43453073501587
"356",29.37,-3.38,1.73713982105255,1.89470040798187
"363",27,-5.38,1.67168533802032,2.44270539283752
