"","lon","lat","PC1","PC2"
"2243",-2.54193,42.3725,-1.38028526306152,-1.00164294242859
"2245",-0.875266,41.6225,-0.924876093864441,-1.72942364215851
"2247",0.624734,41.5391,-0.908513367176056,-2.00214385986328
"2248",2.0414,41.5391,-1.46686458587646,-0.308664411306381
"2255",-3.9586,40.7058,-1.64059495925903,-1.21425664424896
"2259",-3.37527,40.4558,-0.554866969585419,-1.91065359115601
"2261",-0.0419328,39.9558,-0.114409707486629,-0.903290569782257
"2262",-0.375266,39.4558,-0.0181757118552923,-0.828859925270081
"2264",-1.2086,39.2891,-0.539113640785217,-1.8368889093399
"2268",-9.2086,38.7891,-0.0926431566476822,0.241828680038452
"2272",-0.541933,38.2891,0.43357315659523,-1.52243161201477
"2276",-1.12527,37.9558,0.347757071256638,-1.86363804340363
"2277",-4.79193,37.7891,0.471518814563751,-1.65240597724915
"2278",-6.12527,37.3725,0.478065073490143,-1.28139221668243
"2281",-3.54193,37.0391,-0.841632068157196,-1.58055996894836
"2282",-6.29193,36.5391,0.0874731168150902,-0.360825389623642
"2283",-5.62527,36.0391,0.370910495519638,0.35950955748558
