"","lon","lat","PC1","PC2"
"1",-16.623308,13.433905,3.47966384887695,1.87044489383698
"3",-1.894798,9.402673,3.16019606590271,1.50279796123505
"4",0.093384,5.935704,2.59012246131897,2.54250025749207
"5",-4.898014,6.001947,2.36711692810059,2.97401237487793
"28",0.493527,6.533858,2.30269336700439,2.89129686355591
"30",-1.34421,6.68671,2.13697910308838,3.10240364074707
"33",-16.072311,12.882094,3.77762293815613,1.58551609516144
"43",-12.962494,13.020547,3.63995122909546,0.46831288933754
"51",-0.41301,11.06437,3.54368901252747,1.49754917621613
"52",1.486416,11.31967,3.603764295578,1.36955630779266
"75",1.16292,6.983084,2.54516220092773,2.54040670394897
"76",0.584335,8.691675,3.03058695793152,2.60702395439148
"77",0.566397,10.751776,3.57089567184448,1.9723881483078
"81",8.952656,9.885996,2.09418082237244,1.79761445522308
"89",-14.673614,13.525182,3.7461986541748,0.0864733830094337
"104",-7.932129,12.484493,3.67083716392517,0.173660203814507
"112",2.197008,7.777391,2.95540618896484,2.14040994644165
"128",-4.95271,11.08488,3.18074822425842,1.65729439258575
"137",-1.152878,10.86163,3.46746373176575,1.7607833147049
"143",13.91149,8.398809,3.05078649520874,1.30886483192444
"155",-12.433771,14.907889,3.84366154670715,-0.545698881149292
"156",-7.617442,11.817077,3.48212099075317,0.709859132766724
"157",10.531765,9.802573,3.16268682479858,0.837043881416321
"158",7.619528,11.187177,2.92095971107483,0.889483749866486
"175",-15.78,12.3,3.82834458351135,2.70341610908508
"202",7.499843,9.071586,3.13261270523071,2.76643776893616
"204",0.897662,9.184176,3.12586998939514,2.76542782783508
"212",14.277653,10.573179,3.542888879776,0.43680077791214
"213",2.368055,12.448859,3.6388852596283,-0.285677403211594
"214",13.704304,7.133908,2.23195910453796,3.11595106124878
"222",-2.061667,10.395,3.392746925354,1.49319100379944
"223",-5.63,9.45,3.12557458877563,2.48485827445984
"225",-6.52,9.5,3.06680345535278,2.84455442428589
"226",-5.47,10.08,3.04360342025757,2.85192012786865
"227",-16.498718,16.005556,2.89337229728699,-0.361237078905106
"249",16.1574,9.2959,3.50716471672058,0.624852001667023
"250",2.436905,11.298281,3.45923495292664,0.703888416290283
"261",-12.380433,12.5277,3.58344960212708,1.15149652957916
"282",-14.212017,13.313124,3.53624224662781,0.212466418743134
"283",-16.381762,14.680079,3.79278159141541,-0.0985200926661491
"286",-16.559566,12.387527,3.43878769874573,3.63806676864624
"290",9.37455,11.625417,3.24087977409363,0.199154198169708
"291",11.70795,9.208717,3.28038048744202,1.03442454338074
"292",13.37455,10.292117,2.9005274772644,0.878610730171204
"294",11.29125,11.708717,3.34230446815491,-0.598299562931061
"295",8.29125,8.958717,2.93948936462402,3.62591505050659
"298",1.503531,9.823406,3.22519850730896,2.49753665924072
"300",1.412651,10.308363,3.22639751434326,2.32434320449829
"342",-16.738386,12.98416,3.46933889389038,2.89290738105774
"354",9.62455,7.958717,3.24271082878113,2.47539472579956
"356",3.402245,10.4287,3.08659696578979,1.95358681678772
"357",-15.73,15.51,3.73317527770996,-0.764474868774414
"361",3.17285,11.709263,3.64133191108704,0.33357098698616
"362",4.45795,11.625417,3.56866478919983,0.31450030207634
"364",8.95795,8.542117,3.17733931541443,2.7916111946106
"365",9.87455,11.875417,3.459885597229,-0.159429848194122
"372",13.20795,11.708717,3.3575644493103,-0.685074031352997
"378",8.62455,12.792117,3.29726910591125,-0.785033106803894
"390",10.87455,11.208717,3.27712750434875,-0.0554207339882851
"395",9.45795,12.125417,3.41366338729858,-0.358062535524368
"400",10.04125,10.125417,2.97376537322998,0.814896643161774
"401",9.95795,7.208717,3.05789256095886,3.27536582946777
"405",9.20795,9.292117,2.07450127601624,2.64429783821106
"407",6.87455,9.875417,3.14522385597229,2.46229696273804
"409",10.04125,10.958717,3.16187381744385,0.343232691287994
"411",11.45795,9.625417,3.26355624198914,0.863835334777832
"417",3.62455,8.542117,2.65815615653992,1.94546627998352
"420",7.875417,12.20795,3.0755078792572,-0.038927935063839
"421",6.54125,6.875417,2.87316155433655,3.12600231170654
"428",4.54125,9.792117,3.10728287696838,1.77562487125397
"437",7.45795,10.458717,3.03810024261475,2.47870755195618
"445",6.54125,9.542117,3.39157557487488,2.15030860900879
"453",8.87455,11.708717,3.14697813987732,0.30351847410202
"457",11.12455,10.292117,3.0506579875946,0.552676558494568
"461",8.45795,8.458717,3.28519129753113,2.50224137306213
"463",5.45795,10.292117,3.22595238685608,2.02435278892517
"468",9.54125,9.958717,2.84190130233765,1.17671573162079
"470",9.87455,12.542117,3.60640740394592,-0.871250867843628
"478",11.87455,11.625417,3.32489085197449,-0.578399658203125
"482",8.54125,7.708717,3.11356496810913,2.31599903106689
"488",8.54125,9.375417,2.93493890762329,3.45636630058289
"489",10.79125,12.792117,3.50291132926941,-1.42239332199097
"496",5.45795,9.125417,3.12564277648926,2.00486040115356
"498",9.54125,8.708717,3.20996046066284,2.46243834495544
"499",6.54125,12.458717,3.27146005630493,-0.174301907420158
"500",5.70795,9.875417,3.20685124397278,2.11266779899597
"503",6.70795,7.792117,2.87718391418457,2.26783919334412
"510",9.37455,10.875417,3.0518581867218,0.681978940963745
"517",3.95795,9.792117,3.09306502342224,1.60204434394836
"525",12.70795,9.208717,3.34584188461304,0.838312208652496
"526",8.62455,11.042117,2.94467711448669,0.821866571903229
"530",9.20795,7.375417,3.10335469245911,2.89030337333679
"553",4.45795,12.542117,3.429607629776,-0.117942430078983
"563",4.54125,8.375417,2.70921421051025,2.14923453330994
"568",11.04125,7.792117,3.05002498626709,2.96692895889282
"576",10.70795,11.958717,3.44033551216125,-0.64850240945816
"583",7.95795,7.458717,2.90465617179871,2.73188829421997
"607",3.87455,7.375417,2.77204203605652,2.74109721183777
"612",10.29125,12.208717,3.55808329582214,-0.662906885147095
"614",11.29125,8.792117,3.15833878517151,2.23722910881042
"622",11.04125,9.292117,3.2906858921051,1.06933891773224
"633",11.29125,10.875417,3.21343898773193,-0.0162279866635799
"645",1.128721,10.817705,3.5998637676239,1.78603625297546
"646",15.081111,10.233889,3.63325142860413,1.0060076713562
"647",-5.481282,6.926591,2.30407643318176,2.50843167304993
"648",-10.9898,10.8661,3.15756011009216,1.82339215278625
"696",-16.628962,14.146033,3.63771319389343,0.84020870923996
"804",2.332322,9.555494,3.13931035995483,1.87283790111542
"805",2.83381,10.633546,3.22560667991638,1.79382371902466
"1105",-0.565789,6.252469,1.38744723796844,4.07897281646729
"1110",9.3124609,6.6213363,2.72950124740601,4.28812456130981
"1199",1.003865,6.338566,2.39358067512512,2.44485926628113
"1237",-1.48248,8.766207,3.19614195823669,1.71253192424774
"1238",-14.64072,11.959838,3.77748537063599,2.86276578903198
"1242",-13.663216,13.776859,3.45946669578552,0.134711802005768
"1271",-16.471153,15.343109,3.38465404510498,-0.132655277848244
"1308",-1.507321,12.307508,3.52261662483215,0.0540947020053864
"1328",-0.778475,12.046119,3.67804098129272,0.268717736005783
"1345",-15.584117,11.856554,3.95954489707947,3.54479837417603
"1377",2.249451,7.049446,2.86863780021667,2.00497436523438
"1389",0.444593,10.289113,3.35873532295227,1.91460156440735
"1402",-0.171747,5.56832,2.74976301193237,2.12482213973999
"1463",-15.981801,18.103315,2.96088218688965,-1.55332612991333
"1493",-4.669478,12.060866,3.23298358917236,0.567608296871185
"1520",-4.980293,12.751403,3.30444288253784,-0.0928845778107643
"1537",-13.377443,13.348738,3.46743607521057,0.29950949549675
"1589",-5.932121,9.82143,3.15338897705078,2.50637650489807
