"","lon","lat","PC1","PC2"
"1",80.33,21.97,2.33928656578064,-0.771673679351807
"2",76.63,28.23,1.55551528930664,2.14043879508972
"3",-5.63,9.45,2.98589515686035,-1.53628289699554
"5",78.03,30.32,1.5546452999115,-2.65387654304504
"6",81.6,20.72,2.30283951759338,0.0648574680089951
"11",93.402136,26.580762,1.20483529567719,-3.43061065673828
"12",81.202117,6.185798,2.69041442871094,-2.30989003181458
"14",77.51865,27.165057,1.68764841556549,1.74423170089722
"16",84.470272,27.527758,1.82167327404022,-2.42697954177856
"18",87.041481,26.659112,1.75918304920197,-1.56177055835724
"19",85.310724,27.713626,0.362587541341782,-2.51561903953552
"20",77.241422,28.654156,1.31756103038788,1.21367847919464
"21",72.892052,19.221214,3.95317363739014,-4.37909555435181
"23",80.116657,6.139305,1.57939469814301,-8.83737659454346
"24",76.658183,12.307964,2.04396533966064,-0.0537745617330074
"26",77.58374,12.947613,1.81646597385406,-0.0334748886525631
"27",80.90431,26.873769,1.85745084285736,0.907330930233002
"28",77.637127,8.260412,2.91705560684204,-1.73702824115753
"30",77.393434,23.19055,2.47893834114075,0.382472336292267
"31",72.618084,22.552164,2.50502800941467,1.29673874378204
"33",73.171575,22.301501,2.84122562408447,0.903707921504974
"34",83.253753,21.567527,2.44559907913208,-0.101223431527615
"35",75.861266,21.168023,2.53983616828918,1.23706960678101
"38",88.2906,22.559201,2.04812407493591,-1.47992300987244
"42",77.865077,12.391102,1.41882431507111,-0.268702387809753
"43",76.340486,10.051687,4.24371719360352,-7.8365044593811
"44",74.643723,24.891415,1.99356484413147,1.51560115814209
"46",75.94774,11.253827,4.63271379470825,-8.26374626159668
"47",76.988763,14.265339,2.31991362571716,1.03184187412262
"48",79.551477,17.991701,2.43063855171204,0.383797198534012
"49",79.02185,13.763331,2.07859110832214,0.350801020860672
"51",80.701767,16.663225,2.60125970840454,-0.00510213943198323
"52",80.506527,7.565334,1.72060346603394,-5.72134923934937
"54",76.779418,30.733488,1.34979212284088,0.196661531925201
"59",70.05773,22.470702,2.25204253196716,1.15054416656494
"60",79.899475,6.842392,2.35571646690369,-7.07660484313965
"61",80.189477,12.609124,3.05223560333252,-1.55597698688507
"64",76.661371,10.784459,3.84924960136414,-4.93851709365845
"66",75.971538,32.184918,1.03853476047516,-2.13338732719421
"68",76.93652,31.709723,0.198955774307251,-2.36419558525085
"72",79.41678,19.25705,2.56267666816711,0.536880254745483
"76",78.42626,17.422672,2.2061071395874,0.645678877830505
"77",78.6553,11.071619,2.84543085098267,-0.390375375747681
"80",75.565254,31.366108,0.977760672569275,1.23165369033813
"82",78.13683,22.580235,2.47388815879822,-0.407013207674026
"83",74.85676,12.860088,4.52567577362061,-7.06250333786011
"84",91.72734,26.168737,1.52304744720459,-2.45011973381042
"85",-1.894798,9.402673,2.9286642074585,-0.713792085647583
"90",76.26696,10.545745,4.36857604980469,-7.55214977264404
"91",76.50752,15.280882,2.25134563446045,0.452080547809601
"92",79.32746,20.137987,2.40638899803162,0.0593329593539238
"95",75.87112,22.697144,2.2537989616394,0.81422746181488
"98",77.32938,17.857702,2.16759014129639,0.774449229240417
"99",72.50358,23.030025,2.52999591827393,1.2654060125351
"101",75.10364,27.380821,1.33921980857849,2.26238107681274
"105",74.97509,15.455851,2.26724767684937,-0.730982780456543
"106",77.40069,16.193611,2.70369434356689,0.748286366462708
"108",79.763664,11.106495,3.03019785881042,-1.94179582595825
"109",77.96856,11.694375,2.73998475074768,-0.301962524652481
"120",77.006,11.615585,1.33184540271759,-0.410921990871429
"122",78.5048,11.604892,2.69076251983643,-0.554040968418121
"129",73.76885,18.375969,2.32265162467957,-0.702414631843567
"131",73.03022,26.230516,1.7515025138855,2.24641442298889
"132",76.565125,9.380412,3.66912889480591,-5.77855062484741
"133",76.437836,26.062107,1.92970967292786,1.32213473320007
"140",72.691124,19.881872,3.43699169158936,-2.34568357467651
"141",92.8537,26.950964,1.71354985237122,-3.79219269752502
"147",90.34798,23.822538,1.94467115402222,-3.10739707946777
"149",78.75236,10.047036,2.76339602470398,-1.08835566043854
"157",77.162476,21.314964,2.16387915611267,-0.745704472064972
"163",70.57244,21.189066,2.67064261436462,0.0845685675740242
"166",43.15481,11.543271,2.26568508148193,1.24761259555817
"167",77.30815,11.137419,2.63912868499756,-0.0449921153485775
"170",76.01358,17.971285,2.49571204185486,0.96929395198822
"177",78.04215,27.174751,1.46773433685303,1.2314647436142
"181",78.45273,13.632838,1.76997673511505,0.470419675111771
"188",77.84131,13.62237,1.89784073829651,0.538438141345978
"198",83.34552,17.768385,2.31812453269958,-0.72556346654892
"201",90.57909,26.480078,2.70582127571106,-6.03993082046509
"203",78.72902,16.369051,2.26482796669006,0.742906808853149
"207",94.856224,21.132118,2.1186056137085,0.818995416164398
"208",76.09155,11.92091,2.4619083404541,-3.10050344467163
"216",78.02968,29.378183,1.60949611663818,0.397221058607101
"218",85.18906,22.369371,2.15030026435852,-0.382200062274933
"223",76.60141,8.870111,3.41644287109375,-4.70707750320435
"225",76.401436,29.802668,1.16688072681427,1.96615600585938
"227",76.97932,8.448176,2.98700308799744,-3.06498265266418
"231",74.721924,13.483953,5.77225971221924,-11.4098634719849
"237",77.59066,26.59053,2.05045485496521,1.39778566360474
"242",74.83612,34.13076,-2.47627711296082,-0.162844195961952
"256",79.067986,21.155924,2.32561850547791,0.291108071804047
"257",74.41431,27.76809,1.39236915111542,2.66228437423706
"264",86.43752,23.362604,1.98025631904602,-0.190198719501495
"266",79.69332,12.004944,2.92542719841003,-0.75671911239624
"272",70.80974,22.30351,2.29063963890076,1.28351140022278
"273",96.2889,16.735298,3.57741236686707,-3.45910000801086
"286",76.98761,13.339582,1.89948129653931,0.405701547861099
"293",83.96478,28.203041,1.61182284355164,-5.50176858901978
"298",81.38755,18.976439,2.42739629745483,-0.552077174186707
"302",82.13645,22.064404,2.44062685966492,0.0973228886723518
"303",77.73294,27.656273,1.77214229106903,1.73499441146851
"314",74.2084,16.64905,2.58400774002075,-0.701839685440063
"316",78.310936,29.861635,1.28190398216248,-1.56421649456024
"330",77.865776,17.314507,2.32752656936646,0.726910829544067
"334",74.75877,30.663834,0.974787294864655,2.2602059841156
"346",74.91833,25.622707,1.94616007804871,2.05464816093445
"353",88.78492,22.105268,2.03659725189209,-2.22038984298706
"354",69.31515,23.582237,2.34680891036987,2.17537522315979
"358",75.5122,13.835828,2.31621479988098,-0.758704304695129
"361",77.750114,8.71803,3.15230250358582,-0.952266573905945
"368",75.905365,26.695267,1.65959894657135,1.79564571380615
"383",79.075294,29.440346,1.35261237621307,-2.11688375473022
"403",76.884964,22.835905,2.48249650001526,0.6964191198349
"411",74.652214,18.991858,1.81603896617889,1.52051723003387
"415",79.15464,27.024323,1.78987991809845,1.26946711540222
"431",75.33533,11.903971,4.880539894104,-8.63112640380859
"437",72.79805,21.190004,2.97579097747803,-0.277271509170532
"444",80.50217,28.503483,1.713005900383,-1.52727055549622
"445",83.187836,24.940617,2.03337931632996,0.521688520908356
"451",73.648476,20.907724,3.27223706245422,-1.66944336891174
"459",76.791794,12.849029,2.02264499664307,0.348634898662567
"460",81.682,21.285,2.52057862281799,-0.0253216009587049
"463",94.27182,26.79205,1.44889199733734,-3.78742742538452
"476",85.84616,20.257849,2.42476153373718,-1.60747027397156
"480",73.683014,24.626556,1.49234199523926,1.4828177690506
"499",79.88241,23.139095,2.32119011878967,0.267439931631088
"504",81.385284,7.301887,2.7563533782959,-4.57721376419067
"515",75.36217,24.636835,2.24890732765198,1.17225897312164
"524",78.587,20.741796,2.4566056728363,0.366538256406784
"552",72.35816,34.75583,-0.799463272094727,0.420771300792694
"555",71.76151,23.283596,2.59215068817139,2.02197766304016
"557",78.190994,9.99944,2.7152202129364,-1.0274623632431
"564",78.159904,11.233604,2.84235310554504,-0.218120485544205
"583",76.62765,28.767176,1.0619250535965,1.88045811653137
"587",87.282295,22.41044,2.14183235168457,-0.844972193241119
"594",79.23911,11.325403,2.7066011428833,-1.00423336029053
"595",76.90606,9.687014,2.83301782608032,-5.99271774291992
"597",76.62793,27.375435,1.43910753726959,1.67436337471008
"605",75.08546,14.135016,3.68349528312683,-4.32521390914917
"634",75.72593,20.494925,2.08291506767273,0.913906335830688
"644",92.02621,21.354939,3.4944863319397,-7.50387716293335
"669",77.04225,20.7051,2.41626906394958,1.24639999866486
"682",-16.998236,14.559931,3.03580808639526,0.650727391242981
"685",79.129974,12.875651,2.36310434341431,-0.361115872859955
"701",79.33436,21.739643,1.98136937618256,0.230111762881279
"704",73.330696,28.041843,1.50919890403748,2.81541872024536
"712",81.05122,6.833642,1.34344792366028,-4.1244068145752
"714",73.90265,23.192911,2.66407108306885,1.01201355457306
"726",79.95024,7.42749,2.29301810264587,-4.77244997024536
"753",88.63178,26.544075,2.75093531608582,-6.69756555557251
"754",87.303116,23.476059,1.89950740337372,-0.202159866690636
"767",73.10241,33.721947,0.249625012278557,-0.0437010489404202
"771",72.872314,27.833788,1.49290812015533,2.88278412818909
"780",78.3609,9.085242,3.34544610977173,-0.586796879768372
"789",-2.061667,10.395,3.06977486610413,-0.572423696517944
"791",80.80512,8.12136,2.86456871032715,-2.99238061904907
"803",-13.376816,13.350513,2.97990989685059,0.684125065803528
"812",21.53,17.23,2.32963752746582,3.2258358001709
"813",18.37,9.13,3.1995861530304,-0.361506223678589
"831",-14.950676,13.642651,3.02600312232971,0.903849720954895
"834",80.621452,5.947048,1.69484961032867,-5.9960823059082
"839",77.21867,10.537391,2.35989093780518,-0.631034076213837
"847",75.70868,12.47714,3.63288497924805,-9.2908763885498
"848",79.79322,12.848814,2.71696472167969,-0.80936062335968
"875",90.36785,26.91003,2.97958588600159,-8.33026313781738
"895",74.574135,31.604763,0.735028088092804,1.7918529510498
"898",75.08962,12.348983,5.35646295547485,-10.320273399353
"920",80.12713,8.225053,2.70328879356384,-2.13830065727234
"945",77.37484,12.282057,2.23308730125427,-0.05122060328722
"947",77.74562,10.493649,2.14834332466125,-0.575506865978241
"959",78.73858,25.49217,2.24017930030823,1.6172342300415
"969",69.76134,23.39473,2.20933508872986,2.43924474716187
"970",79.13902,10.805725,2.49469757080078,-0.728415906429291
"976",77.575226,28.147581,1.63680696487427,1.69938564300537
"987",72.72258,24.590837,2.06570482254028,0.355210304260254
"996",77.041756,19.531239,2.41566157341003,0.486078381538391
"1014",72.88824,18.62758,4.03696346282959,-4.55927419662476
"1023",79.54068,28.4295,1.52472937107086,0.127051502466202
"1025",74.8691,32.719147,1.0326099395752,-0.588155686855316
"1074",85.460785,27.123314,1.86144638061523,-2.88816475868225
"1096",77.341866,13.652569,2.07946491241455,0.599203765392303
"1103",72.184282,32.579642,-0.128133505582809,1.70820260047913
"1106",68.271937,27.427874,1.37341105937958,3.64151239395142
"1119",74.748964,16.220916,2.17989945411682,-0.291769117116928
"1123",74.803289,18.265524,2.03387141227722,1.13946616649628
"1159",75.89098,14.455792,1.98642086982727,0.355231255292892
"1185",96.09325,21.957384,1.92688047885895,0.598330914974213
"1226",70.42693,21.760191,2.36679172515869,0.976161956787109
"1241",78.17389,19.599104,2.50749897956848,0.43103876709938
"1258",82.65767,19.886295,2.41796731948853,-0.252144247293472
"1290",73.79787,17.92321,2.57137632369995,-1.8216438293457
"1309",79.79512,21.198235,2.40772676467896,-0.112713664770126
"1313",92.797485,24.757193,1.8948962688446,-3.72150349617004
"1354",81.32679,16.810717,2.70219159126282,-0.443464726209641
"1357",79.59377,13.74811,2.6227502822876,-0.47969189286232
"1377",75.27499,31.88685,0.800934731960297,1.03404307365417
"1390",81.01825,23.690413,2.0661997795105,0.442600458860397
"1406",75.97511,30.987522,0.906345903873444,1.16955626010895
"1441",78.64281,12.584343,2.10323333740234,-0.190223008394241
"1447",82.30996,16.584824,2.70470476150513,-0.999523639678955
"1452",78.14644,28.495247,1.66135394573212,1.04178738594055
"1460",81.71502,17.599358,1.87292301654816,-0.930634737014771
"1467",82.22683,18.956947,1.9983389377594,-1.14864838123322
"1471",79.04064,12.274451,2.57886409759521,-0.676569998264313
"1532",90.36004,22.708132,2.00729298591614,-3.18216061592102
"1538",81.09309,22.331972,1.7238107919693,-0.0974987149238586
"1547",87.57857,21.894573,2.09475159645081,-1.49960613250732
"1551",80.76193,21.187475,2.4672257900238,-0.171063452959061
"1553",75.70131,15.943681,2.14308619499207,0.331824690103531
"1555",73.47477,16.166246,4.45638370513916,-4.7350172996521
"1558",73.18011,17.74829,5.08069229125977,-8.30985927581787
"1591",88.094696,23.685974,2.04261994361877,-0.670225262641907
"1619",79.95455,8.94079,3.03747010231018,-1.84439146518707
"1640",77.791626,20.919605,2.5197913646698,0.832349836826324
"1677",67.023415,24.876648,1.80056715011597,2.0610716342926
"1722",79.57239,28.972847,1.9554557800293,-0.785894989967346
"1726",76.48139,21.394167,2.52729678153992,0.847903609275818
"1778",79.049934,14.735321,2.68839716911316,0.444091200828552
"1801",78.335526,13.021283,1.82716774940491,0.390778213739395
"1843",78.43861,12.132684,2.49910378456116,-0.348829597234726
"1853",80.23193,26.509367,1.98119866847992,1.32226896286011
"1855",88.537445,22.955074,1.91344165802002,-1.07712042331696
"1890",77.17162,25.740969,1.97173345088959,1.68197512626648
"1891",75.774506,13.317801,2.34506130218506,-1.70778357982635
"1939",81.76351,16.610413,2.69633221626282,-0.638627409934998
"1957",-16.029673,12.623937,3.3301739692688,-1.10135173797607
"1960",74.18872,17.296242,2.10732650756836,0.561586201190948
"1971",73.27865,23.997133,2.27666568756104,1.0069100856781
"1974",80.59364,22.364824,1.90256869792938,-0.433673590421677
"2024",74.164444,22.478352,2.55482912063599,0.79404890537262
"2034",88.26814,24.110922,1.89818298816681,-0.69676148891449
"2046",75.68732,16.867706,2.39470458030701,0.518132090568542
"2069",78.34825,14.084274,2.27350878715515,0.690822005271912
"2074",76.5202,32.109768,0.129336312413216,-4.3688383102417
"2082",78.56441,26.872225,1.75411832332611,1.32596468925476
"2109",78.247406,27.629164,1.76651549339294,1.37400186061859
