"","lon","lat","PC1","PC2"
"1",102.44694,30.5,-2.64346981048584,0.476371049880981
"2",107.581111,33.338889,0.515437006950378,2.46462035179138
"11",102.9081,28.665,-0.460089474916458,0.611608743667603
"12",106.55,29.15,3.1615936756134,2.46984171867371
"13",114.369705,32.00961,2.04528331756592,2.97504067420959
"15",104.8,27.683333,1.69307589530945,1.99356257915497
"16",108.75,28.85,2.86785006523132,1.82150721549988
"17",107.066667,28.4,2.04972362518311,1.79047083854675
"18",106.033333,27.033333,2.56363749504089,2.15303492546082
"20",104.1,27.016667,1.23411619663239,1.60055768489838
"22",107.716667,29.883333,3.47625112533569,2.7016487121582
"23",108.033333,32.066667,1.8316445350647,2.84109425544739
"24",109.3,32.3,1.25175023078918,2.48475432395935
"25",108.033333,30.3,3.60596585273743,2.65133833885193
"28",108.25,33.05,0.982746422290802,2.85568332672119
"29",107.25,27.8,2.20165157318115,1.98499608039856
"31",109.1,29.6,2.94300985336304,1.71089279651642
"32",109.5,31,2.93944716453552,2.63059639930725
"33",108.6,31.9,0.947035193443298,1.75357341766357
"35",118.75,34.533333,1.20820581912994,4.10532855987549
"37",113.4,32.35,1.51931190490723,3.15023970603943
"41",103.716667,27.316667,1.61611604690552,2.29003930091858
"43",108.833333,27.666667,2.7709219455719,1.96671915054321
"44",106.9,27.166667,2.56203150749207,2.23163795471191
"45",103.25,27.533333,1.92603766918182,2.21769905090332
"47",106.783333,26.466667,2.6611545085907,1.96557104587555
"49",106.158333,28.258333,2.26134371757507,2.08271765708923
"53",107.966667,32.566667,0.920994818210602,2.20769023895264
"54",109.133333,28.166667,3.17217993736267,2.09583282470703
"56",108.533333,32.516667,1.55385422706604,2.84322619438171
"57",106.8,32.3,2.17752194404602,3.17830491065979
"62",107.166667,29.116667,2.48217225074768,1.9329833984375
"64",109.716667,28.316667,3.66178178787231,2.32331395149231
"65",107.416667,27.25,2.37706232070923,2.02446174621582
"67",106.2,27.466667,2.49230647087097,2.23787522315979
"69",108.4,30.816667,3.5038685798645,2.89902305603027
"72",116.9,31.4,2.91207385063171,2.65354180335999
"73",105.4,28.166667,3.2626473903656,2.40486860275269
"75",106.7,27.9,2.10602116584778,2.05987977981567
"77",106.25,32.833333,1.01671540737152,2.61054015159607
"79",108.216667,29.283333,2.92359209060669,1.96169793605804
"84",104.7,27.116667,1.88880848884583,1.84075844287872
"87",105.3,27.316667,2.04249143600464,1.93770492076874
"93",107.75,33.8,-1.19764459133148,1.56362926959991
"96",107.3,34.066667,-1.12004947662354,1.99011981487274
"107",109.5,31.8,1.25823247432709,2.08389806747437
"111",116.483333,31.75,2.15872669219971,2.66020369529724
"119",105.5,33.1,-0.140408143401146,2.17202091217041
"122",115.4,31.8,2.49043703079224,2.78757095336914
"132",108.85,30.3,2.35376310348511,1.52356791496277
"135",109.3,32.8,1.31220543384552,3.07065367698669
"141",108.233333,27.933333,2.77447843551636,2.1845178604126
"160",108.991667,33.766667,-0.732780814170837,2.00109958648682
"198",107.533333,32.233333,1.52013218402863,2.46501708030701
"206",113.314624,34.209603,0.428757071495056,4.24638986587524
