"","lon","lat","PC1","PC2"
"1",36.021698,-3.770492,-7.62465000152588,4.04630136489868
"3",36.48401,-3.410442,-3.43269300460815,6.163818359375
"8",34.944077,-7.406877,-8.48526191711426,2.95717144012451
"11",35.005188,-4.01496,-10.2475500106812,1.62907326221466
"79",34.996861,-3.020098,-11.146502494812,0.749820053577423
"81",36.6,-7.35,-9.08036422729492,2.99353551864624
"108",37.249313,-3.314953,-7.51412153244019,4.59706211090088
"109",35.75,-6.18,-3.82567715644836,6.07208013534546
"161",35.319722,-5.98,-6.19398021697998,5.68926334381104
"167",35.46936,-2.986927,-9.28527355194092,2.03387260437012
"173",36.17157,-4.33144,-10.5152750015259,1.83415234088898
"194",36.75,-2.75,-10.3545227050781,1.94314277172089
"195",37.75,-3.25,-10.5364418029785,2.67668557167053
"214",34.8131,-6.275654,-8.08471012115479,4.09746170043945
"217",34.570038,-7.906901,-8.02932548522949,3.77668833732605
"223",35.986343,-7.136969,-7.15442609786987,4.03695869445801
"244",36.879032,-3.71364,-5.29160451889038,3.98754024505615
"398",35.831684,-4.840474,-6.56928730010986,4.13908672332764
"400",36.339783,-6.306518,-4.57878637313843,5.25310754776001
"901",35.618893,-7.724678,-6.50808191299438,4.17330694198608
"1094",35.30455,-4.51871,-6.54998064041138,3.89299726486206
"1477",37.12949,-7.328644,-11.5348711013794,2.37311816215515
"1585",34.07623,-8.704616,-5.90643119812012,5.67604923248291
"1720",35.437172,-8.511714,-4.89130067825317,3.38973999023438
"2131",33.648483,-8.215313,-13.3457527160645,-0.0788521990180016
"2146",34.7407,-4.811892,-4.69794178009033,5.02078008651733
"2179",36.659855,-8.276681,-8.34835624694824,4.8178505897522
