"","lon","lat","PC1","PC2"
"1",18.23885,-26.481905,-9.08388423919678,3.56058478355408
"2",16.006771,-23.893108,-10.5324220657349,2.42634987831116
"3",14.760475,-19.968508,-8.11134910583496,-1.78239488601685
"4",19.303547,-28.741526,-7.02105140686035,5.42840147018433
"6",14.868772,-21.216206,-9.18250560760498,1.33043539524078
"7",15.430572,-20.394007,-7.74145889282227,-1.94507431983948
"8",15.175939,-21.835209,-9.91083431243896,0.966038167476654
"9",19.636087,-28.09665,-8.27160739898682,2.62812995910645
"10",17.244415,-20.513857,-6.94590711593628,-1.6806960105896
"13",17.126055,-22.577223,-6.85927820205688,-1.31455397605896
"14",15.87452,-21.460997,-7.97291564941406,-1.68797278404236
"21",14.262314,-19.756365,-7.29642868041992,-1.47869443893433
"23",21.166534,-29.35824,-8.27564144134521,4.40897130966187
"32",16.170845,-24.44457,-8.75456523895264,3.44132876396179
"33",17.016535,-23.322338,-7.21682596206665,-1.02195084095001
"61",13.245,-17.002,-6.84659433364868,-2.23442625999451
"65",16.821527,-25.889227,-8.77430152893066,3.48240852355957
"66",20.33654,-28.592285,2.95142674446106,1.83059024810791
"69",16.155693,-19.128002,-7.03383827209473,-1.29098606109619
"73",18.488531,-21.459219,-8.16523838043213,-0.929327964782715
"75",14.636297,-19.394413,-8.1651611328125,-1.65994668006897
"86",15.716801,-21.934288,-8.40988445281982,-1.37464165687561
"103",15.76804,-17.783333,-5.30700206756592,-1.62072682380676
"107",13.881332,-17.354197,-6.81017732620239,-2.33613514900208
"113",17.960482,-24.626192,-1.31799829006195,-0.435937762260437
"136",16.294228,-24.936197,-8.04392433166504,1.97214448451996
"138",14.74183,-20.438782,-7.9826021194458,0.0699639618396759
"143",17.591944,-22.44332,-7.00780057907104,-1.60452747344971
"165",12.666667,-15.016667,-8.28630256652832,-2.77061462402344
"166",13.266667,-14.95,-2.01924848556519,-3.29537868499756
"177",18.13,-22.7,-7.44726943969727,-1.27405214309692
"213",20.985528,-28.729206,-0.509892821311951,1.49371302127838
"217",17.265345,-19.640722,-7.49083757400513,-2.22489356994629
"235",16.957917,-22.124583,-7.33974361419678,-2.02583694458008
"236",18.957917,-22.707917,-9.08484172821045,-0.350970983505249
"240",17.874583,-24.04125,-8.4765043258667,0.00952021311968565
"241",17.54125,-23.374583,-8.35078144073486,-0.893070876598358
"279",16.54125,-21.04125,-4.10371017456055,-2.44129824638367
"305",18.457917,-22.29125,-8.5181713104248,-0.801298379898071
"322",18.54125,-27.374583,-8.75281620025635,3.23188447952271
