"","lon","lat","PC1","PC2"
"1",107.54088,33.59253,-2.38189911842346,-0.927793085575104
"2",103.18016,31.005863,-0.598042368888855,-0.23299252986908
"5",104.788284,32.60294,-0.310202687978745,-0.00445728469640017
"11",111.284722,30.714444,1.33310973644257,-1.26481556892395
"15",102.5,30.5,1.86901044845581,2.07176995277405
"30",106.6167,26.4422,-1.25668489933014,-3.11651587486267
"33",102.9081,28.665,-3.13834547996521,-0.541015565395355
"35",110.958583,31.087326,-3.90141582489014,-2.52368998527527
"38",110.6156,29.906324,-3.83892345428467,-3.22138047218323
"43",109.773865,29.652567,-5.11804246902466,-3.71573686599731
"49",106.32,28.25,-3.71298694610596,-3.61897540092468
"50",110.2667,31.450941,-0.697688460350037,-0.724245727062225
"53",107.15913,28.22405,-2.03366661071777,-2.31348943710327
"56",104.253845,31.754251,-3.02047514915466,-2.15339064598083
"76",103.887344,32.629208,5.44693851470947,12.000244140625
"95",108.19609,26.378328,-3.59180927276611,-2.84903812408447
"99",107.371994,29.158487,-2.48564887046814,-2.26991295814514
"106",106.95918,34.497643,-3.78263139724731,-0.868363857269287
"108",108.77871,31.625513,-3.40514802932739,-2.20024371147156
"114",107.8818,25.48465,-4.4318699836731,-3.90689897537231
"116",103.73543,31.04545,-4.44506740570068,-3.96765732765198
"118",103.63603,31.525812,-0.288200318813324,0.367341965436935
"119",103.92483,33.123318,4.43893337249756,5.80424690246582
"150",103.01667,29.983334,-1.19623112678528,-4.27097606658936
"169",104.151286,30.54671,-2.18639183044434,-4.09159469604492
"171",103.519997,30.5,-3.15045833587646,-5.65105628967285
"195",108.76415,34.00049,1.17104148864746,-0.209490180015564
"220",108.03389,33.884598,-1.30866706371307,-0.711872160434723
"226",107.28012,31.950674,-2.51005268096924,-3.41439509391785
"230",109.16575,33.10157,0.566100716590881,-1.25878822803497
"307",110.4,29.1,-1.82519900798798,-3.96950435638428
"309",106.4,27.8,-3.15091919898987,-3.34162354469299
"310",107.9,32.5,-0.626276671886444,-2.01747941970825
"311",104.8,27.683333,-4.90971374511719,-3.04795718193054
"312",109.6,25.7,-5.01167392730713,-5.01764011383057
"313",109.7,26.8,-2.9391827583313,-3.72854018211365
"315",108.133333,29.983333,-3.89508986473083,-3.87878203392029
"316",105.4,28.166667,-6.26295709609985,-4.35235357284546
"320",110.3,31,-4.32739019393921,-3.13652157783508
"321",106.5,29.05,-2.99133253097534,-4.44386291503906
"324",110.1,28,-2.56880164146423,-4.27177047729492
"326",106.25,32.833333,-3.29312968254089,-2.06467413902283
"327",107,33,-5.27899980545044,-2.6709201335907
"328",108.2,24.9,-4.76863574981689,-5.5850076675415
