"","lon","lat","PC1","PC2"
"1351",-8.79193,42.0391,3.98251962661743,-0.53866058588028
"1353",0.708067,41.7058,5.10371780395508,3.37996172904968
"1356",2.2914,41.6225,6.5428147315979,3.46506214141846
"1362",0.291401,41.3725,1.43725955486298,1.44045269489288
"1367",-3.54193,40.2891,5.91349315643311,3.91376113891602
"1376",-0.291933,39.9558,1.41121017932892,0.677965402603149
"1381",-0.875266,39.5391,0.296969622373581,1.04581832885742
"1389",-0.791933,38.2058,3.65060615539551,2.71566796302795
"1390",-5.29193,37.7058,6.80570316314697,3.36330437660217
"1391",-1.04193,37.7058,4.33453845977783,2.57717370986938
"1393",-6.04193,37.5391,5.3269362449646,2.92898917198181
"1398",-4.4586,36.7891,0.757140815258026,-0.583648443222046
