"","lon","lat","PC1","PC2"
"1627",4.87473,52.3725,5.56923151016235,1.6710205078125
"1629",5.95807,52.2058,4.53974199295044,1.19524991512299
"1630",4.45807,51.9558,6.47806215286255,1.36424541473389
"1631",-0.291933,51.7058,4.5468430519104,1.22441911697388
"1641",4.7914,51.2058,4.02561235427856,1.09093952178955
"1642",4.0414,50.9558,5.75961637496948,1.36460399627686
"1657",13.3747,46.2891,3.09387874603271,-0.656054139137268
"1658",8.70807,45.7891,5.82163333892822,0.526639521121979
"1659",11.2914,45.7891,1.31510758399963,0.77172589302063
"1660",10.6247,45.3725,3.26324415206909,0.658630311489105
"1661",7.45807,44.6225,3.29867196083069,0.635422587394714
"1662",8.95807,44.6225,4.23819494247437,-0.870809018611908
"1696",10.7081,43.7891,1.82614719867706,-0.553290247917175
"1698",11.1247,43.4558,3.3966224193573,-0.139902293682098
"1700",-1.62527,43.1225,2.07251954078674,-0.989543974399567
"1704",-2.4586,42.5391,2.1970682144165,0.863222479820251
"1712",0.958067,42.2058,2.10777544975281,1.2490074634552
"1713",2.20807,42.2058,2.58052015304565,0.684959053993225
"1717",-0.375266,42.1225,5.42689943313599,0.937649130821228
"1723",-1.62527,42.0391,4.34901523590088,1.10132932662964
"1726",1.5414,41.9558,3.08169198036194,0.740350365638733
"1730",2.7914,41.9558,4.79570865631104,0.139646336436272
"1732",12.4581,41.9558,4.67804908752441,0.484167903661728
"1733",-8.79193,41.8725,1.59549057483673,-1.46432614326477
"1743",-2.4586,41.7891,2.00549554824829,1.72117018699646
"1744",0.541401,41.7891,5.11368036270142,0.889705419540405
"1753",-4.7086,41.7058,6.32824897766113,1.59053313732147
"1754",-1.04193,41.7058,7.43425416946411,1.33415138721466
"1766",2.20807,41.7058,-0.202780976891518,0.0881753489375114
"1795",-6.2086,41.5391,-0.354938954114914,0.425663471221924
"1814",0.291401,41.3725,-1.32830798625946,0.824703633785248
"1815",1.62473,41.3725,-1.13603723049164,0.0930160582065582
"1822",-0.791933,41.2891,0.264372736215591,1.48146879673004
"1831",0.958067,41.2058,-1.1463395357132,0.272083699703217
"1848",-5.7086,41.0391,3.42797112464905,0.76468425989151
"1852",0.291401,40.8725,-1.11669778823853,0.619710087776184
"1853",-1.12527,40.7891,1.10865890979767,1.86844909191132
"1854",-4.12527,40.7058,1.23269987106323,1.37551617622375
"1857",-3.37527,40.7058,1.23844861984253,1.01969754695892
"1880",-3.79193,40.2891,2.72503662109375,1.22238981723785
"1888",-3.04193,40.1225,4.76094007492065,1.34557688236237
"1889",-1.37527,40.1225,-1.34536290168762,1.76270854473114
"1891",-0.0419328,40.1225,-1.43037796020508,0.38896781206131
"1894",-4.7086,40.0391,0.366882771253586,0.894899427890778
"1922",-0.291933,39.7058,1.19926393032074,-0.0548043549060822
"1946",-1.29193,39.5391,-2.71914124488831,1.21487021446228
"1962",-5.87527,39.4558,1.94916939735413,0.551130890846252
"1972",-3.87527,39.3725,0.760276138782501,0.970166504383087
"1973",-2.79193,39.3725,0.942034721374512,1.17764461040497
"1987",-0.541933,39.2058,-0.993169009685516,-0.095209926366806
"1993",-1.29193,39.0391,-3.24740529060364,1.22054147720337
"1998",-3.37527,38.9558,3.3608124256134,0.695488274097443
"2003",-6.37527,38.8725,2.5063099861145,0.378570795059204
"2010",-0.875266,38.7058,-1.50468480587006,1.4856481552124
"2014",-2.62527,38.2891,-1.16893005371094,1.10349476337433
"2015",-0.708599,38.2058,0.256279140710831,0.0381529591977596
"2018",23.7914,38.1225,0.377852857112885,0.431154400110245
"2019",-3.62527,38.0391,3.03477096557617,0.559242606163025
"2026",-4.79193,37.8725,4.27649593353271,0.383545786142349
"2030",-1.7086,37.6225,1.27216506004333,0.74254709482193
"2035",-5.9586,37.5391,4.73530864715576,-0.252148419618607
"2037",-4.37527,37.4558,0.179855316877365,0.452911853790283
"2041",-2.29193,37.3725,-2.41254210472107,1.52738952636719
"2042",-7.2086,37.2891,0.380835682153702,-0.0974249988794327
"2043",14.7081,37.2891,0.74029952287674,-0.0738816037774086
"2046",-3.62527,37.2058,4.89139652252197,1.10084426403046
"2048",-6.37527,37.1225,2.02464318275452,-0.0579124353826046
"2053",-4.7086,36.7891,0.560362040996552,-0.240855693817139
"2056",-4.04193,36.7891,-0.856293261051178,-0.177776530385017
"2068",-5.2086,36.4558,0.553600966930389,-0.376214444637299
