"","lon","lat","PC1","PC2"
"1",-63.07,-20.75,-2.86030554771423,-2.44423770904541
"2",-58.25,-27.27,0.728802919387817,-2.234206199646
"3",-58.88,-29.1,-0.675303041934967,-1.64221823215485
"6",-58.98,-29.62,0.261392533779144,-2.01769709587097
"12",-59.83,-31.92,2.6747682094574,-1.35433292388916
"17",-56.7114,-16.5117,-0.343518644571304,-4.40054607391357
"18",-60.449911,-31.708015,2.74944448471069,-1.42179596424103
"19",-58.471564,-34.610854,0.815542101860046,-0.704179883003235
"21",-64.473867,-30.209754,-4.00683498382568,-0.701115071773529
"28",-57.16731,-28.53816,-0.00806208606809378,-1.79799509048462
"31",-62.684432,-30.924856,3.02739357948303,-1.12420701980591
"32",-63.677781,-35.049415,5.85124015808105,-0.382305353879929
"35",-56.07614,-34.110687,1.35196220874786,-1.23419141769409
"38",-64.519168,-18.676302,-1.54058754444122,-0.766282141208649
"42",-58.209686,-31.866624,1.72967982292175,-1.30135536193848
"47",-58.784249,-33.498141,-1.72600388526917,-0.868169009685516
"48",-68.0491,-38.973725,3.55230188369751,1.59000146389008
"49",-64.326603,-36.615186,0.16305236518383,-0.0181695334613323
"52",-60.22707,-33.314299,4.04877042770386,-0.294191032648087
"57",-60.928495,-30.956073,3.48954844474792,-1.32479763031006
"58",-64.460856,-31.643638,1.01931869983673,-0.79439115524292
"61",-62.965322,-35.469749,5.83324575424194,-0.290538907051086
"65",-59.926025,-35.080329,3.1745617389679,-1.30861842632294
"66",-57.408873,-35.277129,-1.49343645572662,-0.212397143244743
"70",-55.901828,-27.352627,3.95937132835388,-2.49571347236633
"71",-65.5477,-33.803519,-0.255472153425217,-0.204126343131065
"73",-57.02607,-19.247632,-0.804403722286224,-4.14129638671875
"80",-58.032484,-32.530905,1.78954529762268,-1.77767205238342
"83",-64.304726,-31.201666,2.34771943092346,-0.944926142692566
"86",-59.345913,-22.96851,-4.37847375869751,-2.54848742485046
"87",-58.90034,-34.225807,1.01802468299866,-0.699720442295074
"88",-67.95527,-34.04594,-8.54093456268311,1.68698358535767
"91",-59.038868,-30.837221,-3.22471976280212,-1.74079144001007
"94",-59.901638,-32.409256,2.84624457359314,-1.32041156291962
"95",-58.02456,-31.189993,1.62148594856262,-1.99171912670135
"102",-57.58055,-25.276388,2.25916862487793,-3.10974597930908
"103",-60.934757,-31.468891,3.22115612030029,-1.74534618854523
"105",-54.91657,-30.261703,3.31163716316223,-2.77469038963318
"107",-56.542946,-34.743874,2.50393128395081,-0.68936413526535
