"","lon","lat","PC1","PC2"
"1",-57.051765,-19.32006,-5.45265579223633,3.96789574623108
"2",-58.264618,-24.854042,-5.82742023468018,1.31074118614197
"3",-60.666504,-21.93795,-14.4520807266235,-2.40075540542603
"5",-56.69135,-16.456923,-4.68078708648682,4.44719409942627
"7",-57.748947,-25.249819,-3.84724259376526,3.38953614234924
"10",-55.863045,-16.345982,-6.27551078796387,3.19122457504272
"11",-59.139404,-23.150461,-8.52346515655518,-0.0968127101659775
"12",-59.73198,-22.518265,-4.43742036819458,2.10809469223022
"21",-58.14583,-20.133635,-5.99914836883545,3.33115577697754
"38",-57.996389,-22.993333,-8.83077621459961,0.436107963323593
"43",-57.787285,-18.96875,-3.33410739898682,4.25542974472046
"59",-60.31374,-24.369772,-4.36631155014038,2.07783484458923
"64",-56.92916,-17.11743,-6.58827495574951,2.56488704681396
"67",-58.513,-23.826117,-8.55028343200684,0.498997151851654
"71",-59.95,-22,-5.24822568893433,2.02476072311401
"87",-57.20581,-18.625425,-5.43330430984497,3.93482565879822
"92",-57.869797,-21.039005,-4.93721771240234,3.30138087272644
"103",-57.742131,-21.700682,-4.39309978485107,3.44335985183716
"104",-58.190021,-25.606105,-6.92319822311401,1.4671094417572
"114",-57.427969,-17.675059,-2.00929427146912,6.22731637954712
"117",-57.882708,-22.26257,-3.62299036979675,3.26706480979919
"155",-58.283333,-26.516666,-3.42685174942017,3.04702854156494
"157",-57.013786,-24.278982,-3.05216479301453,5.25172328948975
"192",-58.965572,-22.605354,-7.73609161376953,0.49162170290947
"203",-57.487362,-25.673077,-5.21916627883911,2.97648477554321
"236",-57.52259,-19.43288,-5.13793706893921,3.86401343345642
"238",-58.433147,-22.497639,-5.07186651229858,2.28933000564575
"285",-58.275436,-24.25929,-8.09285545349121,0.852685272693634
"288",-59.81739,-24.696655,-5.67459154129028,1.08876657485962
"385",-58.716217,-26.979988,-4.7565975189209,2.49658250808716
"390",-57.45,-24.883333,-7.78269338607788,2.47740387916565
"417",-57.166668,-22.416666,-5.07235431671143,3.30816769599915
"551",-60.34177,-22.355356,-6.52266597747803,1.33247089385986
"679",-60.667473,-21.1005,-10.7285270690918,-0.768422782421112
"721",-59.83,-23.85,-2.9023060798645,3.23154020309448
"808",-57.38646,-23.342773,-2.35474848747253,4.65193748474121
"849",-58.914223,-27.44403,-1.58893370628357,3.32380175590515
"1047",-57.640476,-27.341805,0.710938215255737,4.16441297531128
"1072",-56.618824,-18.988226,-2.68577790260315,5.79725122451782
"1111",-59.045235,-19.402214,-11.8755207061768,-0.785593330860138
"1128",-58.510086,-21.71579,-6.85836744308472,0.935182273387909
"1207",-58.884445,-21.07,-8.43181610107422,1.1096625328064
"1328",-57.18566,-25.28159,-2.8674623966217,3.50568413734436
"1438",-57.84609,-16.687624,-6.13751745223999,3.34846663475037
"1799",-58.80303,-24.416336,-8.41780185699463,0.284740835428238
"1844",-58.366837,-26.030817,-6.50238752365112,1.61487972736359
"1857",-60.108196,-22.860537,-10.009783744812,-0.980550229549408
"1973",-60.8854,-22.617895,-14.7641496658325,-2.22541499137878
"1985",-57.730106,-26.743526,-3.67112731933594,3.89566564559937
"2075",-58.91784,-25.784391,-3.18686962127686,2.37557649612427
"2642",-59.56389,-28.2163,-4.87129163742065,1.75312292575836
"2683",-57.17686,-26.104744,-3.81293296813965,3.16671442985535
"2742",-58.03231,-19.434593,-6.94819688796997,3.23159027099609
"2929",-59.40195,-19.985914,-7.70514965057373,1.42468738555908
"3150",-58.836,-26.247334,-3.38822841644287,2.64805030822754
"3249",-58.683,-18.85,-8.03231239318848,1.60832607746124
"3543",-59.752224,-21.144167,-3.12084531784058,3.41331338882446
"3671",-57.68,-16.07,-2.57904100418091,5.60680627822876
"3717",-57.48,-23.93,-6.26412010192871,2.85222840309143
"3739",-58.308056,-20.774723,-8.59955787658691,1.32631731033325
"3769",-57.55,-22.733334,-6.16604852676392,2.2240993976593
"3815",-57.76,-24.49,-6.76851844787598,2.0126576423645
