"","lon","lat","PC1","PC2"
"1",102.44694,30.5,5.96609735488892,-6.68916893005371
"2",107.581111,33.338889,-3.58116364479065,1.29195964336395
"11",102.9081,28.665,-4.21619033813477,-1.11365115642548
"12",106.55,29.15,-6.88024997711182,3.7716019153595
"13",114.369705,32.00961,-2.80990624427795,4.01120328903198
"15",104.8,27.683333,-6.51449251174927,1.66534304618835
"16",108.75,28.85,-4.99727153778076,2.22973966598511
"17",107.066667,28.4,-4.677170753479,1.7337406873703
"18",106.033333,27.033333,-2.47987771034241,3.07725071907043
"20",104.1,27.016667,-3.11094045639038,1.0388857126236
"22",107.716667,29.883333,-1.36795294284821,3.75861477851868
"23",108.033333,32.066667,-1.59977376461029,1.68280935287476
"24",109.3,32.3,-4.25868701934814,1.35487878322601
"25",108.033333,30.3,-0.376088231801987,3.75394558906555
"28",108.25,33.05,-0.530586540699005,1.81827139854431
"29",107.25,27.8,-5.84196090698242,2.21922612190247
"31",109.1,29.6,-6.01870203018188,2.57460331916809
"32",109.5,31,-3.24752259254456,2.85176372528076
"33",108.6,31.9,-3.61655759811401,1.07191681861877
"35",118.75,34.533333,4.63460731506348,3.27189540863037
"37",113.4,32.35,-1.89986765384674,1.86474764347076
"41",103.716667,27.316667,2.24925088882446,2.6524863243103
"43",108.833333,27.666667,-6.85755252838135,1.87566030025482
"44",106.9,27.166667,-4.77114534378052,2.43045711517334
"45",103.25,27.533333,-1.36980056762695,1.52726781368256
"47",106.783333,26.466667,-3.15939879417419,2.27258992195129
"49",106.158333,28.258333,-4.889976978302,2.40597224235535
"53",107.966667,32.566667,-3.13984560966492,1.00401425361633
"54",109.133333,28.166667,-6.79448318481445,2.81246733665466
"56",108.533333,32.516667,-0.893823325634003,1.93695616722107
"57",106.8,32.3,-6.2410306930542,2.84265828132629
"62",107.166667,29.116667,-3.34500455856323,2.45786237716675
"64",109.716667,28.316667,0.64741051197052,2.62987160682678
"65",107.416667,27.25,-5.52525806427002,2.51573014259338
"67",106.2,27.466667,-1.86128056049347,2.70858931541443
"69",108.4,30.816667,2.60996699333191,3.59463095664978
"72",116.9,31.4,-0.759546875953674,4.0507378578186
"73",105.4,28.166667,-8.41932201385498,3.37707543373108
"75",106.7,27.9,-5.61873483657837,2.01218128204346
"77",106.25,32.833333,-4.1928768157959,1.19020259380341
"79",108.216667,29.283333,-4.91744327545166,2.4146420955658
"84",104.7,27.116667,-3.27267742156982,1.54647278785706
"87",105.3,27.316667,0.0818510130047798,2.19622111320496
"93",107.75,33.8,-4.24717569351196,-0.625026643276215
"96",107.3,34.066667,-1.06884634494781,-0.399601668119431
"107",109.5,31.8,-2.9731457233429,1.29650843143463
"111",116.483333,31.75,0.115895792841911,3.64152097702026
"119",105.5,33.1,-4.4368052482605,0.38459450006485
"122",115.4,31.8,4.46849679946899,3.01015567779541
"132",108.85,30.3,-3.85403370857239,2.19890880584717
"135",109.3,32.8,-1.13552129268646,2.04257035255432
"141",108.233333,27.933333,-4.24209594726562,3.13497066497803
"160",108.991667,33.766667,-4.57769775390625,-0.489400535821915
"198",107.533333,32.233333,-3.77294421195984,1.30515921115875
"206",113.314624,34.209603,-0.892300546169281,3.73395538330078
