"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0	0	1	0	0	0	"model1"
0	0	1	0	0	0	"model2"
0	0	1	0	0	0	"model3"
0	0	1	0	0	0	"model4"
0	0	1	0	0	0	"model5"
0	0	1	0	0	0	"model6"
0.0048780487804878	0	1	0	0.0048780487804878	0	"model7"
0.418536585365854	0.00642224964492082	0.979512195121951	0.00642224964492082	0.439024390243902	0	"model8"
0.887317073170732	0.0118264042575403	0.950731707317073	0.0118264042575403	0.936585365853659	0	"model9"
0.185853658536585	0.00536831675421762	0.995609756097561	0.00536831675421762	0.190243902439024	0	"model10"
0.122926829268293	0.00384785676949568	0.99609756097561	0.00384785676949569	0.126829268292683	0	"model11"
0	0	1	0	0	0	"model12"
0	0	1	0	0	0	"model13"
0.0048780487804878	0	1	0	0.0048780487804878	0	"model14"
0	0	1	0	0	0	"model15"
0	0	1	0	0	0	"model16"
0.0429268292682927	0.00205676595783309	0.999024390243902	0.00205676595783309	0.0439024390243902	0	"model17"
0.698048780487805	0.00960588974812482	0.966341463414634	0.00960588974812484	0.731707317073171	0	"model18"
0.817560975609756	0.0122113712881421	0.968780487804878	0.0122113712881422	0.848780487804878	0	"model19"
0	0	1	0	0	0	"model20"
0.887317073170732	0.0263645387236063	0.89219512195122	0.0263645387236063	0.995121951219512	0	"model21"
0.208292682926829	0.00798239850968037	0.993658536585366	0.00798239850968038	0.214634146341463	0	"model22"
0	0	1	0	0	0	"model23"
0.879512195121951	0.0162682906514221	0.94780487804878	0.0162682906514221	0.931707317073171	0	"model24"
0	0	1	0	0	0	"model25"
0	0	1	0	0	0	"model26"
0.790243902439024	0.0086040693042751	0.970731707317073	0.0086040693042751	0.819512195121951	0	"model27"
0	0	1	0	0	0	"model28"
0	0	1	0	0	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0	0	1	0	0	0	"model32"
0	0	1	0	0	0	"model33"
0	0	1	0	0	0	"model34"
0.475609756097561	0.00868055142441568	0.982926829268293	0.00868055142441571	0.492682926829268	0	"model35"
0	0	1	0	0	0	"model36"
0.882926829268293	0.0240078423743633	0.931707317073171	0.0240078423743632	0.951219512195122	0	"model37"
0	0	1	0	0	0	"model38"
0	0	1	0	0	0	"model39"
0.0721951219512195	0.00205676595783309	0.999024390243902	0.00205676595783309	0.0731707317073171	0	"model40"
0.145853658536585	0.00627650701320936	0.994634146341463	0.00627650701320937	0.151219512195122	0	"model41"
0	0	1	0	0	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0	0	1	0	0	0	"model45"
0	0	1	0	0	0	"model46"
0	0	1	0	0	0	"model47"
0	0	1	0	0	0	"model48"
0	0	1	0	0	0	"model49"
0.882926829268293	0.0152533845847917	0.91219512195122	0.0152533845847917	0.970731707317073	0	"model50"
0.0292682926829268	0	1	0	0.0292682926829268	0	"model51"
0	0	1	0	0	0	"model52"
0	0	1	0	0	0	"model53"
0	0	1	0	0	0	"model54"
0.854634146341463	0.0155622583596818	0.961951219512195	0.0155622583596818	0.892682926829268	0	"model55"
0.867317073170732	0.020797758641066	0.896585365853659	0.020797758641066	0.970731707317073	0	"model56"
0	0	1	0	0	0	"model57"
0	0	1	0	0	0	"model58"
0	0	1	0	0	0	"model59"
0	0	1	0	0	0	"model60"
0.0185365853658537	0.00205676595783309	0.999024390243902	0.00205676595783309	0.0195121951219512	0	"model61"
0.878048780487805	0.0170538024092708	0.921951219512195	0.0170538024092708	0.95609756097561	0	"model62"
0	0	1	0	0	0	"model63"
0	0	1	0	0	0	"model64"
0.0141463414634146	0.00154257446837482	0.999512195121951	0.00154257446837482	0.0146341463414634	0	"model65"
0.0048780487804878	0	1	0	0.0048780487804878	0	"model66"
0	0	1	0	0	0	"model67"
0	0	1	0	0	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0	0	1	0	0	0	"model71"
0	0	1	0	0	0	"model72"
0	0	1	0	0	0	"model73"
0	0	1	0	0	0	"model74"
0.0331707317073171	0.00205676595783309	0.999024390243902	0.00205676595783309	0.0341463414634146	0	"model75"
0.0482926829268293	0.00154257446837482	0.999512195121951	0.00154257446837482	0.0487804878048781	0	"model76"
0	0	1	0	0	0	"model77"
0.0429268292682927	0.00205676595783309	0.999024390243902	0.00205676595783309	0.0439024390243902	0	"model78"
0.866829268292683	0.0175202780449444	0.954634146341463	0.0175202780449443	0.91219512195122	0	"model79"
0	0	1	0	0	0	"model80"
0	0	1	0	0	0	"model81"
0	0	1	0	0	0	"model82"
0	0	1	0	0	0	"model83"
0	0	1	0	0	0	"model84"
0.0717073170731707	0.00329243198883196	0.998536585365854	0.00329243198883197	0.0731707317073171	0	"model85"
0.0048780487804878	0	1	0	0.0048780487804878	0	"model86"
0.334634146341463	0.00769571353899138	0.988292682926829	0.00769571353899138	0.346341463414634	0	"model87"
0.881463414634146	0.015604673969444	0.881463414634146	0.015604673969444	1	0	"model88"
0	0	1	0	0	0	"model89"
0	0	1	0	0	0	"model90"
0.264390243902439	0.00503802711701778	0.99609756097561	0.00503802711701778	0.268292682926829	0	"model91"
0	0	1	0	0	0	"model92"
0.807804878048781	0.00953683141373341	0.96390243902439	0.00953683141373346	0.84390243902439	0	"model93"
0	0	1	0	0	0	"model94"
0.212682926829268	0.00524374487694215	0.993170731707317	0.00524374487694215	0.219512195121951	0	"model95"
0	0	1	0	0	0	"model96"
0	0	1	0	0	0	"model97"
0	0	1	0	0	0	"model98"
0.884390243902439	0.0115091631669505	0.942926829268293	0.0115091631669505	0.941463414634146	0	"model99"
0.0190243902439024	0.00154257446837482	0.999512195121951	0.00154257446837482	0.0195121951219512	0	"model100"
0	0	1	0	0	0	"model101"
0.251219512195122	0.00837043100893252	0.98780487804878	0.00837043100893253	0.263414634146341	0	"model102"
0.200975609756098	0.00599645167954008	0.991219512195122	0.0059964516795401	0.209756097560976	0	"model103"
0	0	1	0	0	0	"model104"
0	0	1	0	0	0	"model105"
0	0	1	0	0	0	"model106"
0	0	1	0	0	0	"model107"
0.0585365853658537	0	1	0	0.0585365853658537	0	"model108"
0.00975609756097561	0	1	0	0.00975609756097561	0	"model109"
0	0	1	0	0	0	"model110"
0.88390243902439	0.0139496654240828	0.927804878048781	0.0139496654240827	0.95609756097561	0	"model111"
0	0	1	0	0	0	"model112"
0	0	1	0	0	0	"model113"
0	0	1	0	0	0	"model114"
0	0	1	0	0	0	"model115"
0	0	1	0	0	0	"model116"
0	0	1	0	0	0	"model117"
0.518048780487805	0.00970174561962687	0.981463414634146	0.00970174561962687	0.536585365853659	0	"model118"
0	0	1	0	0	0	"model119"
0	0	1	0	0	0	"model120"
0	0	1	0	0	0	"model121"
0	0	1	0	0	0	"model122"
0.104878048780488	0.00344930137164169	0.997560975609756	0.0034493013716417	0.107317073170732	0	"model123"
