"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0.383210912906611	0.0012898977904572	0.997061909758657	0.00128989779045718	0.386149003147954	0	"model1"
0	0	1	0	0	0	"model2"
0.871353620146905	0.00461911829848734	0.963693599160546	0.00461911829848735	0.907660020986359	0	"model3"
0	0	1	0	0	0	"model4"
0	0	1	0	0	0	"model5"
0	0	1	0	0	0	"model6"
0	0	1	0	0	0	"model7"
0.0136411332633788	0	1	0	0.0136411332633788	0	"model8"
0.876810073452256	0.00618217589234996	0.963903462749213	0.00618217589234995	0.912906610703043	0	"model9"
0.00209863588667366	0	1	0	0.00209863588667366	0	"model10"
0	0	1	0	0	0	"model11"
0	0	1	0	0	0	"model12"
0.913641133263379	0.00559745529726612	0.934627492130115	0.00559745529726611	0.979013641133263	0	"model13"
0.904826862539349	0.00926798519068664	0.947848898216159	0.00926798519068666	0.95697796432319	0	"model14"
0	0	1	0	0	0	"model15"
0	0	1	0	0	0	"model16"
0	0	1	0	0	0	"model17"
0.00839454354669465	0	1	0	0.00839454354669465	0	"model18"
0	0	1	0	0	0	"model19"
0.087093389296957	0	1	0	0.087093389296957	0	"model20"
0	0	1	0	0	0	"model21"
0.0167890870933893	0	1	0	0.0167890870933893	0	"model22"
0	0	1	0	0	0	"model23"
0	0	1	0	0	0	"model24"
0.822980062959077	0.00461514372299286	0.978279118572928	0.00461514372299288	0.844700944386149	0	"model25"
0.110598111227702	0.00054186545592269	0.999370409233998	0.000541865455922697	0.111227701993704	0	"model26"
0	0	1	0	0	0	"model27"
0	0	1	0	0	0	"model28"
0	0	1	0	0	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0	0	1	0	0	0	"model32"
0	0	1	0	0	0	"model33"
0.121720881427072	0	1	0	0.121720881427072	0	"model34"
0.855928646379853	0.0101620843346164	0.85697796432319	0.0101620843346164	0.998950682056663	0	"model35"
0	0	1	0	0	0	"model36"
0	0	1	0	0	0	"model37"
0.44302203567681	0.00225596579175894	0.997061909758657	0.00225596579175894	0.445960125918153	0	"model38"
0	0	1	0	0	0	"model39"
0.289296956977964	0.00140345593898138	0.998635886673662	0.00140345593898141	0.290661070304302	0	"model40"
0	0	1	0	0	0	"model41"
0	0	1	0	0	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0	0	1	0	0	0	"model45"
0	0	1	0	0	0	"model46"
0.858342077649528	0.0054186545592269	0.963273871983211	0.00541865455922688	0.895068205666317	0	"model47"
0	0	1	0	0	0	"model48"
0	0	1	0	0	0	"model49"
0.617313746065058	0.00261979479693234	0.99087093389297	0.00261979479693236	0.626442812172088	0	"model50"
0.193389296956978	0.00086387471390196	0.999265477439664	0.00086387471390197	0.194123819517314	0	"model51"
0	0	1	0	0	0	"model52"
0	0	1	0	0	0	"model53"
0	0	1	0	0	0	"model54"
0	0	1	0	0	0	"model55"
0	0	1	0	0	0	"model56"
0	0	1	0	0	0	"model57"
0.441133263378804	0.00141647126486999	0.996222455403987	0.00141647126486997	0.444910807974816	0	"model58"
0	0	1	0	0	0	"model59"
0.00734522560335782	0	1	0	0.00734522560335782	0	"model60"
0	0	1	0	0	0	"model61"
0	0	1	0	0	0	"model62"
0.90598111227702	0.00566588505947999	0.937460650577125	0.00566588505947997	0.968520461699895	0	"model63"
0	0	1	0	0	0	"model64"
0	0	1	0	0	0	"model65"
0.841343126967471	0.00659578849461949	0.969359916054565	0.00659578849461946	0.871983210912907	0	"model66"
0	0	1	0	0	0	"model67"
0.0995802728226653	0.00033182346906279	0.999895068205666	0.000331823469062794	0.099685204616999	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0	0	1	0	0	0	"model71"
0.00209863588667366	0	1	0	0.00209863588667366	0	"model72"
0.844910807974816	0.0112123821784668	0.845960125918153	0.0112123821784668	0.998950682056663	0	"model73"
0	0	1	0	0	0	"model74"
0.801469045120672	0.00460851181308169	0.979853095487933	0.00460851181308165	0.821615949632739	0	"model75"
0	0	1	0	0	0	"model76"
