"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0.0625	0	1	0	0.0625	0	"model1"
0.74875	0.0285348227804399	0.94875	0.0285348227804399	0.8	0	"model2"
0.86625	0.0276699295264733	0.92875	0.0276699295264733	0.9375	0	"model3"
0.1475	0.00527046276694729	0.9975	0.00527046276694728	0.15	0	"model4"
0.82125	0.0243313355344274	0.93375	0.0243313355344274	0.8875	0	"model5"
0	0	1	0	0	0	"model6"
0.0125	0	1	0	0.0125	0	"model7"
0.38875	0.00709557765246934	0.98875	0.00709557765246933	0.4	0	"model8"
0.8825	0.0289875452182102	0.92	0.0289875452182101	0.9625	0	"model9"
0.11125	0.00395284707521047	0.99875	0.00395284707521046	0.1125	0	"model10"
0.83	0.0277638854149295	0.83	0.0277638854149295	1	0	"model11"
0.79625	0.0156458194629321	0.94625	0.0156458194629321	0.85	0	"model12"
0.61	0.0129099444873581	0.9725	0.0129099444873581	0.6375	0	"model13"
0.1725	0.00527046276694729	0.9975	0.00527046276694728	0.175	0	"model14"
0	0	1	0	0	0	"model15"
0	0	1	0	0	0	"model16"
0	0	1	0	0	0	"model17"
0	0	1	0	0	0	"model18"
0.89375	0.0179215109730055	0.89375	0.0179215109730055	1	0	"model19"
0.20875	0.00843685697138191	0.99625	0.00843685697138191	0.2125	0	"model20"
0.88375	0.0288975681406662	0.93375	0.0288975681406662	0.95	0	"model21"
0	0	1	0	0	0	"model22"
0.85125	0.0246150924795699	0.93875	0.0246150924795699	0.9125	0	"model23"
0	0	1	0	0	0	"model24"
0.89875	0.022399466759526	0.93625	0.022399466759526	0.9625	0	"model25"
0	0	1	0	0	0	"model26"
0.67625	0.0199391435233423	0.96375	0.0199391435233423	0.7125	0	"model27"
0	0	1	0	0	0	"model28"
0.82875	0.0294922306153107	0.94125	0.0294922306153106	0.8875	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0	0	1	0	0	0	"model32"
0.42625	0.016083549221349	0.98875	0.016083549221349	0.4375	0	"model33"
0	0	1	0	0	0	"model34"
0.90375	0.0276699295264733	0.94125	0.0276699295264733	0.9625	0	"model35"
0	0	1	0	0	0	"model36"
0	0	1	0	0	0	"model37"
0.78625	0.0207916249164577	0.93625	0.0207916249164577	0.85	0	"model38"
0.03625	0.00395284707521047	0.99875	0.00395284707521046	0.0375	0	"model39"
0	0	1	0	0	0	"model40"
0.45125	0.0109449379471364	0.98875	0.0109449379471364	0.4625	0	"model41"
0.28125	0.00883883476483182	0.99375	0.00883883476483184	0.2875	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0	0	1	0	0	0	"model45"
0	0	1	0	0	0	"model46"
0.8725	0.0234224488709253	0.935	0.0234224488709253	0.9375	0	"model47"
0	0	1	0	0	0	"model48"
0	0	1	0	0	0	"model49"
0.2025	0.00986013297183269	0.99	0.0098601329718327	0.2125	0	"model50"
0.24375	0.00883883476483185	0.99375	0.00883883476483184	0.25	0	"model51"
0.88125	0.0329403922934206	0.88125	0.0329403922934206	1	0	"model52"
0	0	1	0	0	0	"model53"
0	0	1	0	0	0	"model54"
0.0125	0	1	0	0.0125	0	"model55"
0.3825	0.00645497224367903	0.995	0.00645497224367901	0.3875	0	"model56"
0	0	1	0	0	0	"model57"
0.9175	0.0222048543241237	0.93	0.0222048543241237	0.9875	0	"model58"
0	0	1	0	0	0	"model59"
0	0	1	0	0	0	"model60"
0	0	1	0	0	0	"model61"
0	0	1	0	0	0	"model62"
0.48	0.0134370962471642	0.9925	0.0134370962471642	0.4875	0	"model63"
0	0	1	0	0	0	"model64"
0	0	1	0	0	0	"model65"
0.06	0.0052704627669473	0.9975	0.00527046276694728	0.0625	0	"model66"
0	0	1	0	0	0	"model67"
0.905	0.0197202659436654	0.93	0.0197202659436654	0.975	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0.65	0.0117851130197758	0.975	0.0117851130197758	0.675	0	"model71"
0	0	1	0	0	0	"model72"
0	0	1	0	0	0	"model73"
0.02375	0.00395284707521047	0.99875	0.00395284707521046	0.025	0	"model74"
0.49	0.0114867072934085	0.99	0.0114867072934085	0.5	0	"model75"
0.66625	0.0102909075293571	0.97875	0.0102909075293571	0.6875	0	"model76"
0.86125	0.022399466759526	0.92375	0.022399466759526	0.9375	0	"model77"
0	0	1	0	0	0	"model78"
0.0625	0	1	0	0.0625	0	"model79"
0	0	1	0	0	0	"model80"
0.025	0	1	0	0.025	0	"model81"
0	0	1	0	0	0	"model82"
0.8875	0.0348608344389198	0.9125	0.0348608344389198	0.975	0	"model83"
0.58625	0.00922330984215779	0.98625	0.00922330984215779	0.6	0	"model84"
0	0	1	0	0	0	"model85"
0	0	1	0	0	0	"model86"
0	0	1	0	0	0	"model87"
0.39625	0.0060380736442456	0.99625	0.00603807364424558	0.4	0	"model88"
0.24875	0.00395284707521048	0.99875	0.00395284707521046	0.25	0	"model89"
0.4125	0.00589255650988789	0.9875	0.0058925565098879	0.425	0	"model90"
0	0	1	0	0	0	"model91"
0.085	0.0052704627669473	0.9975	0.00527046276694728	0.0875	0	"model92"
0.5975	0.0098601329718327	0.985	0.00986013297183271	0.6125	0	"model93"
0.845	0.0344601218802255	0.845	0.0344601218802255	1	0	"model94"
0.89875	0.0285348227804399	0.93625	0.0285348227804399	0.9625	0	"model95"
0.025	0	1	0	0.025	0	"model96"
0	0	1	0	0	0	"model97"
0.33625	0.00395284707521048	0.99875	0.00395284707521046	0.3375	0	"model98"
0.7775	0.0141911553049387	0.9525	0.0141911553049387	0.825	0	"model99"
0	0	1	0	0	0	"model100"
