"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0	0	1	0	0	0	"model1"
0.473049645390071	0.00342585738680602	0.997872340425532	0.00342585738680602	0.475177304964539	0	"model2"
0	0	1	0	0	0	"model3"
0	0	1	0	0	0	"model4"
0	0	1	0	0	0	"model5"
0	0	1	0	0	0	"model6"
0	0	1	0	0	0	"model7"
0.154609929078014	0.0029903334847928	0.998581560283688	0.0029903334847928	0.156028368794326	0	"model8"
0	0	1	0	0	0	"model9"
0	0	1	0	0	0	"model10"
0	0	1	0	0	0	"model11"
0	0	1	0	0	0	"model12"
0	0	1	0	0	0	"model13"
0	0	1	0	0	0	"model14"
0	0	1	0	0	0	"model15"
0	0	1	0	0	0	"model16"
0.212056737588652	0.0022427501135946	0.999290780141844	0.0022427501135946	0.212765957446809	0	"model17"
0	0	1	0	0	0	"model18"
0.817021276595745	0.0114845936657126	0.980141843971631	0.0114845936657126	0.836879432624113	0	"model19"
0.875886524822695	0.0161207821477374	0.897163120567376	0.0161207821477374	0.978723404255319	0	"model20"
0.0283687943262411	0	1	0	0.0283687943262411	0	"model21"
0.459574468085106	0.0029903334847928	0.998581560283688	0.0029903334847928	0.460992907801418	0	"model22"
0	0	1	0	0	0	"model23"
0	0	1	0	0	0	"model24"
0	0	1	0	0	0	"model25"
0.0425531914893617	0	1	0	0.0425531914893617	0	"model26"
0	0	1	0	0	0	"model27"
0	0	1	0	0	0	"model28"
0	0	1	0	0	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0.409219858156028	0.00342585738680602	0.997872340425532	0.00342585738680602	0.411347517730496	0	"model32"
0	0	1	0	0	0	"model33"
0	0	1	0	0	0	"model34"
0.325531914893617	0.0022427501135946	0.999290780141844	0.0022427501135946	0.326241134751773	0	"model35"
0	0	1	0	0	0	"model36"
0	0	1	0	0	0	"model37"
0	0	1	0	0	0	"model38"
0	0	1	0	0	0	"model39"
0	0	1	0	0	0	"model40"
0	0	1	0	0	0	"model41"
0.0567375886524823	0	1	0	0.0567375886524823	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0	0	1	0	0	0	"model45"
0.841843971631206	0.0133940571860192	0.96241134751773	0.0133940571860192	0.879432624113475	0	"model46"
0	0	1	0	0	0	"model47"
0.0567375886524823	0	1	0	0.0567375886524823	0	"model48"
0.212056737588652	0.0022427501135946	0.999290780141844	0.0022427501135946	0.212765957446809	0	"model49"
0	0	1	0	0	0	"model50"
0.869503546099291	0.0150262397939203	0.961702127659575	0.0150262397939203	0.907801418439716	0	"model51"
0	0	1	0	0	0	"model52"
0.183687943262411	0.00224275011359459	0.999290780141844	0.0022427501135946	0.184397163120567	0	"model53"
0	0	1	0	0	0	"model54"
0	0	1	0	0	0	"model55"
0	0	1	0	0	0	"model56"
0	0	1	0	0	0	"model57"
0	0	1	0	0	0	"model58"
0	0	1	0	0	0	"model59"
0	0	1	0	0	0	"model60"
0	0	1	0	0	0	"model61"
0	0	1	0	0	0	"model62"
0.867375886524823	0.0142040840527658	0.959574468085106	0.0142040840527657	0.907801418439716	0	"model63"
0.0780141843971631	0	1	0	0.0780141843971631	0	"model64"
0	0	1	0	0	0	"model65"
0	0	1	0	0	0	"model66"
0	0	1	0	0	0	"model67"
0	0	1	0	0	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0	0	1	0	0	0	"model71"
0	0	1	0	0	0	"model72"
0	0	1	0	0	0	"model73"
0	0	1	0	0	0	"model74"
0	0	1	0	0	0	"model75"
0	0	1	0	0	0	"model76"
0.569503546099291	0.00583881278261394	0.995035460992908	0.00583881278261394	0.574468085106383	0	"model77"
0.187943262411348	0.003737916855991	0.99645390070922	0.003737916855991	0.191489361702128	0	"model78"
0	0	1	0	0	0	"model79"
0	0	1	0	0	0	"model80"
0	0	1	0	0	0	"model81"
0	0	1	0	0	0	"model82"
0	0	1	0	0	0	"model83"
0.83758865248227	0.0225393596908804	0.84468085106383	0.0225393596908804	0.99290780141844	0	"model84"
0.882269503546099	0.0121467920365627	0.960283687943262	0.0121467920365627	0.921985815602837	0	"model85"
0.0212765957446809	0	1	0	0.0212765957446809	0	"model86"
0	0	1	0	0	0	"model87"
0.877304964539007	0.0211580622555692	0.96241134751773	0.0211580622555692	0.914893617021277	0	"model88"
0.899290780141844	0.0109871867977515	0.941843971631206	0.0109871867977516	0.957446808510638	0	"model89"
