"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0	0	1	0	0	0	"model1"
0	0	1	0	0	0	"model2"
0	0	1	0	0	0	"model3"
0	0	1	0	0	0	"model4"
0	0	1	0	0	0	"model5"
0.666666666666667	0.00632943085990486	0.992248062015504	0.00632943085990486	0.674418604651163	0	"model6"
0	0	1	0	0	0	"model7"
0	0	1	0	0	0	"model8"
0	0	1	0	0	0	"model9"
0	0	1	0	0	0	"model10"
0	0	1	0	0	0	"model11"
0	0	1	0	0	0	"model12"
0	0	1	0	0	0	"model13"
0.914728682170543	0.0228210875098911	0.930232558139535	0.0228210875098911	0.984496124031008	0	"model14"
0	0	1	0	0	0	"model15"
0.0387596899224806	0	1	0	0.0387596899224806	0	"model16"
0	0	1	0	0	0	"model17"
0	0	1	0	0	0	"model18"
0	0	1	0	0	0	"model19"
0.321705426356589	0.0054814479161748	0.996124031007752	0.0054814479161748	0.325581395348837	0	"model20"
0	0	1	0	0	0	"model21"
0	0	1	0	0	0	"model22"
0	0	1	0	0	0	"model23"
0	0	1	0	0	0	"model24"
0	0	1	0	0	0	"model25"
0	0	1	0	0	0	"model26"
0	0	1	0	0	0	"model27"
0.0155038759689922	0	1	0	0.0155038759689922	0	"model28"
0	0	1	0	0	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0.178294573643411	0	1	0	0.178294573643411	0	"model32"
0	0	1	0	0	0	"model33"
0	0	1	0	0	0	"model34"
0	0	1	0	0	0	"model35"
0.0232558139534884	0	1	0	0.0232558139534884	0	"model36"
0	0	1	0	0	0	"model37"
0	0	1	0	0	0	"model38"
0	0	1	0	0	0	"model39"
0.3	0.0052321593620973	0.997674418604651	0.00523215936209732	0.302325581395349	0	"model40"
0	0	1	0	0	0	"model41"
0	0	1	0	0	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0.772868217054264	0.00821201477109594	0.989922480620155	0.00821201477109599	0.782945736434108	0	"model45"
0	0	1	0	0	0	"model46"
0	0	1	0	0	0	"model47"
0	0	1	0	0	0	"model48"
0	0	1	0	0	0	"model49"
0.422480620155039	0.00408563005189711	0.996124031007752	0.00408563005189714	0.426356589147287	0	"model50"
0	0	1	0	0	0	"model51"
0	0	1	0	0	0	"model52"
0	0	1	0	0	0	"model53"
0	0	1	0	0	0	"model54"
0.863565891472868	0.0190584898341972	0.97984496124031	0.0190584898341972	0.883720930232558	0	"model55"
0.846511627906977	0.00952924491709856	0.986046511627907	0.00952924491709861	0.86046511627907	0	"model56"
0	0	1	0	0	0	"model57"
0.146511627906977	0.00245137803113828	0.99922480620155	0.00245137803113828	0.147286821705426	0	"model58"
0	0	1	0	0	0	"model59"
0.910852713178295	0.018362623260403	0.910852713178295	0.018362623260403	1	0	"model60"
0	0	1	0	0	0	"model61"
0.887596899224806	0.0133018477273734	0.972868217054264	0.0133018477273734	0.914728682170543	0	"model62"
0	0	1	0	0	0	"model63"
0	0	1	0	0	0	"model64"
0.682170542635659	0.00966836534050116	0.992248062015504	0.00966836534050116	0.689922480620155	0	"model65"
0	0	1	0	0	0	"model66"
0	0	1	0	0	0	"model67"
0	0	1	0	0	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0.728682170542636	0.0242398747277697	0.728682170542636	0.0242398747277697	1	0	"model71"
0	0	1	0	0	0	"model72"
0	0	1	0	0	0	"model73"
0.0232558139534884	0	1	0	0.0232558139534884	0	"model74"
0	0	1	0	0	0	"model75"
0	0	1	0	0	0	"model76"
0	0	1	0	0	0	"model77"
0	0	1	0	0	0	"model78"
0	0	1	0	0	0	"model79"
0	0	1	0	0	0	"model80"
0.0155038759689922	0	1	0	0.0155038759689922	0	"model81"
0.0465116279069767	0	1	0	0.0465116279069767	0	"model82"
0.0310077519379845	0	1	0	0.0310077519379845	0	"model83"
0.336434108527132	0.0040030835619715	0.995348837209302	0.0040030835619715	0.341085271317829	0	"model84"
0.706201550387597	0.0214485849813407	0.706201550387597	0.0214485849813407	1	0	"model85"
0	0	1	0	0	0	"model86"
0	0	1	0	0	0	"model87"
0.255038759689923	0.00245137803113828	0.99922480620155	0.00245137803113828	0.255813953488372	0	"model88"
0.416279069767442	0.003744541794881	0.997674418604651	0.003744541794881	0.418604651162791	0	"model89"
0	0	1	0	0	0	"model90"
0.862790697674419	0.0115847606054057	0.986821705426357	0.0115847606054057	0.875968992248062	0	"model91"
0.757364341085271	0.0537132175135653	0.757364341085271	0.0537132175135653	1	0	"model92"
0	0	1	0	0	0	"model93"
0.23953488372093	0.00245137803113828	0.99922480620155	0.00245137803113828	0.24031007751938	0	"model94"
0	0	1	0	0	0	"model95"
0.75968992248062	0.00817126010379428	0.992248062015504	0.00817126010379428	0.767441860465116	0	"model96"
0.634883720930233	0.00853104600476445	0.991472868217054	0.00853104600476445	0.643410852713178	0	"model97"
0	0	1	0	0	0	"model98"
0.92093023255814	0.0135751168336576	0.95968992248062	0.0135751168336576	0.961240310077519	0	"model99"
0	0	1	0	0	0	"model100"
0	0	1	0	0	0	"model101"
0	0	1	0	0	0	"model102"
0	0	1	0	0	0	"model103"
0.370542635658915	0.00326850404151771	0.998449612403101	0.00326850404151771	0.372093023255814	0	"model104"
0	0	1	0	0	0	"model105"
0	0	1	0	0	0	"model106"
0.933333333333333	0.0127639163154816	0.964341085271318	0.0127639163154816	0.968992248062015	0	"model107"
0	0	1	0	0	0	"model108"
0	0	1	0	0	0	"model109"
0	0	1	0	0	0	"model110"
0	0	1	0	0	0	"model111"
0.917829457364341	0.0155897706759673	0.956589147286822	0.0155897706759673	0.961240310077519	0	"model112"
0.00775193798449612	0	1	0	0.00775193798449612	0	"model113"
0	0	1	0	0	0	"model114"
0.9	0.0256972814272906	0.915503875968992	0.0256972814272906	0.984496124031008	0	"model115"
0	0	1	0	0	0	"model116"
0.855038759689922	0.0280810914457822	0.855038759689922	0.0280810914457822	1	0	"model117"
0	0	1	0	0	0	"model118"
0	0	1	0	0	0	"model119"
0	0	1	0	0	0	"model120"
0	0	1	0	0	0	"model121"
0	0	1	0	0	0	"model122"
0	0	1	0	0	0	"model123"
0	0	1	0	0	0	"model124"
0	0	1	0	0	0	"model125"
0	0	1	0	0	0	"model126"
0	0	1	0	0	0	"model127"
0	0	1	0	0	0	"model128"
0	0	1	0	0	0	"model129"
0	0	1	0	0	0	"model130"
0	0	1	0	0	0	"model131"
0.909302325581395	0.0155253941972091	0.924806201550388	0.0155253941972091	0.984496124031008	0	"model132"
0.368217054263566	0.00548144791617478	0.996124031007752	0.0054814479161748	0.372093023255814	0	"model133"
0	0	1	0	0	0	"model134"
0	0	1	0	0	0	"model135"
0.5	0.00408563005189714	0.988372093023256	0.00408563005189714	0.511627906976744	0	"model136"
0.0775193798449612	0	1	0	0.0775193798449612	0	"model137"
