"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0.509756097560976	0.0242543640490672	0.973170731707317	0.0242543640490671	0.536585365853659	0	"model1"
0	0	1	0	0	0	"model2"
0.697560975609756	0.0417731140769598	0.941463414634146	0.0417731140769598	0.75609756097561	0	"model3"
0.448780487804878	0.0921249786940832	0.448780487804878	0.0921249786940832	1	0	"model4"
0.678048780487805	0.0251901355850889	0.946341463414634	0.0251901355850889	0.731707317073171	0	"model5"
0.531707317073171	0.0678265158198836	0.531707317073171	0.0678265158198836	1	0	"model6"
0.826829268292683	0.0766559321386873	0.826829268292683	0.0766559321386873	1	0	"model7"
0.770731707317073	0.0621299940635538	0.770731707317073	0.0621299940635538	1	0	"model8"
0.482926829268293	0.0102838297891654	0.995121951219512	0.0102838297891655	0.48780487804878	0	"model9"
0.721951219512195	0.0462772340512446	0.941463414634146	0.0462772340512446	0.780487804878049	0	"model10"
0	0	1	0	0	0	"model11"
0.74390243902439	0.0577750829412679	0.841463414634146	0.0577750829412679	0.902439024390244	0	"model12"
0.81219512195122	0.0552007973878633	0.81219512195122	0.0552007973878633	1	0	"model13"
0	0	1	0	0	0	"model14"
0.434146341463415	0.0359934042620791	0.434146341463415	0.0359934042620791	1	0	"model15"
0.841463414634146	0.0662988066272362	0.865853658536585	0.0662988066272362	0.975609756097561	0	"model16"
0.365853658536585	0.091259936262779	0.365853658536585	0.091259936262779	1	0	"model17"
0.473170731707317	0.0830701773947629	0.473170731707317	0.0830701773947629	1	0	"model18"
0	0	1	0	0	0	"model19"
0.648780487804878	0.0789915954568528	0.648780487804878	0.0789915954568528	1	0	"model20"
0.514634146341463	0.0908607061525106	0.514634146341463	0.0908607061525106	1	0	"model21"
0.609756097560976	0.077128723418741	0.609756097560976	0.077128723418741	1	0	"model22"
0.45609756097561	0.0690339177735082	0.45609756097561	0.0690339177735082	1	0	"model23"
0.5	0.0773426731318718	0.5	0.0773426731318718	1	0	"model24"
0.807317073170732	0.0353448213321694	0.85609756097561	0.0353448213321694	0.951219512195122	0	"model25"
0.797560975609756	0.0763102440992346	0.895121951219512	0.0763102440992346	0.902439024390244	0	"model26"
0.868292682926829	0.0462772340512446	0.868292682926829	0.0462772340512446	1	0	"model27"
0.504878048780488	0.0754390940465824	0.504878048780488	0.0754390940465824	1	0	"model28"
0.751219512195122	0.0427119529644348	0.848780487804878	0.0427119529644348	0.902439024390244	0	"model29"
0.417073170731707	0.0493864798324795	0.417073170731707	0.0493864798324795	1	0	"model30"
0.81219512195122	0.0446044446320169	0.860975609756098	0.0446044446320169	0.951219512195122	0	"model31"
0.21219512195122	0.0117816071107231	0.992682926829268	0.0117816071107231	0.219512195121951	0	"model32"
0.780487804878049	0.0660490927206176	0.780487804878049	0.0660490927206176	1	0	"model33"
0.665853658536585	0.0527516364146612	0.934146341463415	0.0527516364146612	0.731707317073171	0	"model34"
0.680487804878049	0.0568524674375515	0.9	0.0568524674375515	0.780487804878049	0	"model35"
0.697560975609756	0.0846466021776935	0.697560975609756	0.0846466021776935	1	0	"model36"
0.2	0.0511614072278123	0.2	0.0511614072278123	1	0	"model37"
0.414634146341463	0.0788240627222167	0.414634146341463	0.0788240627222167	1	0	"model38"
0.553658536585366	0.0514833827609352	0.553658536585366	0.0514833827609352	1	0	"model39"
0.690243902439024	0.0399119925484019	0.958536585365854	0.0399119925484019	0.731707317073171	0	"model40"
0.831707317073171	0.0507072069252445	0.831707317073171	0.0507072069252445	1	0	"model41"
0.870731707317073	0.0460624893470416	0.870731707317073	0.0460624893470416	1	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0.731707317073171	0.0257095744729137	0.951219512195122	0.0257095744729136	0.780487804878049	0	"model45"
0.421951219512195	0.0258378025724727	0.982926829268293	0.0258378025724727	0.439024390243902	0	"model46"
0.631707317073171	0.0437062766039532	0.631707317073171	0.0437062766039532	1	0	"model47"
0.324390243902439	0.0514833827609352	0.324390243902439	0.0514833827609352	1	0	"model48"
0.778048780487805	0.0568524674375515	0.778048780487805	0.0568524674375515	1	0	"model49"
0.339024390243902	0.0775134077174181	0.339024390243902	0.0775134077174181	1	0	"model50"
0.509756097560976	0.0731255506398987	0.509756097560976	0.0731255506398987	1	0	"model51"
0	0	1	0	0	0	"model52"
0.839024390243902	0.0433265450226804	0.88780487804878	0.0433265450226804	0.951219512195122	0	"model53"
0.673170731707317	0.0892088892640338	0.673170731707317	0.0892088892640338	1	0	"model54"
0.390243902439024	0.0897996830665631	0.390243902439024	0.0897996830665631	1	0	"model55"
