"TSS.MN"	"TSS.sd"	"speci.MN"	"speci.sd"	"sensi.MN"	"sensi.sd"	"model"
0	0	1	0	0	0	"model1"
0	0	1	0	0	0	"model2"
0	0	1	0	0	0	"model3"
0	0	1	0	0	0	"model4"
0.0294117647058824	0	1	0	0.0294117647058824	0	"model5"
0	0	1	0	0	0	"model6"
0	0	1	0	0	0	"model7"
0.573529411764706	0.0207972582701926	0.985294117647059	0.0207972582701926	0.588235294117647	0	"model8"
0	0	1	0	0	0	"model9"
0	0	1	0	0	0	"model10"
0	0	1	0	0	0	"model11"
0	0	1	0	0	0	"model12"
0	0	1	0	0	0	"model13"
0	0	1	0	0	0	"model14"
0	0	1	0	0	0	"model15"
0	0	1	0	0	0	"model16"
0	0	1	0	0	0	"model17"
0	0	1	0	0	0	"model18"
0.429411764705882	0.0151881699851271	0.988235294117647	0.0151881699851271	0.441176470588235	0	"model19"
0	0	1	0	0	0	"model20"
0.470588235294118	0	1	0	0.470588235294118	0	"model21"
0	0	1	0	0	0	"model22"
0	0	1	0	0	0	"model23"
0	0	1	0	0	0	"model24"
0	0	1	0	0	0	"model25"
0.852941176470588	0	1	0	0.852941176470588	0	"model26"
0	0	1	0	0	0	"model27"
0.95	0.0279024499426622	0.979411764705882	0.0279024499426622	0.970588235294118	0	"model28"
0.176470588235294	0	1	0	0.176470588235294	0	"model29"
0	0	1	0	0	0	"model30"
0	0	1	0	0	0	"model31"
0	0	1	0	0	0	"model32"
0.529411764705882	0	1	0	0.529411764705882	0	"model33"
0	0	1	0	0	0	"model34"
0	0	1	0	0	0	"model35"
0	0	1	0	0	0	"model36"
0.873529411764706	0.0142072321041073	0.991176470588235	0.0142072321041073	0.882352941176471	0	"model37"
0	0	1	0	0	0	"model38"
0	0	1	0	0	0	"model39"
0.264705882352941	0	1	0	0.264705882352941	0	"model40"
0.932352941176471	0.0142072321041073	0.991176470588235	0.0142072321041073	0.941176470588235	0	"model41"
0.0588235294117647	0	1	0	0.0588235294117647	0	"model42"
0	0	1	0	0	0	"model43"
0	0	1	0	0	0	"model44"
0	0	1	0	0	0	"model45"
0.95	0.0198514281679574	0.979411764705882	0.0198514281679574	0.970588235294118	0	"model46"
0	0	1	0	0	0	"model47"
0	0	1	0	0	0	"model48"
0	0	1	0	0	0	"model49"
0.967647058823529	0.00930081664755406	0.997058823529412	0.00930081664755406	0.970588235294118	0	"model50"
0	0	1	0	0	0	"model51"
0	0	1	0	0	0	"model52"
0	0	1	0	0	0	"model53"
0	0	1	0	0	0	"model54"
0	0	1	0	0	0	"model55"
0	0	1	0	0	0	"model56"
0	0	1	0	0	0	"model57"
0	0	1	0	0	0	"model58"
0.470588235294118	0	1	0	0.470588235294118	0	"model59"
0	0	1	0	0	0	"model60"
0	0	1	0	0	0	"model61"
0	0	1	0	0	0	"model62"
0.264705882352941	0	1	0	0.264705882352941	0	"model63"
0	0	1	0	0	0	"model64"
0	0	1	0	0	0	"model65"
0.961764705882353	0.0142072321041073	0.991176470588235	0.0142072321041073	0.970588235294118	0	"model66"
0.411764705882353	0	1	0	0.411764705882353	0	"model67"
0	0	1	0	0	0	"model68"
0	0	1	0	0	0	"model69"
0	0	1	0	0	0	"model70"
0.9	0.0522467160567617	0.9	0.0522467160567617	1	0	"model71"
0.938235294117647	0.00930081664755406	0.997058823529412	0.00930081664755406	0.941176470588235	0	"model72"
0	0	1	0	0	0	"model73"
0	0	1	0	0	0	"model74"
0	0	1	0	0	0	"model75"
0	0	1	0	0	0	"model76"
0.352941176470588	0	1	0	0.352941176470588	0	"model77"
0	0	1	0	0	0	"model78"
0	0	1	0	0	0	"model79"
0	0	1	0	0	0	"model80"
0	0	1	0	0	0	"model81"
0	0	1	0	0	0	"model82"
0	0	1	0	0	0	"model83"
0	0	1	0	0	0	"model84"
0.176470588235294	0	1	0	0.176470588235294	0	"model85"
0	0	1	0	0	0	"model86"
0	0	1	0	0	0	"model87"
0	0	1	0	0	0	"model88"
0	0	1	0	0	0	"model89"
0	0	1	0	0	0	"model90"
0.938235294117647	0.0323677921945474	0.938235294117647	0.0323677921945474	1	0	"model91"
0	0	1	0	0	0	"model92"
0	0	1	0	0	0	"model93"
0	0	1	0	0	0	"model94"
0	0	1	0	0	0	"model95"
0	0	1	0	0	0	"model96"
0	0	1	0	0	0	"model97"
0.176470588235294	0	1	0	0.176470588235294	0	"model98"
0	0	1	0	0	0	"model99"
0	0	1	0	0	0	"model100"
0	0	1	0	0	0	"model101"
0.932352941176471	0.0519700324733277	0.932352941176471	0.0519700324733277	1	0	"model102"
0	0	1	0	0	0	"model103"
0.117647058823529	0	1	0	0.117647058823529	0	"model104"
0	0	1	0	0	0	"model105"
0	0	1	0	0	0	"model106"
0	0	1	0	0	0	"model107"
0	0	1	0	0	0	"model108"
0	0	1	0	0	0	"model109"
0	0	1	0	0	0	"model110"
0	0	1	0	0	0	"model111"
0	0	1	0	0	0	"model112"
0.382352941176471	0	1	0	0.382352941176471	0	"model113"
0	0	1	0	0	0	"model114"
0.0294117647058824	0	1	0	0.0294117647058824	0	"model115"
0	0	1	0	0	0	"model116"
0	0	1	0	0	0	"model117"
0	0	1	0	0	0	"model118"
0	0	1	0	0	0	"model119"
0	0	1	0	0	0	"model120"
0.876470588235294	0.0124010888634054	0.994117647058824	0.0124010888634054	0.882352941176471	0	"model121"
0.95	0.0279024499426622	0.979411764705882	0.0279024499426622	0.970588235294118	0	"model122"
0	0	1	0	0	0	"model123"
0.382352941176471	0	1	0	0.382352941176471	0	"model124"
0	0	1	0	0	0	"model125"
0.958823529411765	0.0284144642082146	0.958823529411765	0.0284144642082146	1	0	"model126"
0	0	1	0	0	0	"model127"
0.938235294117647	0.00930081664755406	0.997058823529412	0.00930081664755406	0.941176470588235	0	"model128"
0	0	1	0	0	0	"model129"
0	0	1	0	0	0	"model130"
0	0	1	0	0	0	"model131"
0	0	1	0	0	0	"model132"
0.944117647058824	0.0257527951697327	0.944117647058824	0.0257527951697327	1	0	"model133"
0	0	1	0	0	0	"model134"
0	0	1	0	0	0	"model135"
0	0	1	0	0	0	"model136"
0.470588235294118	0	1	0	0.470588235294118	0	"model137"
0	0	1	0	0	0	"model138"
0	0	1	0	0	0	"model139"
0	0	1	0	0	0	"model140"
0	0	1	0	0	0	"model141"
0.947058823529412	0.0303763399702543	0.976470588235294	0.0303763399702543	0.970588235294118	0	"model142"
0	0	1	0	0	0	"model143"
0	0	1	0	0	0	"model144"
0	0	1	0	0	0	"model145"
0	0	1	0	0	0	"model146"
0.941176470588235	0.0415945165403852	0.941176470588235	0.0415945165403852	1	0	"model147"
0	0	1	0	0	0	"model148"
0	0	1	0	0	0	"model149"
0	0	1	0	0	0	"model150"
0	0	1	0	0	0	"model151"
0	0	1	0	0	0	"model152"
0	0	1	0	0	0	"model153"
0	0	1	0	0	0	"model154"
