speciesID,N,mu1,mu2,sigma11,sigma12,sigma22,def.pos,flag
acrcri,7,1.803536378,0.396209062,12.13895911,-3.055582502,1.437632451,1,0
acrtri,43,5.436154461,-0.963339053,3.877026939,-0.483830908,36.87663938,1,0
agafis,32,5.391984508,0.804681344,1.118454833,-0.487320692,8.204322384,1,0
agaper,19,-4.030279209,38.35383083,6.196595356,-14.29564822,52.50574537,1,4
agaros,67,6.253565655,-2.625922607,1.90381392,-2.140489229,6.728811403,1,0
amaama,295,4.667335242,2.742653359,6.18618378,-2.382523487,4.440771358,1,0
araacu,10,-0.003608645,2.703575453,3.717678718,-1.422687448,2.348311931,1,0
chrpic,19,-0.832704535,0.335354163,2.52587512,1.748498511,2.273541132,1,0
estast,789,-1.597244654,-0.421027749,1.779014878,0.564933207,6.745819667,1,0
estmel,200,2.585391847,8.149190647,2.19703412,-1.971605401,11.87852205,1,0
esttro,90,9.645096718,-5.005612647,7.500357716,-6.303289641,6.917301207,1,11
eupafe,302,0.545031607,0.063081842,2.237897171,0.824551181,3.857004049,2,0
myimon,464,1.538117303,0.207785124,1.710272761,1.142315777,11.62452175,1,0
nannen,40,5.233247173,0.620822035,0.744158307,0.313910975,1.898421951,1,0
plomel,118,1.694208869,1.443294376,1.84886678,-1.965780603,3.31082375,0,15
poicep,129,3.316653351,1.289510378,0.184105237,-0.325898655,1.606482628,2,0
psieup,288,9.520321,9.96652,10.808311,9.571558,48.421626,1,0
psikra,835,11.13634178,11.55679866,21.73479514,51.14858966,360.7247034,1,0
syrrev,24,0.875962566,2.018357279,1.264936256,-0.095174111,0.68758243,1,0
vidmac,890,-1.970128827,2.425742585,4.723858734,1.244149004,15.52545848,1,0
