"speciesID","N.initial","N.cleaned","N.rarefied","N.invasive","N.inv.rarefied"
"acrcri","12","12","7","13","3"
"acrtri","680","680","43","24","9"
"agafis","1878","1878","32","7","3"
"agaper","1223","1223","19","9","3"
"agaros","1372","1372","67","7","2"
"amaama","8630","8630","295","205","40"
"araacu","98","98","10","41","11"
"chrpic","253","241","19","89","27"
"estast","110262","110262","789","953","80"
"estmel","2056","2056","200","58","14"
"esttro","1185","1185","90","80","23"
"eupafe","29691","29691","302","141","34"
"myimon","44998","44998","464","447","88"
"nannen","1016","1016","40","40","12"
"plomel","3843","3843","118","129","28"
"poicep","2511","2511","129","41","17"
"psieup","12574","12574","288","45","11"
"psikra","123678","123678","835","535","113"
"syrrev","194","62","24","228","62"
"vidmac","108736","108736","890","34","8"
