species,x,y
agaros,-1.2086,44.8725
agaros,-1.12527,44.8725
agaros,-1.2086,44.7891
agaros,6.70807,43.4558
agaros,6.7914,43.4558
agaros,6.70807,43.3725
agaros,7.0414,43.6225
acrcri,-3.87527,43.3725
acrcri,-9.37527,38.7058
acrcri,-9.29193,38.7058
acrcri,-9.2086,38.7058
acrcri,-9.04193,38.7058
acrcri,-8.9586,38.7058
acrcri,-9.2086,38.6225
acrcri,-9.12527,38.6225
acrcri,-9.04193,38.6225
acrcri,-8.9586,38.6225
acrcri,-8.87527,38.5391
acrcri,-9.12527,38.4558
acrcri,-7.9586,38.4558
acrtri,-8.79193,42.7058
acrtri,-8.7086,42.7058
acrtri,-1.7086,42.7058
acrtri,-8.7086,42.6225
acrtri,-8.54193,42.2058
acrtri,-8.79193,41.7058
acrtri,2.12473,41.5391
acrtri,2.20807,41.5391
acrtri,1.95807,41.2891
acrtri,2.0414,41.2891
acrtri,3.0414,39.6225
acrtri,3.20807,39.5391
acrtri,2.87473,39.4558
acrtri,-9.4586,38.7058
acrtri,-9.37527,38.7058
acrtri,-9.2086,38.7058
acrtri,-9.04193,38.7058
acrtri,-9.12527,38.6225
acrtri,-9.04193,38.6225
acrtri,-9.04193,38.5391
acrtri,-6.2086,37.3725
acrtri,-6.54193,37.1225
acrtri,-4.87527,36.6225
acrtri,-4.87527,36.5391
agafis,-1.2086,44.7891
agafis,7.37473,43.7891
agafis,7.2914,43.7058
agafis,7.0414,43.6225
agafis,12.2081,43.4558
agafis,12.2914,43.4558
agaper,-1.2086,44.8725
agaper,-1.12527,44.8725
agaper,-1.2086,44.7891
agaper,7.20807,43.7058
agaper,7.2914,43.7058
agaper,5.37473,43.3725
agaper,5.45807,43.3725
agaper,5.37473,43.2891
agaper,5.45807,43.2891
amaama,12.4581,44.9558
amaama,10.3747,43.8725
amaama,10.3747,43.7891
amaama,10.6247,43.7891
amaama,10.7914,43.7891
amaama,-2.9586,43.2891
amaama,3.12473,42.2891
amaama,2.7914,41.9558
amaama,2.70807,41.7891
amaama,2.7914,41.7058
amaama,2.2914,41.6225
amaama,2.37473,41.6225
amaama,0.624734,41.5391
amaama,2.2914,41.5391
amaama,2.37473,41.5391
amaama,2.20807,41.4558
amaama,1.95807,41.3725
amaama,2.0414,41.3725
amaama,2.12473,41.3725
amaama,2.0414,41.2891
amaama,-3.79193,41.2058
amaama,-3.7086,41.2058
amaama,-3.54193,40.4558
amaama,-3.4586,40.4558
amaama,-3.9586,40.3725
amaama,-3.54193,40.3725
amaama,-3.4586,40.3725
amaama,-3.54193,40.2891
amaama,-3.4586,40.2891
amaama,-3.62527,40.2058
amaama,-3.54193,40.2058
amaama,-6.62527,40.1225
amaama,-3.62527,40.1225
amaama,-3.54193,40.1225
amaama,-3.4586,40.1225
amaama,-6.7086,40.0391
amaama,-6.62527,40.0391
amaama,-6.37527,40.0391
amaama,-6.29193,40.0391
amaama,-6.2086,40.0391
amaama,-3.7086,40.0391
amaama,-3.62527,40.0391
