"","lon","lat","PC1","PC2"
"1",101.703,3.13912,6.08326005935669,-2.34750843048096
"41",76.7,11.4,1.47355210781097,-1.49991536140442
"42",77.35,12.58,0.687460243701935,-3.62479329109192
"43",79.9801,12.6853,2.65769386291504,-3.61597108840942
"104",77.6053,13.0047,2.12011337280273,-2.18923425674438
"124",80.1721,13.236,2.48655843734741,-4.06644010543823
"125",76.4406,15.1569,1.1560286283493,-3.25181579589844
"156",74.5102,15.3339,1.93634390830994,-5.75815486907959
"163",107.58,16.47,3.83653855323792,-3.7615282535553
"165",106.114,16.6962,1.54633808135986,-4.43486070632935
"167",78.26,17.22,0.886870741844177,-4.07002687454224
"214",73,19.25,4.23488664627075,-5.38676118850708
"215",77,20,2.80506062507629,-4.39271783828735
"216",85.5,20.13,3.1118049621582,-3.75557923316956
"258",99.8631,20.3287,1.34363913536072,-4.7082142829895
"259",79.559,21.1188,1.5618759393692,-4.62088060379028
"300",71.394,21.602,0.433494001626968,-4.33428001403809
"301",80.33,21.97,-1.28571748733521,-5.13826274871826
"306",88.21,22.35,0.910141229629517,-4.76774024963379
"309",80.703,22.4492,1.84549415111542,-3.61103463172913
"349",72.5826,23.0293,-0.103739693760872,-3.2579984664917
"391",77.42,23.03,1.72402346134186,-4.04965972900391
"392",79.8009,23.1344,2.52483868598938,-3.66198396682739
"483",78.7197,23.5806,1.4211540222168,-4.22169971466064
"486",91.9805,24.5913,2.63245487213135,-4.86674880981445
"489",68.05,24.95,0.231567740440369,-1.41422879695892
"494",94.05,25.3,1.42072260379791,-3.01006197929382
"496",92.6667,25.45,2.45302248001099,-3.25484991073608
"500",91.423,26.0709,2.19793796539307,-4.62179374694824
"521",88.25,26.75,3.30683088302612,-5.07874536514282
"522",80.9338,26.8414,1.31822645664215,-2.26177430152893
"616",84.9833,27.2833,3.24408507347107,-3.24824380874634
"617",95.73,27.3,3.47286581993103,-3.2983546257019
"619",85.25,27.8295,1.52405381202698,-3.18620872497559
"623",84.2285,27.969,3.30192017555237,-3.65429139137268
"629",76.893,28.464,2.30800199508667,-2.70921683311462
"630",75.0293,29.5233,4.01749897003174,-0.331353545188904
"632",78.0265,30.3232,2.45754718780518,-2.83935952186584
"670",74.3436,31.5497,0.680386006832123,-1.38249027729034
"672",77.2219,31.725,2.66881847381592,-0.345794230699539
"679",75.8978,32.3189,2.70136904716492,-2.4510817527771
