"","lon","lat","PC1","PC2"
"1",34.8854,-3.05106,-10.2700700759888,1.52746117115021
"2",34.7461,-2.5352,-9.03638648986816,1.84695374965668
"3",36.0448,-4.07797,-9.3285493850708,2.85347747802734
"4",36.8746,-1.70792,-7.9369044303894,2.69629979133606
"6",36.0412,-0.29125,-4.00416278839111,4.22580528259277
"8",36.3746,-0.79125,-1.13377451896667,2.71021795272827
"14",35.4369,-3.33712,-5.78158235549927,1.81156861782074
"21",34.7079,-0.124583,-2.84966945648193,3.63484907150269
"26",36.8746,-1.20792,-2.62060809135437,5.07945013046265
"27",36.4579,-1.45792,-7.83319139480591,4.08079051971436
"59",36.8472,-3.20582,-6.69585609436035,3.20064687728882
"69",34.1359,-2.20833,-8.70804691314697,3.06187677383423
"119",34.9862,-1.60877,-11.5695686340332,0.889644384384155
"242",36.4204,-3.7787,-7.09161281585693,3.81437873840332
"260",35.9157,-3.54371,-1.21374905109406,1.67224216461182
"333",35.401,-4.1013,-6.60448265075684,2.94537734985352
"371",34.988,-3.84271,-11.0919675827026,1.91602087020874
"384",36.9425,-3.76697,-10.5801906585693,2.58813714981079
"433",35.4476,-1.93614,-7.15327262878418,2.34230542182922
"546",32.9061,-2.51671,-2.50365447998047,3.81802868843079
"597",36.5412,0.292083,-5.67844343185425,3.42384767532349
"635",37.4579,0.20875,-7.06516408920288,4.13178777694702
"693",37.5412,-2.87458,-4.87797212600708,5.11823129653931
"765",35.7079,0.375417,-4.88972187042236,5.19582653045654
"811",33.1833,-4.21667,-8.47695350646973,4.33000421524048
"832",35.2587,0.507667,-3.89178228378296,4.3719539642334
"866",34.7833,-1.16667,-7.28919649124146,3.09453392028809
"991",33.6025,-3.5173,-6.95465421676636,5.20204257965088
"1084",35.2882,-2.76253,-12.1524534225464,0.435941934585571
"1211",37.3149,-3.49021,-3.70141959190369,6.96331739425659
"1247",35.8131,-2.67074,-10.0080699920654,2.18429970741272
"1804",36.6804,-2.67976,-6.70642328262329,3.02579212188721
