"","lon","lat","PC1","PC2"
"1",35.9967,-3.77003,-8.94202423095703,3.636225938797
"7",34.9114,-7.68111,-9.4072732925415,3.52677536010742
"12",36.6943,-3.5573,-5.65503263473511,5.92410564422607
"46",35.4484,-2.95689,-9.30606746673584,2.1476891040802
"69",34.0762,-8.70461,-5.79093074798584,5.8969841003418
"81",36.9381,-3.07322,-11.6727809906006,1.19398880004883
"100",35.3925,-7.59122,-6.44563627243042,5.26008892059326
"151",35.1895,-7.14273,-8.50902271270752,3.52568292617798
"179",36.2638,-3.40059,-6.05048799514771,4.78749418258667
"195",35.4372,-8.51171,-4.72613191604614,3.69068717956543
"228",34.9972,-3.02012,-11.1574487686157,0.912564337253571
"483",35.0115,-6.47608,-7.72717094421387,4.54568958282471
"585",36.0996,-4.23954,-7.16126108169556,4.01832437515259
"597",34.7407,-4.81189,-4.62722539901733,5.22158479690552
"630",36.6599,-8.27668,-8.14427471160889,5.05674076080322
"652",37.2751,-3.45238,-3.23566102981567,7.39224147796631
"1068",35.0052,-4.01496,-10.1884660720825,1.92986941337585
"1160",35.75,-6.18,-3.73807668685913,6.2558479309082
"1210",35.3197,-5.98,-6.07917404174805,6.00365829467773
