"","lon","lat","PC1","PC2"
"1",12.6073,-18.0818,-7.63545370101929,-0.423396706581116
"3",12.9442,-18.7414,-9.11763763427734,-3.74285387992859
"5",13.245,-17.002,-6.93893432617188,2.31749057769775
"13",13.5526,-12.9324,-4.6713695526123,5.4875316619873
"16",13.5799,-17.3805,-3.71396327018738,3.18282747268677
"22",13.6189,-19.1239,-8.03003692626953,-1.05080652236938
"41",13.8294,-18.0586,-4.8523383140564,2.52287769317627
"47",13.8738,-20.2332,-11.8005199432373,-4.72828435897827
"115",13.9624,-15.3783,-4.17350053787231,3.8564121723175
"119",14.1145,-17.4301,-6.14339733123779,2.55967998504639
"121",14.1331,-19.8514,-6.64971971511841,2.15599918365479
"144",14.2628,-11.0682,-2.77800321578979,4.07078552246094
"146",14.3145,-16.5037,-7.91165590286255,2.45860457420349
"147",14.3347,-19.4249,-8.11306476593018,1.4791351556778
"156",14.3712,-20.5695,-9.23208332061768,-2.86800265312195
"167",14.5626,-17.2478,-7.48559904098511,2.29436087608337
"172",14.6764,-21.0938,-10.6002817153931,-4.27639961242676
"183",14.7605,-19.9685,-8.26040458679199,1.72629618644714
"193",14.8502,-19.3806,-7.83350610733032,1.84208965301514
"204",15.1631,-21.8335,-10.8736305236816,-2.14202570915222
"311",15.1788,-20.3042,-8.15019035339355,1.55810034275055
"341",15.4783,-19.3575,-8.34643745422363,1.80870175361633
"359",15.5447,-21.5298,-6.83440637588501,1.70421695709229
"384",15.6988,-22.4552,-9.47601795196533,-1.26397705078125
"386",15.768,-17.7833,-5.39880275726318,1.79837155342102
"388",15.7718,-23.3041,-11.0536766052246,-3.02072429656982
"397",15.8007,-24.4869,-11.6434125900269,-6.87217092514038
"641",15.8876,-23.75,-10.589879989624,-3.93056035041809
"656",15.9162,-19.181,-8.52067184448242,1.34132766723633
"725",16.084,-21.3559,-8.05315113067627,1.49346530437469
"741",16.2387,-24.2633,-8.74635887145996,-1.57874417304993
"759",16.2942,-24.9362,-8.27509212493896,-2.03070688247681
"763",16.3146,-23.2536,-7.5832724571228,0.684228777885437
"766",16.4223,-25.7524,-8.39308834075928,-2.31528067588806
"771",16.4717,-19.0317,-8.53480529785156,2.03626441955566
"772",16.652,-20.4731,-5.40485763549805,2.31562328338623
"775",16.6669,-21.0396,-7.25248146057129,1.77421462535858
"779",16.761,-22.5771,-8.972731590271,0.690420627593994
"783",16.9237,-24.5654,-8.91220951080322,-1.14966011047363
"789",16.9401,-18.8125,-4.73583698272705,2.06991195678711
"812",17.0165,-23.3223,-7.36368942260742,0.887641906738281
"895",17.1256,-20.761,-8.3847599029541,1.31715106964111
"969",17.1581,-22.2727,-8.31638813018799,1.3298956155777
"970",17.1606,-19.8804,-8.15982151031494,1.67612600326538
"971",17.1869,-21.556,-8.19581031799316,1.54115068912506
"974",17.2086,-22.788,-7.31830739974976,0.945542573928833
"975",17.2091,-19.3919,-6.79376173019409,2.47196245193481
"1082",17.3376,-20.3527,-8.1525354385376,1.21427249908447
"1091",17.6838,-23.0049,-8.59424591064453,0.58456814289093
"1092",17.8447,-24.4869,-9.00571823120117,-0.452027827501297
"1097",17.9208,-25.4352,-6.29611110687256,-1.47919082641602
"1099",17.963,-24.0196,-8.02236461639404,0.283775210380554
"1100",18.0366,-27.0309,-9.8148946762085,-5.98618841171265
"1102",18.1412,-26.4958,-8.59941864013672,-3.50365424156189
"1119",18.4885,-21.4592,-8.324538230896,0.741534411907196
"1120",18.569,-27.3298,-9.20953750610352,-3.11211323738098
"1121",18.608,-25.9409,-7.12554931640625,-1.95856177806854
"1125",18.9579,-28.8746,-6.69284439086914,-4.62788486480713
"1171",19.3253,-21.7483,-8.06565475463867,0.793974757194519
"1173",19.5413,-28.7079,-8.80468082427979,-4.96719646453857
"1175",19.6361,-28.0966,-8.48044013977051,-2.59146404266357
"1189",20.1246,-28.8746,-10.1375846862793,-5.05719757080078
"1198",20.125,-28.375,-8.55893421173096,-1.09200549125671
"1279",20.5413,-28.0413,-10.0421667098999,-2.37487173080444
"1315",20.8746,-28.7079,-3.44812679290771,-1.32928109169006
"1318",20.8746,-29.2079,-9.7325496673584,-5.08990383148193
"1360",21.3746,-28.3746,-4.05646133422852,-0.562955796718597
