"","lon","lat","PC1","PC2"
"61",10.3747,43.8725,1.656374335289,0.566066086292267
"65",-2.9586,43.2891,3.8042778968811,4.85401916503906
"68",2.70807,41.7891,1.86602020263672,2.31291604042053
"72",0.624734,41.5391,2.51716041564941,3.51131224632263
"80",-3.79193,41.2058,0.536849617958069,1.84941911697388
"82",-3.54193,40.4558,1.15550076961517,3.55103945732117
"91",-6.62527,40.1225,1.39077913761139,2.21302795410156
"106",-5.79193,39.9558,1.42200112342834,2.77050018310547
"108",-4.87527,39.9558,2.65575814247131,4.5492467880249
"110",-3.79193,39.9558,4.34346199035645,7.17994546890259
"113",-7.12527,39.8725,1.31790697574615,2.75387787818909
"124",-0.291933,39.7058,1.28492438793182,1.44087290763855
"128",-6.37527,39.4558,2.63932228088379,4.41233015060425
"129",-8.54193,39.3725,2.74285459518433,2.47265243530273
"132",-5.7086,39.3725,-0.341590166091919,0.813513338565826
"138",-7.04193,39.1225,0.475376278162003,1.50631904602051
"146",-5.12527,39.1225,-0.25865912437439,0.608175456523895
"161",-6.4586,38.9558,1.51192939281464,2.8111560344696
"196",-7.4586,38.6225,-0.256805658340454,0.759476244449615
"204",-6.62527,38.3725,0.274744659662247,1.46980679035187
"210",-8.04193,38.2058,1.03672850131989,2.08527421951294
"219",-5.54193,37.7058,0.61844527721405,1.19340085983276
"221",-8.7086,37.6225,1.37802803516388,1.76694631576538
"224",-7.4586,37.5391,-0.863836050033569,-0.201214835047722
"227",-6.2086,37.5391,0.545283019542694,1.4868471622467
"235",-3.62527,37.2058,2.97592067718506,5.52906608581543
"236",-6.4586,37.1225,0.994560897350311,1.83686506748199
"240",-5.79193,37.1225,4.07979011535645,3.46659731864929
"246",-4.87527,36.8725,0.98834639787674,2.21822786331177
"251",-4.12527,36.7891,2.03041529655457,2.8614649772644
"254",-3.04193,36.7891,-2.24863004684448,-0.799828708171844
"260",-5.9586,36.2891,2.10570740699768,1.33899807929993
