"","lon","lat","PC1","PC2"
"1",74.5782,32.8356,3.09469127655029,1.22903323173523
"6",75.0247,32.5629,2.50621032714844,0.466982960700989
"14",75.9047,31.9603,3.08611106872559,0.624461472034454
"19",76.5523,31.6231,1.38782906532288,-2.02287936210632
"21",74.3436,31.5497,0.987999677658081,0.691910684108734
"33",74.9589,31.1521,4.20674324035645,2.85878252983093
"59",76.4902,31.0316,0.301401764154434,-2.22161602973938
"63",77.0054,30.8589,2.09304475784302,-0.475420564413071
"99",74.8506,30.6263,2.34684896469116,0.645950496196747
"109",77.6656,30.4371,2.94544053077698,-1.25850200653076
"239",78.2746,30.0308,2.99440765380859,-0.0569590516388416
"243",76.5888,29.9906,2.661705493927,0.0816765427589417
"277",78.9769,29.6248,0.58381313085556,-4.0427942276001
"369",75.5235,29.48,2.58308625221252,0.872006952762604
"396",78.0383,29.3732,2.37088012695312,0.656893253326416
"440",79.2839,29.1309,1.91904747486115,-2.54379940032959
"449",76.6924,29.0933,3.72348761558533,1.99911665916443
"455",78.7931,28.8371,2.82619690895081,-0.173559337854385
"456",76.1559,28.8284,3.18056702613831,2.4658317565918
"462",80.1729,28.819,1.78897976875305,-2.15777993202209
"465",77.2007,28.7994,3.79772996902466,2.14370203018188
"651",76.5923,28.5866,3.10504484176636,1.69175171852112
"1489",80.6441,28.4942,1.47008752822876,-2.6825008392334
"1798",81.2384,28.4693,3.24679493904114,-0.352583944797516
"1964",79.4983,28.4037,2.12785387039185,-0.192390456795692
"1994",77.5255,28.3559,2.91434049606323,0.920303285121918
"2026",78.2932,28.3074,2.48218059539795,-0.135911092162132
"2054",95.8431,28.1425,3.45474362373352,-1.45044994354248
"2056",81.7932,28.072,1.1790953874588,-2.58019161224365
"2057",78.2189,27.8593,3.45889854431152,0.194799050688744
"2070",82.2219,27.7708,1.17885911464691,-2.83011174201965
"2073",85.2667,27.7445,2.33382296562195,-0.196694940328598
"2075",83.2215,27.6799,0.463644117116928,-3.94213461875916
"2180",77.5637,27.6445,4.26257467269897,2.4860577583313
"2197",95.3944,27.5762,3.09253549575806,-2.19354939460754
"2199",84.497,27.5733,2.37761664390564,-2.39197111129761
"2248",83.8464,27.3221,2.38844347000122,-0.62967711687088
"2249",79.9753,27.3022,3.98789381980896,1.23526453971863
"2250",77.8423,27.2534,2.93051218986511,1.0031533241272
"2524",81.4759,27.1021,1.58572864532471,-0.0955080464482307
"2528",79.1814,27.0225,3.85208296775818,0.981425523757935
"2535",80.8784,26.974,1.90036284923553,-1.4184775352478
"2539",78.4727,26.9014,2.56914567947388,-0.606688737869263
"2540",88.1986,26.8992,2.99914479255676,-4.55139875411987
"2678",89.6087,26.7038,4.46841907501221,-3.90374493598938
"2679",77.8933,26.6981,2.28778791427612,0.236172705888748
"2680",93.5128,26.6941,3.39078450202942,0.564848065376282
"2682",87.0014,26.6659,1.76839280128479,-1.6531845331192
"2706",92.3031,26.5573,3.70540380477905,1.08532214164734
"2707",80.3032,26.4369,2.3121817111969,1.02672505378723
"2708",92.9048,26.3516,2.27480268478394,-2.03942847251892
"2711",91.6243,26.2512,2.22147750854492,-2.94373345375061
"2715",81.3889,25.9975,3.21718692779541,0.0941396430134773
"2717",82.9205,25.7482,2.3720006942749,-1.16909325122833
"2718",74.2643,25.6985,2.939133644104,2.44699907302856
"2719",81.8467,25.4135,2.3796124458313,0.090843178331852
"2725",96.4644,25.2824,3.8743782043457,-1.47064220905304
"2727",75.7884,25.2048,1.69421923160553,0.0830880105495453
"2729",73.524,25.1631,-0.218353018164635,-2.08843088150024
"2733",75.1704,25.0959,1.48549616336823,0.713284432888031
"2734",87.9647,24.9897,2.83712601661682,0.821432828903198
"2746",98.9006,24.9416,2.4835422039032,-0.428495675325394
"2753",72.7755,24.6496,0.621555387973785,-1.82505297660828
"2755",73.6844,24.5426,2.40069770812988,1.79118800163269
"2762",97.6319,24.4605,-0.0235126875340939,-3.90437483787537
"2765",82.9725,24.4357,3.02272605895996,1.27984273433685
"2766",81.9102,24.4099,1.37267076969147,-2.06157255172729
"2768",75.4818,24.2868,2.65138149261475,-0.68884813785553
"2769",91.7104,24.213,1.92279875278473,-3.43735408782959
"2770",85.3164,24.0248,1.59075975418091,-1.25957047939301
"2774",73.2786,23.9971,1.02331399917603,-2.63666844367981
"2777",97.7992,23.9846,2.01465439796448,-1.02914094924927
"2778",90.3734,23.8671,3.40124464035034,-0.739945530891418
"2779",80.4374,23.8436,2.47515606880188,-0.518798768520355
"2780",87.4047,23.8201,2.05719709396362,-1.54696691036224
"2781",86.8456,23.8151,1.40476012229919,-1.81903350353241
"2782",81.0279,23.7231,0.404460161924362,-3.73862886428833
"2784",88.0718,23.6926,3.08306622505188,-1.73144018650055
"2812",71.0786,23.5575,-2.23163890838623,-2.46917057037354
"2817",79.7882,23.5466,1.49175834655762,-1.79774367809296
"2838",74.9459,23.4525,2.49628496170044,-0.78341543674469
"2839",85.318,23.443,1.63321805000305,-2.21313858032227
"2841",103.406,23.3619,3.13075590133667,1.83004212379456
"2844",102.406,23.3619,1.62561631202698,-0.84959876537323
"2856",75.8247,23.2499,3.23533463478088,0.679593682289124
"2857",77.3685,23.2331,3.12847781181335,0.350809991359711
"2884",87.1038,23.2192,2.84769177436829,-0.540734231472015
"2885",86.0856,23.213,1.47829985618591,-2.22583389282227
"2889",81.588,23.1989,1.75853061676025,-0.570288717746735
"2893",72.6484,23.1933,1.73864591121674,-0.729153215885162
"2903",87.9716,23.1709,3.97911548614502,0.438628137111664
"2905",71.7133,23.1595,-3.27166104316711,-3.33347320556641
"2942",79.9894,23.0988,3.22420883178711,0.201196998357773
"2978",88.5447,22.9467,1.64736986160278,-3.09413838386536
"2986",74.2393,22.9084,1.68788385391235,-1.08018684387207
"3001",72.0983,22.8298,1.05310380458832,-1.90779602527618
"3002",75.6922,22.8135,2.76471829414368,-0.84976452589035
"3019",101.083,22.7667,1.00581872463226,-2.61823534965515
"3046",72.6594,22.7043,2.30671882629395,-1.42191433906555
"3095",80.3413,22.6511,2.45185852050781,-0.813962399959564
"3212",78.1368,22.5802,2.39888787269592,-0.974979817867279
"3227",73.2634,22.5747,0.704411089420319,-3.13000655174255
"3268",81.748,22.5346,-1.19356977939606,-5.55269908905029
"3272",73.9363,22.5212,1.42416298389435,-1.9306355714798
"3276",87.9747,22.4654,1.9946813583374,-2.39769673347473
"3295",87.2968,22.4099,2.72453093528748,-0.729142010211945
"3302",76.0182,22.3803,1.20869100093842,-2.71784710884094
"3320",95.9879,22.3143,3.217529296875,0.73464959859848
"3442",84.9085,22.2508,2.82316613197327,-0.0456961095333099
"3444",79.752,22.2236,1.34306001663208,-2.59660935401917
"3448",80.9626,22.1941,-0.866441965103149,-4.86436986923218
"3454",73.4938,22.1637,2.27158808708191,-1.61167967319489
"3467",82.1384,22.1303,2.94502949714661,-0.604088306427002
"3470",88.8351,22.1265,4.09659957885742,-0.241731330752373
"3484",83.933,22.0061,3.16400909423828,0.0558310560882092
"3485",82.6106,22.0006,4.02154874801636,0.826678991317749
"3546",87.5376,21.9002,2.09023213386536,-2.74272441864014
"3547",81.4438,21.8994,1.89703261852264,-2.35593366622925
"3551",96.0528,21.8351,4.32394170761108,1.89070737361908
"3552",72.9844,21.8093,0.835245788097382,-3.17695450782776
"3554",83.389,21.7714,2.33694982528687,-2.57011389732361
"3557",79.331,21.743,0.547699809074402,-3.42426443099976
"3563",77.0725,21.6938,1.03660011291504,-3.05063486099243
"3566",82.1363,21.6726,2.59566497802734,-0.740668654441833
"3619",80.2198,21.5178,2.01835203170776,-2.96649098396301
"3630",100.506,21.5083,0.718849897384644,-3.67395687103271
"3692",84.007,21.4505,2.42366433143616,-2.48087620735168
"3723",81.7431,21.3716,3.36230397224426,-0.497886598110199
"3788",72.7097,21.2792,1.93930435180664,-2.06418967247009
"3796",78.7626,21.27,1.73958992958069,-1.87556934356689
"3826",79.6193,21.2513,2.08802771568298,-2.32635760307312
"3966",81.2796,21.1857,2.45968437194824,-0.70927232503891
"3979",94.8587,21.1721,3.13096714019775,0.601686000823975
"4018",73.7916,21.1572,2.34787583351135,-1.11985599994659
"4067",82.1681,21.1157,1.90077245235443,-2.25141859054565
"4116",105.854,21.0475,3.92447853088379,1.60320127010345
"4122",79.211,20.9961,2.9512825012207,-0.945255517959595
"4134",94.4055,20.988,0.915585517883301,-2.47737383842468
"4140",74.7183,20.9493,1.11457312107086,-0.893794536590576
"4157",86.1543,20.7476,2.97168064117432,-1.20296442508698
"4158",81.5593,20.7195,3.26657891273499,-0.170025542378426
"4170",96.5659,20.6509,0.556871592998505,-2.31196117401123
"4171",85.6184,20.6416,3.76474976539612,0.559465706348419
"4172",79.943,20.619,3.60607028007507,-0.131806671619415
"4180",79.0423,20.563,2.46794986724854,-2.4417986869812
"4185",82.3159,20.5183,1.1209043264389,-3.03449106216431
"4206",81.7876,20.3186,3.03523206710815,0.278834015130997
"4207",100.091,20.3032,3.18400382995605,-0.61744350194931
"4320",79.426,20.2504,1.29955863952637,-2.85634160041809
"4340",73.0374,20.2172,4.9329833984375,-0.879801213741302
"4346",100.563,20.1727,1.69553792476654,-3.09751963615417
"4381",99.1588,20.1243,-0.255658268928528,-3.87317824363708
"4384",74.1052,20.0089,1.25203907489777,-1.75939333438873
"4410",73.5927,19.9392,2.53939342498779,-1.76558792591095
"4413",82.6657,19.8945,0.914139330387115,-3.10921740531921
"4421",74.6722,19.6078,1.94879674911499,-1.07326912879944
"4422",73.2435,19.5882,2.67001008987427,-5.86709308624268
"4801",99.5048,19.3676,1.22386872768402,-2.24563908576965
"4805",79.483,19.354,2.50079488754272,-0.846979439258575
"4811",73.7806,19.3419,2.31275057792664,-0.971919238567352
"4813",82.0947,19.2715,2.65267872810364,-1.05919110774994
"5031",98.9584,19.1639,1.79187905788422,-2.32391214370728
"5129",74.7798,19.1168,1.08054554462433,-0.955631494522095
"5162",73.0864,18.9988,4.05876350402832,-4.58545589447021
"5166",98.2796,18.9905,0.567464113235474,-3.41533875465393
"5223",74.1534,18.8151,0.00168802565895021,-2.90456008911133
"5277",82.81,18.7385,4.22716760635376,2.12307929992676
"5285",73.6671,18.7251,2.72941136360168,-0.607445657253265
"5293",98.9668,18.6811,2.42485070228577,-1.11867594718933
"5303",98.4995,18.5692,0.264828592538834,-2.90503311157227
"5525",80.5,18.4761,1.49631083011627,-2.71946239471436
"5544",74.4202,18.4312,0.266984134912491,-2.15741801261902
"5577",103.679,18.3707,4.69287347793579,-2.41002130508423
"5703",73.8849,18.2697,1.59965348243713,-1.22058022022247
"5711",79.9189,18.2443,3.5993218421936,0.39823117852211
"5730",102.683,18.0064,2.89483690261841,-2.16508936882019
"5760",80.179,17.8321,0.363602310419083,-4.05164813995361
"5763",82.4922,17.8178,1.55847179889679,-2.31028008460999
"5765",80.807,17.7724,2.4314866065979,-2.18182635307312
"5766",73.9812,17.7081,1.66292417049408,-1.54710304737091
"5767",81.715,17.5994,0.501166105270386,-4.60180902481079
"5772",73.516,17.538,4.30157279968262,-5.19920444488525
"5773",95.8598,17.386,2.77104425430298,-3.55545353889465
"5776",96.4751,17.3268,4.05519580841064,-2.60359144210815
"5777",82.0966,17.3116,2.21925377845764,-1.96916127204895
"5779",74.3688,17.1494,1.39619743824005,-1.49935674667358
"5781",96.1135,16.9952,3.54322528839111,-2.32082200050354
"5784",81.7331,16.9295,2.59463334083557,-1.72858595848083
"5825",95.2483,16.7658,2.9157350063324,-3.61614155769348
"5829",74.6576,16.742,2.30236530303955,-0.741248965263367
"5837",98.5621,16.6957,3.18514657020569,-2.0827271938324
"5846",73.9954,16.4105,3.54682469367981,-4.45197868347168
"5849",75.2416,15.8915,0.661401331424713,-1.8290274143219
"5851",74.4641,15.8765,2.99548316001892,-2.91719388961792
"5853",100.19,15.7163,3.19100475311279,-1.11921548843384
"5873",99.5538,15.6602,2.28836894035339,-3.18853092193604
"5923",74.9629,15.517,1.09054493904114,-3.16382455825806
"6075",74.2645,15.3401,2.20255875587463,-6.82043361663818
"6089",75.5144,15.2245,1.0513162612915,-1.74027740955353
"6097",101.082,15.0662,4.05034399032593,-0.458469361066818
"6101",100.666,14.7315,3.03265643119812,-2.24444127082825
"6102",101.425,14.7119,2.77263021469116,-1.38123893737793
"6108",74.8486,14.6057,2.63463568687439,-4.81069135665894
"6112",75.8204,14.5111,2.42142581939697,-0.400170058012009
"6115",100.141,14.4575,4.15533304214478,-0.417885571718216
"6125",101.166,14.2953,2.26904225349426,-2.39288187026978
"6128",104.566,14.1128,1.87924897670746,-3.39981579780579
"6147",100.721,14.082,3.28196930885315,-0.852781713008881
"6151",78.4069,14.0583,0.525470376014709,-1.9400817155838
"6152",99.9749,14.0236,3.65896582603455,-0.581324875354767
"6192",103.301,13.8688,1.67436015605927,-3.82642030715942
"6268",77.9424,13.7028,-0.328893691301346,-2.15109395980835
"6291",79.4684,13.6487,3.43065547943115,0.57067346572876
"6315",103.963,13.6004,1.7909609079361,-3.55058336257935
"6368",77.501,13.4288,1.06934320926666,-1.23723340034485
"6383",75.7745,13.3178,1.54350316524506,-2.08856129646301
"6462",76.5544,13.2838,0.496027648448944,-1.75614809989929
"6483",99.8718,13.1947,3.98353433609009,0.0281128194183111
"6508",103.55,13.1771,0.16185799241066,-5.08310079574585
"6982",78.7837,13.0444,0.993219673633575,-2.54438233375549
"6984",77.0333,13.0227,1.60060882568359,-1.78251326084137
"6986",104.443,13.0224,0.907593190670013,-3.91433262825012
"7150",74.8373,12.9624,4.93708467483521,-4.15005779266357
"7358",77.5644,12.9456,1.80780708789825,-0.376690894365311
"7361",79.4506,12.9397,1.48854339122772,-2.99150085449219
"7427",104.903,12.86,3.43692755699158,-0.648685991764069
"7491",78.2527,12.816,0.399504452943802,-2.06394672393799
"7630",103.91,12.7518,0.144031152129173,-4.19171571731567
"7640",76.2908,12.7402,0.345256716012955,-2.23395848274231
"7697",106.011,12.6149,2.7594108581543,-1.6495156288147
"7714",76.9548,12.5485,1.17072856426239,-2.20693445205688
"7745",77.4439,12.4372,0.837785720825195,-2.66222667694092
"7782",105.047,12.3996,1.48973429203033,-4.20954561233521
"7844",76.5565,12.3084,0.403654247522354,-2.55728101730347
"8029",99.8865,12.1294,3.23169136047363,-0.925819337368011
"8033",77.0603,12.1005,2.19824838638306,-1.59375500679016
"8044",79.585,12.0767,2.5193247795105,-1.75247144699097
"8048",76.1153,12.0528,-0.202759072184563,-6.01044845581055
"8087",104.907,11.9124,2.46892333030701,-2.50975847244263
"8092",76.6909,11.8102,0.728624403476715,-2.16333675384521
"8094",77.1362,11.6538,-0.49636173248291,-3.5493586063385
"8099",78.4055,11.6432,0.954954504966736,-3.05802369117737
