"","lon","lat","PC1","PC2"
"1",-72.0738,4.31087,-1.03307914733887,2.84781980514526
"2",-71.3333,12.1666,0.399799376726151,1.59060192108154
"3",-72.5272,11.1473,2.95869302749634,2.71075677871704
"84",-73.4935,10.6111,1.89620661735535,3.15972018241882
"89",-65.3,-26.6,-0.841409683227539,-0.113414824008942
"90",-64.4851,-25.5805,-0.579439520835876,-0.146567225456238
"91",-44.53,-11,-2.09451055526733,-0.791596829891205
"95",-64.9,-24.62,2.06108927726746,0.605850279331207
"96",-63.0742,-38.6269,2.02219820022583,-2.19333028793335
"98",-58.5525,-24.9827,-0.0522889532148838,0.728145837783813
