"","lon","lat","PC1","PC2"
"1",-11.1127,9.18345,1.96608531475067,-4.14300775527954
"2",-10.1496,8.55183,2.86515212059021,-4.32392835617065
"3",-8.53551,7.56391,2.36123418807983,-3.24114274978638
"366",8.64092,3.35098,4.13625907897949,-3.47769665718079
"432",9.375,6.375,2.94791841506958,-4.06364583969116
"442",9.42455,-1.97543,4.44211530685425,-0.907525479793549
"450",9.67926,4.83063,2.96126484870911,-4.53964138031006
"481",9.84148,3.80087,4.45784091949463,-4.26463031768799
"482",10.0652,5.44611,1.92520833015442,-3.8252272605896
"484",10.163,5.94878,1.99360799789429,-3.83831310272217
"499",10.617,6.2296,2.51087713241577,-3.16047286987305
"500",10.6354,5.63567,2.17470145225525,-3.19002413749695
"501",11.4019,-3.84426,1.29665815830231,-2.63381290435791
"502",11.4617,3.87183,3.55064249038696,-1.89243113994598
"526",11.6419,3.3756,1.47127795219421,-3.10189771652222
"527",11.6553,6.0884,0.902461349964142,-4.28723907470703
"528",11.7111,5.40021,0.992972910404205,-3.82435989379883
"530",11.9794,-15.7776,-5.94788217544556,2.21458911895752
"531",12.0247,-4.9762,3.16473174095154,-1.58602964878082
"536",12.2462,3.76983,2.5997052192688,-2.86179375648499
"538",12.6073,-18.0818,-1.85830783843994,-0.751315951347351
"539",12.6333,6.46667,2.09682941436768,-3.19866728782654
"540",12.7334,3.38292,0.614528656005859,-3.03834748268127
"541",12.7749,0.544685,2.68427133560181,-2.68460774421692
"552",12.9136,-18.8055,-4.96144723892212,1.88338017463684
"554",13.0315,-5.01682,1.87554121017456,-2.76624608039856
"563",13.2256,0.77237,1.44532978534698,-2.89179635047913
"564",13.245,-17.002,-1.1325169801712,-2.10885000228882
"567",13.2689,-9.62194,0.841526329517365,-2.87552523612976
"570",13.3041,-15.15,1.0569509267807,-1.49744415283203
"578",13.5604,-8.8696,2.25224232673645,-2.28028964996338
"580",13.5667,7.36667,1.51819169521332,-3.18729829788208
"584",13.63,-17.398,0.79823225736618,-1.78876841068268
"593",13.9354,-19.8825,-2.97767114639282,-0.782772958278656
"599",14.0395,-9.98422,1.60804390907288,-2.23728132247925
"600",14.1145,-17.4301,-0.479065299034119,-1.95334303379059
"601",14.1234,-5.44059,1.42715954780579,-3.79699468612671
"602",14.1704,-11.3219,1.47474908828735,-2.06375479698181
"630",14.2756,-10.5856,1.27426505088806,-1.85302686691284
"649",14.4644,-8.85622,0.810622096061707,-2.42093276977539
"702",14.5,-14.1333,0.857707500457764,-1.79945743083954
"710",14.5131,-9.75218,1.9623236656189,-2.88990759849548
"821",14.5528,-21.1229,-0.568199157714844,-1.02960276603699
"831",14.6042,0.404475,0.238594010472298,-3.17727303504944
"835",14.65,-17.431,0.207403600215912,-1.21496546268463
"850",14.733,-22.6346,-6.0090651512146,2.94874954223633
"852",14.7605,-19.9685,-1.72018730640411,-2.21698904037476
"874",14.7898,-9.35337,1.28439223766327,-2.55414295196533
"880",14.8647,-10.4249,1.53361117839813,-3.06822824478149
"883",14.9003,-7.79841,0.947936117649078,-2.45977330207825
"885",14.9289,0.927869,0.62969183921814,-2.95635914802551
"891",14.9697,-11.8582,1.2749308347702,-2.74189734458923
"893",14.9854,-23.0539,-7.66309595108032,3.17281746864319
"895",15.041,-23.5601,-6.01998043060303,2.67382383346558
"896",15.0595,-13.7386,1.10327446460724,-1.59342586994171
"897",15.1526,-12.4282,0.923257887363434,-3.05861973762512
"915",15.1759,-21.8352,-3.34607219696045,-0.929119288921356
"918",15.2331,-4.33055,2.43568325042725,-2.01589369773865
"924",15.5319,-22.9287,-6.12880039215088,1.87184584140778
"926",15.5889,-9.66973,0.95209151506424,-3.04414367675781
"927",15.779,-12.8681,1.02825272083282,-2.39408349990845
"928",15.8007,-24.4869,-5.74485683441162,2.43010830879211
"929",15.8039,-22.2943,-2.80553507804871,-1.87532150745392
"930",15.8745,-21.461,-1.70571410655975,-1.95360612869263
"933",15.9162,-19.181,-2.2294294834137,-1.87921285629272
"942",16.0011,-9.07393,0.739277124404907,-2.91886043548584
"944",16.0068,-23.8931,-3.77312564849854,-0.00309963501058519
"974",16.4557,-25.8021,-2.32835912704468,0.509344935417175
"993",16.4713,-19.0354,-1.95792710781097,-2.32563972473145
"1015",16.645,-20.8571,-0.543347835540771,-1.58134961128235
"1023",16.7466,-22.1074,-1.84065771102905,-1.98120224475861
"1025",16.7833,-12.1833,1.33780407905579,-2.38032507896423
"1091",16.9161,-27.5044,-5.12939071655273,2.77208662033081
"1092",16.9341,-22.5441,-2.26422739028931,-1.84778571128845
"1130",16.9575,-20.2896,-1.49304282665253,-1.85160076618195
"1143",17.0148,-23.3233,-1.36875176429749,-1.17917537689209
"1400",17.2175,-26.7573,-3.34409403800964,2.53964805603027
"1411",17.2913,-30.2079,-1.64910292625427,-0.201545268297195
"1421",17.3746,-28.3746,-2.1882803440094,3.32335495948792
"1448",17.4885,-27.9209,-4.81433057785034,2.21650552749634
"1485",17.6246,-28.7913,-3.62303853034973,3.50193905830383
"1486",17.6246,-30.7913,-2.36448264122009,-0.468097120523453
"1497",17.6246,-29.6246,-1.00994718074799,-0.524030208587646
"1525",17.8447,-24.4869,-2.06974267959595,-0.600723087787628
"1530",17.8746,-30.2913,0.0128198293969035,-0.396503567695618
"1689",18.1015,-28.9575,-3.81900691986084,2.28967976570129
"2161",18.125,-29.875,-2.34644770622253,1.07049894332886
"2355",18.2377,-26.4815,-3.58106398582458,0.917525768280029
"2566",18.3746,-30.7079,-1.88557660579681,-0.582616746425629
"4242",18.401,-24.3375,-1.76263558864594,-0.787705481052399
"4573",18.4438,-21.6271,-2.12233781814575,-1.24424338340759
"6392",18.4997,-19.2329,-1.03298401832581,-2.17657399177551
"6855",18.5413,-33.7079,5.50321531295776,2.6129834651947
"6902",18.5413,-33.0412,5.05212593078613,3.0407817363739
"7038",18.5413,-31.2913,-3.20194697380066,0.105157673358917
"8125",18.6246,-28.8746,-2.25849580764771,2.80861592292786
"9871",18.7913,-31.7913,-0.508381128311157,-0.257187277078629
"9959",18.7913,-32.2912,1.67982161045074,0.383395552635193
"12173",18.9579,-33.3746,5.35011768341064,3.04247522354126
"12668",18.9579,-29.2913,-4.92663145065308,2.67094087600708
"12818",19.0413,-32.8746,2.82794499397278,1.14426934719086
"12889",19.0413,-33.9579,3.53814673423767,0.191919401288033
"12997",19.0413,-31.1246,0.97393524646759,0.350336045026779
"14580",19.2079,-28.8746,-3.66597127914429,2.02782344818115
"14863",19.2913,-32.4579,-0.699911415576935,1.03656899929047
"14957",19.2913,-31.9579,0.0215579271316528,0.0897237509489059
"16053",19.4283,-22.3399,-1.93170380592346,-1.21968007087708
"16060",19.4579,-33.6246,3.80534839630127,1.26119208335876
"16299",19.5413,-34.2079,3.40145802497864,0.875017821788788
"16354",19.5413,-33.1246,0.796365439891815,0.990313053131104
"16357",19.5413,-30.6246,-2.86112260818481,2.20220875740051
"16589",19.6246,-31.3746,-0.293610632419586,-0.0791103690862656
"16633",19.6246,-28.5413,-3.36297607421875,1.3444732427597
"16932",19.6717,-17.8502,0.140606418251991,-1.58536016941071
"17483",19.8241,-32.4924,-4.24249362945557,2.73292255401611
"18237",19.9579,-33.8746,2.63966035842896,0.547937273979187
"18387",19.9579,-31.7913,0.0395040698349476,0.756819665431976
"18525",20.0413,-33.3746,1.98245739936829,1.59322893619537
