"","lon","lat","PC1","PC2"
"1",2.38819,6.58372,2.28102278709412,-2.91561627388
"32",12.1938,-0.194783,1.81585085391998,-2.69917750358582
"33",11.1785,0.496283,2.08549928665161,-3.23174810409546
"37",10.2547,-1.08472,1.70457231998444,-3.67345213890076
"42",-1.38,5.33,1.82742476463318,-3.30166387557983
"45",11.5388,4.1889,1.83809292316437,-3.46917414665222
"80",14.9389,-8.11655,1.00923979282379,-2.95854496955872
"84",-3.80658,8.75186,0.788707256317139,-3.21462559700012
"87",11.2249,1.09387,1.60545873641968,-3.1745662689209
"89",10.3883,1.5717,1.63721466064453,-3.46206569671631
"90",12.7334,3.38292,0.0849104225635529,-2.84361386299133
"92",-13.3813,13.3379,-0.178647562861443,-2.72014355659485
"94",-12.9474,12.9959,-1.06796205043793,-3.84496879577637
"95",-8.48834,7.62998,0.922203898429871,-3.75054240226746
"102",-1.77163,9.29638,-1.34647285938263,-3.80898714065552
"107",-2.58179,5.26567,1.3704925775528,-3.48442387580872
"109",14.6012,-8.56905,1.93157935142517,-2.89634323120117
"116",0.986449,6.02832,2.63996601104736,-1.08740127086639
"118",0.592039,7.1162,1.23781943321228,-3.037522315979
"121",13.8176,8.21044,-1.15479743480682,-3.56213903427124
"123",-1.76706,7.16379,-0.251731991767883,-3.36278557777405
"127",-4.77894,8.29692,0.63601291179657,-3.36610102653503
"128",-1.41153,6.50519,1.14075112342834,-2.55837368965149
"130",-0.52498,6.22995,0.972600996494293,-2.59267640113831
"137",11.469,3.39502,1.34619569778442,-2.84422826766968
"154",8.97971,9.87816,2.03523921966553,-1.63663876056671
"160",9.70367,4.82433,2.29457664489746,-4.46355819702148
"161",10.0374,3.76296,7.83632946014404,-1.0309385061264
"168",15.3022,-4.31988,3.79167151451111,0.0232030022889376
"175",7.49984,9.07159,3.64998817443848,-1.0993949174881
"181",-0.852144,9.91316,-0.789485096931458,-3.10739469528198
"182",-1.36285,5.9577,1.07836294174194,-3.28911089897156
"198",13.6809,7.29475,1.27726769447327,-2.83939409255981
"204",18.4493,-5.40214,0.913660764694214,-2.91109919548035
"216",13.7211,10.7123,-0.943815350532532,-2.24677801132202
"217",-5.27428,6.8189,2.07051062583923,-2.03329515457153
"229",11.1591,7.29475,-0.247645556926727,-4.10641479492188
"233",14.8993,0.605043,0.881833910942078,-3.14995050430298
"237",0.093384,5.9357,-0.613729655742645,-3.69916939735413
"239",11.5248,-0.441155,0.0975510254502296,-3.48239684104919
"252",12.1427,4.4455,1.41802573204041,-3.0711944103241
