"","lon","lat","PC1","PC2"
"1",-12.9147,13.0078,-0.406799018383026,-3.69804382324219
"3",1.47655,11.1258,-0.981482326984406,-4.48039722442627
"5",-15.7363,16.3624,-0.437072962522507,-1.51804661750793
"6",2.5457,12.5103,0.407675623893738,-2.67103910446167
"7",-8.0229,12.7291,0.774887561798096,-2.3877854347229
"12",-13.3765,13.3485,0.189175680279732,-2.91024661064148
"13",0.0549,5.8748,1.84139978885651,-2.83196544647217
"14",31.5994,4.84023,1.71907687187195,-2.10303425788879
"16",-16.7048,14.129,1.44726526737213,-2.26065897941589
"19",-1.318,12.394,0.419521003961563,-2.41009497642517
"20",29.7207,7.69336,-1.31683874130249,-4.00670289993286
"21",34.2079,0.125417,1.36694037914276,-2.36105489730835
"23",31.3816,1.77318,1.31527709960938,-2.64335966110229
"24",-14.2097,13.3041,0.665518403053284,-2.07370114326477
"27",14.586,11.3545,-0.545555412769318,-3.00627207756042
"42",-0.806111,10.6869,0.175482526421547,-3.19305014610291
"49",8.97962,9.87773,2.25143432617188,-1.72951936721802
"60",34.2805,-0.634877,1.83423614501953,-0.867790162563324
"113",4.99074,12.6412,0.785999476909637,-1.64189147949219
"115",-6.50211,13.1795,0.749768674373627,-1.80687212944031
"117",7.13021,8.91596,0.394510835409164,-3.14261603355408
"133",13.4045,9.29718,2.55544686317444,-1.03581190109253
"136",32.077,1.51261,0.652949750423431,-2.48262238502502
"141",-1.43393,5.0854,2.11626434326172,-3.47065734863281
"152",-16.0617,14.22,0.822583198547363,-2.14087867736816
"160",13.5685,10.6066,0.428105652332306,-2.47135663032532
"173",13.9275,10.966,1.62200057506561,-1.94308423995972
"175",-0.80375,10.1443,-0.153017848730087,-3.32628655433655
"186",31.8293,2.15304,-0.212170720100403,-3.28169417381287
"198",-11.5199,13.5664,-0.375683546066284,-3.73687696456909
"247",-1.8948,9.40267,-0.728761851787567,-4.03807687759399
"296",-8.3599,12.3812,0.235755518078804,-2.83371520042419
"297",-14.0081,16.4024,0.619732797145844,-1.26116359233856
"320",-12.4321,14.0926,-0.829276561737061,-3.97752642631531
"341",10.4462,9.85346,-1.60812175273895,-3.98774242401123
"391",-0.414026,11.064,1.04024732112885,-2.58066964149475
"393",-12.3273,12.3639,-0.214587718248367,-3.90119504928589
"432",-0.70904,5.3536,2.09267091751099,-3.36201953887939
"453",31.4027,3.13289,-0.226405635476112,-3.05594301223755
"498",33.7426,3.62832,-0.0812373384833336,-2.91896200180054
"504",-12.4457,14.913,1.45066142082214,-2.02205753326416
"509",14.2919,10.6325,1.51198244094849,-1.42914235591888
"514",15.1647,12.0322,1.9367002248764,-1.40968477725983
"529",19.8194,10.8885,-0.00193917541764677,-3.42352676391602
"546",7.58333,11.1667,1.61937570571899,-1.43752980232239
"552",12.6,9.18,0.738617300987244,-2.28654456138611
"562",-13.9574,17.0712,0.585555016994476,-1.46295177936554
"565",34.3253,0.713178,0.494690746068954,-2.57991814613342
"573",35.0713,-0.060775,1.7494101524353,-1.80067157745361
"579",33.8448,1.67792,0.889344394207001,-1.86272096633911
"605",4.54036,12.3491,0.517811715602875,-1.96834850311279
"619",1.57156,13.923,1.37558722496033,-1.58887624740601
"630",-3.7068,14.3701,0.314786344766617,-2.2184145450592
"633",-7.40655,12.7224,0.41099813580513,-2.30788040161133
"636",-4.19601,14.4922,4.39725112915039,0.965469837188721
"760",-13.288,15.7577,0.698154628276825,-1.4124436378479
"761",-13.9764,15.3332,-0.072240449488163,-2.8988881111145
"806",1.95865,11.3801,-1.8080986738205,-4.30756187438965
"820",34.1,7.72,-0.681333422660828,-3.91371655464172
"827",30.35,13.0833,-1.37548458576202,-1.65480256080627
"828",-14,14,-1.03640139102936,-3.44315838813782
"840",-1.54385,5.62103,2.37352991104126,-3.05670690536499
"855",-2.75855,11.7205,0.366016536951065,-3.61291861534119
"897",2.26479,11.8407,-0.654002010822296,-3.70214486122131
"944",-1.3791,9.5347,0.693694055080414,-3.03886008262634
"958",2.92682,11.9054,-0.670815765857697,-3.77004194259644
"992",2.7333,10.2833,0.389548897743225,-3.60430359840393
"993",3.4,11.8833,1.53376317024231,-1.43959629535675
"994",-0.7667,12.3333,1.3392733335495,-1.8007709980011
"1002",-12.3585,12.8428,-0.13365150988102,-3.59943079948425
"1007",1.66718,13.1009,1.02731072902679,-1.70744621753693
"1021",3.1167,11.4667,-0.234170466661453,-3.04006147384644
"1022",4.8833,13.8,0.176298722624779,-1.25052130222321
"1023",0.4637,10.2983,1.13080596923828,-2.89095854759216
"1025",0.9667,12.3667,0.122297778725624,-3.0387876033783
"1081",31.9111,3.676,-0.333575785160065,-3.4645631313324
"1166",-16.2651,15.5638,-1.13418793678284,-1.6394031047821
"1167",-15.9753,18.0871,-4.98891019821167,0.855767667293549
"1169",-2.06167,10.395,-0.424817621707916,-4.22156810760498
"1183",1.05367,10.6557,-0.0144222881644964,-3.30652451515198
