"","lon","lat","PC1","PC2"
"1627",4.87473,52.3725,5.56969499588013,1.66800773143768
"1629",5.95807,52.2058,4.49613857269287,1.14939200878143
"1630",4.45807,51.9558,6.38807916641235,1.36485147476196
"1631",-0.291933,51.7058,4.4818902015686,1.16443645954132
"1641",4.7914,51.2058,3.99195337295532,1.03649437427521
"1642",4.0414,50.9558,5.67703008651733,1.34505641460419
"1657",13.3747,46.2891,3.10998034477234,-0.809042572975159
"1658",8.70807,45.7891,5.7451286315918,0.435296148061752
"1659",11.2914,45.7891,1.31625485420227,0.662305116653442
"1660",10.6247,45.3725,3.22615170478821,0.553559422492981
"1661",7.45807,44.6225,3.25440645217896,0.554037630558014
"1662",8.95807,44.6225,4.16279315948486,-0.961245715618134
"1696",10.7081,43.7891,1.8178676366806,-0.619118869304657
"1698",11.1247,43.4558,3.34789156913757,-0.173532068729401
"1700",-1.62527,43.1225,2.06321406364441,-1.1087828874588
"1704",-2.4586,42.5391,2.20387482643127,0.825677096843719
"1712",0.958067,42.2058,2.16104388237,1.22047173976898
"1713",2.20807,42.2058,2.57618451118469,0.643372118473053
"1717",-0.375266,42.1225,5.33140325546265,0.928457856178284
"1723",-1.62527,42.0391,4.30214500427246,1.1357170343399
"1726",1.5414,41.9558,3.06586718559265,0.702752828598022
"1730",2.7914,41.9558,4.7176079750061,0.137395262718201
"1732",12.4581,41.9558,4.60587739944458,0.536309361457825
"1733",-8.79193,41.8725,1.63836133480072,-1.47667264938354
"1743",-2.4586,41.7891,2.04589653015137,1.74200689792633
"1744",0.541401,41.7891,4.99010562896729,0.827990770339966
"1753",-4.7086,41.7058,6.21790266036987,1.61231112480164
"1754",-1.04193,41.7058,7.25789356231689,1.36020708084106
"1766",2.20807,41.7058,-0.145909264683723,0.00495669199153781
"1795",-6.2086,41.5391,-0.260208159685135,0.431353598833084
"1814",0.291401,41.3725,-1.2275196313858,0.782964527606964
"1815",1.62473,41.3725,-1.0618485212326,0.0131128067150712
"1822",-0.791933,41.2891,0.327632784843445,1.46097660064697
"1831",0.958067,41.2058,-1.07589614391327,0.194984942674637
"1848",-5.7086,41.0391,3.36725425720215,0.694040656089783
"1852",0.291401,40.8725,-1.03856647014618,0.562443315982819
"1853",-1.12527,40.7891,1.16848051548004,1.87340235710144
"1854",-4.12527,40.7058,1.27254056930542,1.34933829307556
"1857",-3.37527,40.7058,1.24685621261597,0.968809366226196
"1880",-3.79193,40.2891,2.73179149627686,1.25727891921997
"1888",-3.04193,40.1225,4.68295621871948,1.37000918388367
"1889",-1.37527,40.1225,-1.22910892963409,1.7403199672699
"1891",-0.0419328,40.1225,-1.34401535987854,0.37875497341156
"1894",-4.7086,40.0391,0.409482896327972,0.90999448299408
"1922",-0.291933,39.7058,1.20512878894806,-0.0458424724638462
"1946",-1.29193,39.5391,-2.59824991226196,1.12759518623352
"1962",-5.87527,39.4558,1.95949673652649,0.630652606487274
"1972",-3.87527,39.3725,0.788383066654205,0.949304044246674
"1973",-2.79193,39.3725,0.976397514343262,1.16901409626007
"1987",-0.541933,39.2058,-0.947373449802399,-0.135726138949394
"1993",-1.29193,39.0391,-3.11426162719727,1.13130664825439
"1998",-3.37527,38.9558,3.31163907051086,0.66736775636673
"2003",-6.37527,38.8725,2.50997567176819,0.467526853084564
"2010",-0.875266,38.7058,-1.40490698814392,1.46990489959717
"2014",-2.62527,38.2891,-1.08677172660828,1.07750809192657
"2015",-0.708599,38.2058,0.283575564622879,0.0463112220168114
"2018",23.7914,38.1225,0.41287750005722,0.455979138612747
"2019",-3.62527,38.0391,2.99512767791748,0.626418173313141
"2026",-4.79193,37.8725,4.22638320922852,0.497420102357864
"2030",-1.7086,37.6225,1.28466081619263,0.762318193912506
"2035",-5.9586,37.5391,4.61465120315552,-0.227118030190468
"2037",-4.37527,37.4558,0.226709097623825,0.481058150529861
"2041",-2.29193,37.3725,-2.26736688613892,1.57292652130127
"2042",-7.2086,37.2891,0.429933458566666,-0.031346783041954
"2043",14.7081,37.2891,0.750215590000153,-0.0545536912977695
"2046",-3.62527,37.2058,4.81402587890625,1.20276820659637
"2048",-6.37527,37.1225,2.07428860664368,0.0503662712872028
"2053",-4.7086,36.7891,0.596654295921326,-0.167358636856079
"2056",-4.04193,36.7891,-0.796409606933594,-0.147624805569649
"2068",-5.2086,36.4558,0.586103856563568,-0.32913538813591
