"","lon","lat","PC1","PC2"
"1",-58.8818,-34.199,1.07467436790466,-0.674848079681396
"3",-57.1774,-28.5327,0.1075589209795,-1.80418026447296
"5",-58.484,-21.0186,-2.9953932762146,-3.39486289024353
"9",-60.6328,-32.1219,2.25168967247009,-1.47814047336578
"10",-56.3016,-34.5015,1.31698215007782,-0.967534363269806
"11",-61.0039,-35.544,5.20065498352051,-0.654141783714294
"14",-64.6144,-17.8573,-0.786365151405334,-1.19344866275787
"15",-55.6282,-34.7422,1.9621593952179,-0.985647857189178
"17",-56.3044,-19.9526,-0.17208631336689,-4.45051622390747
"18",-58.0215,-28.7673,-1.0301753282547,-2.02911949157715
"24",-64.8435,-34.8337,-1.12863802909851,0.169051960110664
"25",-58.0321,-20.0159,-2.94262099266052,-3.23413920402527
"26",-56.6988,-17.2826,-0.695781886577606,-4.48301267623901
"27",-64.4584,-31.7475,-1.09891200065613,-0.938938856124878
"28",-65.4798,-31.376,-4.30018901824951,-0.874407470226288
"29",-58.7964,-33.4981,-1.60293805599213,-0.869232475757599
"30",-62.7258,-30.9396,2.97199368476868,-1.15865886211395
"32",-63.5333,-31.25,4.54205894470215,-1.20659160614014
"35",-56.7118,-16.5122,-0.346921563148499,-4.33579921722412
"37",-64.3406,-31.1632,-0.719846785068512,-0.273518174886703
"38",-64.2364,-32.1675,3.63527226448059,-0.949178695678711
"45",-57.5228,-30.944,0.135869368910789,-2.05625772476196
"50",-62.909,-23.5153,-4.54962158203125,-2.51052641868591
"52",-63.9252,-30.0994,-2.69366025924683,-1.0872323513031
"57",-62.8833,-28.55,-1.39438271522522,-1.48237323760986
"59",-62.7527,-33.1622,5.29469537734985,-0.876474618911743
"64",-65.5994,-37.9983,-2.21627449989319,1.19592893123627
"65",-64.3732,-34.2242,3.87035298347473,-0.707598447799683
"66",-66.247,-30.5991,-2.11732411384583,-0.87268590927124
"67",-63.8112,-30.6233,3.70327281951904,-1.39688885211945
"68",-64.4147,-35.8055,1.48712837696075,-0.741999804973602
"69",-57.7372,-37.9393,2.80645704269409,-0.111633494496346
"72",-55.7102,-27.5571,1.74357438087463,-3.58951878547668
"82",-62.2434,-38.685,0.0422819070518017,0.234799936413765
"85",-63.2004,-29.2604,-1.71474266052246,-1.2583692073822
"99",-55.666,-32.6767,-0.196842312812805,-1.32579934597015
"101",-56.3714,-33.9669,-1.19600081443787,-0.959528923034668
"102",-66.05,-33.1167,-0.523958265781403,0.209850430488586
"152",-59.9583,-30.6369,2.61909317970276,-1.38220822811127
"194",-56.8479,-27.8236,0.0552356727421284,-2.09342002868652
"204",-64.2247,-36.9035,-1.01799941062927,0.226985901594162
"213",-65.7971,-17.9918,-1.22307348251343,-0.640844762325287
"219",-58.2222,-26.3434,-0.199365958571434,-2.79431200027466
