"","lon","lat","PC1","PC2"
"1",-56.872,-16.7563,-4.32998037338257,4.16191673278809
"3",-57.012,-19.5512,-6.125,3.78932762145996
"5",-59.0155,-26.8925,-4.34912490844727,2.81309652328491
"6",-57.6925,-24.9686,-6.41758155822754,2.33670544624329
"10",-57.9055,-25.856,-1.99140095710754,4.16154670715332
"37",-56.6988,-17.2826,-4.47835636138916,4.1134934425354
"38",-57.6743,-16.7773,-4.96259498596191,3.9641330242157
"39",-58.8005,-24.8055,-5.28753566741943,1.86804020404816
"53",-58.0424,-26.8523,-2.58884048461914,4.48735189437866
"55",-57.7273,-18.9829,-3.65933704376221,4.95547246932983
"75",-59.3331,-23.1125,-9.58502960205078,-1.40904068946838
"78",-57.8049,-22.1527,-2.83637237548828,4.94681024551392
"126",-57.4362,-25.4475,-2.70568895339966,3.95890831947327
"146",-59.5791,-28.2185,-5.120680809021,1.63605761528015
"199",-56.3778,-16.5131,-4.42087936401367,4.06969881057739
"204",-58.264,-26.4379,-3.55238032341003,3.38036060333252
"211",-57.3688,-23.6683,-5.47371387481689,2.89650082588196
"214",-58.7509,-23.5709,-10.5282964706421,-0.543860971927643
"253",-58.176,-20.0305,-9.02994346618652,0.927342057228088
"258",-58.0301,-19.4276,-7.22547721862793,3.10913681983948
"259",-58.4911,-20.9053,-8.18268489837646,1.17331206798553
"297",-60.0495,-21.9823,-6.26768398284912,1.60277438163757
"342",-59.2025,-24.5121,-8.44355201721191,-1.04420185089111
"390",-57.3931,-23.0627,-3.7849977016449,4.55521154403687
"412",-57.8858,-21.0427,-5.07932376861572,3.29097819328308
"462",-58.836,-26.2473,-3.49922227859497,2.67199397087097
"490",-59.8419,-22.4669,-5.26105690002441,1.84294044971466
"493",-58.2494,-24.3039,-8.24644470214844,0.573483049869537
"496",-60.2025,-23.0265,-14.129771232605,-2.56950926780701
"526",-57.02,-18.95,-4.63191986083984,4.59845924377441
"556",-57.0968,-24.483,-3.87950444221497,4.41642141342163
"620",-57.5033,-26.5738,-4.84374618530273,3.93644022941589
"656",-57.0717,-25.0482,-5.52123785018921,5.21079540252686
"798",-57.6253,-21.6789,-3.29742455482483,3.92204093933105
"807",-58.9866,-22.5317,-7.09092807769775,0.705883204936981
"825",-57.43,-22.6,-2.73164463043213,3.90093970298767
"928",-60.6665,-21.938,-14.9019241333008,-3.00025177001953
"934",-55.863,-16.346,-6.39619064331055,3.12504434585571
"976",-60.3137,-24.3698,-4.56459712982178,2.0761923789978
"1016",-57.0465,-25.7334,-3.621333360672,3.84277248382568
