"","lon","lat","PC1","PC2"
"2",4.2604,12.3148,-0.546679139137268,-3.34241032600403
"3",10.2838,9.86834,-1.90643131732941,-4.75208377838135
"4",-1.85456,9.24567,-1.13835287094116,-4.91935586929321
"5",1.125,7.0083,0.0729157850146294,-3.56941270828247
"9",1.26943,10.7962,-1.60107111930847,-5.36663436889648
"11",-8.00289,12.6392,1.22171008586884,-1.90934157371521
"13",8.86596,9.88715,1.09567868709564,-2.17446279525757
"14",0.0437,5.882,0.899825513362885,-3.84212851524353
"15",-1.4895,12.3811,-0.321267575025558,-1.56255745887756
"16",0.3836,6.4516,0.0162960458546877,-4.31963968276978
"17",-5.0127,6.2097,0.977747023105621,-4.11427402496338
"18",-5.1066,6.8074,1.3404233455658,-3.8717041015625
"26",-0.396572,11.0849,-0.947376191616058,-4.07246446609497
"27",-3.80658,8.75186,0.276494175195694,-4.41157960891724
"30",13.8176,8.21044,-1.42549800872803,-4.57961082458496
"41",-13.3776,13.3485,-0.655134856700897,-3.91564774513245
"51",-13.2965,12.4864,-0.826708436012268,-3.78794240951538
"78",-11.5679,13.6344,-1.3612869977951,-4.75946426391602
"92",0.986449,6.02832,1.88966464996338,-2.3540678024292
"94",-4.7153,11.0703,-0.429390430450439,-4.46951675415039
"95",-1.15288,10.8616,-0.532324910163879,-3.68095350265503
"101",-14.2097,13.3041,-0.264348655939102,-3.11054039001465
"114",-16.7414,14.427,-1.67767834663391,-3.33279633522034
"161",2.44034,12.4795,-1.17579388618469,-3.90622568130493
"183",-12.7304,11.6459,-0.805729627609253,-5.54159688949585
"194",-12.7852,12.893,-0.283753782510757,-4.6433277130127
"232",13.7043,7.13391,0.179987221956253,-4.90583562850952
"318",-15.9969,18.087,-5.36870527267456,0.532148957252502
"334",13.4045,9.29718,1.46333944797516,-2.31368899345398
"360",8.51907,12.025,1.27001285552979,-1.28891623020172
"372",13.7218,8.79369,-0.423782616853714,-4.33553314208984
"376",13.7211,10.7123,-1.39767563343048,-3.39449310302734
"380",3.39097,11.9191,-1.15956342220306,-3.79702615737915
"410",-6.28547,13.4587,0.840648055076599,-2.02834320068359
"461",-12.4321,14.0926,-1.58105754852295,-4.87903118133545
"467",1.34397,10.2704,-0.220211163163185,-4.41909551620483
"468",2.46265,7.75445,-0.419653177261353,-4.48553657531738
"479",2.0634,6.35166,0.949602723121643,-4.22156572341919
"493",1.48642,11.3197,-1.42118060588837,-5.21774673461914
"564",14.586,11.3545,-1.32219195365906,-3.91862273216248
"581",14.6002,8.56973,-2.05541467666626,-4.89253044128418
