"","lon","lat","PC1","PC2"
"3943",35.9967,-3.77003,7.01424169540405,0.796588599681854
"3949",34.9114,-7.68111,7.55383443832397,1.76283800601959
"3954",36.6943,-3.5573,7.28986835479736,1.15606760978699
"3988",35.4484,-2.95689,6.68177080154419,2.02917695045471
"4011",34.0762,-8.70461,7.87448453903198,0.530910909175873
"4023",36.9381,-3.07322,6.78868055343628,1.52836501598358
"4042",35.3925,-7.59122,7.41989326477051,1.90172743797302
"4093",35.1895,-7.14273,7.23231172561646,2.1300106048584
"4121",36.2638,-3.40059,6.7141547203064,0.690314710140228
"4137",35.4372,-8.51171,6.11348915100098,-2.31340980529785
"4170",34.9972,-3.02012,6.31884765625,0.421267688274384
"4425",35.0115,-6.47608,7.26460742950439,1.35907673835754
"4527",36.0996,-4.23954,6.97198009490967,1.20151042938232
"4539",34.7407,-4.81189,6.93940353393555,1.17969179153442
"4572",36.6599,-8.27668,8.54643249511719,-3.95378828048706
"4594",37.2751,-3.45238,7.67205333709717,1.22563123703003
"5010",35.0052,-4.01496,6.47969627380371,0.835001051425934
"5102",35.75,-6.18,7.39599800109863,1.29169535636902
"5152",35.3197,-5.98,7.75196313858032,1.5447860956192
