"","lon","lat","PC1","PC2"
"265",-0.0419328,51.4558,-2.97669124603271,-0.796097099781036
"268",2.70807,41.8725,-1.76796102523804,0.291305661201477
"270",2.20807,41.6225,-2.06260991096497,0.239469900727272
"283",0.791401,40.7058,-1.2984573841095,1.09489727020264
"284",-3.9586,40.3725,-2.47048592567444,1.64816868305206
"290",-9.2086,38.7891,-1.11540746688843,1.00966882705688
"295",-7.9586,38.5391,-1.42097425460815,1.89703094959259
"296",-1.37527,38.4558,-2.30470561981201,2.06569528579712
"302",-1.12527,37.9558,-1.58664834499359,2.30973362922668
"303",-6.2086,37.3725,-1.28537559509277,2.36521291732788
"305",-4.54193,36.6225,-1.26019823551178,1.82568454742432
