"","lon","lat","PC1","PC2"
"124409",2.38819,6.58372,2.26357316970825,2.63189458847046
"124440",12.1938,-0.194783,1.66609919071198,3.70316934585571
"124441",11.1785,0.496283,1.29497694969177,4.49333000183105
"124445",10.2547,-1.08472,1.71830320358276,4.72849321365356
"124446",9.43405,0.408822,1.56988096237183,6.83752679824829
"124447",-16.5648,13.2984,3.01866793632507,1.88260900974274
"124449",-13.3585,9.7374,3.39396667480469,10.8054447174072
"124450",-1.38,5.33,1.35290896892548,3.7723503112793
"124452",-3.3237,5.3263,1.55556511878967,4.97131967544556
"124453",11.5388,4.1889,1.47021102905273,4.05908441543579
"124488",14.9389,-8.11655,1.25104784965515,2.49517488479614
"124490",-0.290183,5.53017,1.97490453720093,2.25193572044373
"124492",-3.80658,8.75186,2.28614974021912,1.7505692243576
"124495",11.2249,1.09387,0.894650518894196,4.77620649337769
"124496",9.78801,2.27932,0.247548460960388,7.57482004165649
"124497",10.3883,1.5717,0.308039098978043,6.07174825668335
"124498",12.7334,3.38292,1.09968948364258,4.12755155563354
"124500",-13.3813,13.3379,2.966965675354,0.242426589131355
"124502",-12.9474,12.9959,3.08941054344177,0.561236798763275
"124503",-8.48834,7.62998,1.41553473472595,4.26204395294189
"124510",-1.77163,9.29638,2.60976505279541,1.41577386856079
"124515",-2.58179,5.26567,1.18273508548737,5.15311908721924
"124517",14.6012,-8.56905,1.24168908596039,2.68328332901001
"124524",0.986449,6.02832,1.99761784076691,2.40833330154419
"124526",0.592039,7.1162,0.871250629425049,3.74549174308777
"124529",13.8176,8.21044,2.29023909568787,1.37808322906494
"124531",-1.76706,7.16379,1.41534757614136,2.82406497001648
"124535",-4.77894,8.29692,2.05872392654419,1.9112823009491
"124536",-1.41153,6.50519,1.55705153942108,3.08492422103882
"124537",12.0359,-4.60907,1.3689649105072,2.52473068237305
"124538",-0.52498,6.22995,0.60334187746048,4.07155656814575
"124545",11.469,3.39502,0.879184722900391,4.60718727111816
"124546",-15.5841,11.8566,3.29318833351135,3.58593583106995
"124562",8.97971,9.87816,1.30967843532562,1.7795752286911
"124568",9.70367,4.82433,0.621680557727814,7.32503604888916
"124569",10.0374,3.76296,1.4666543006897,6.90293264389038
"124574",9.90386,2.93039,0.806915640830994,7.59103918075562
"124576",15.3022,-4.31988,1.67107903957367,2.96020150184631
"124583",7.49984,9.07159,2.42566084861755,2.6581015586853
