"","lon","lat","PC1","PC2"
"1627",4.87473,52.3725,-1.50877499580383,-1.35453653335571
"1629",5.95807,52.2058,-1.79680943489075,-1.62315762042999
"1630",4.45807,51.9558,-1.47135841846466,-1.41339230537415
"1631",-0.291933,51.7058,-1.75608563423157,-0.804536759853363
"1641",4.7914,51.2058,-1.7496589422226,-1.21406447887421
"1642",4.0414,50.9558,-1.69019365310669,-1.2061802148819
"1657",13.3747,46.2891,-1.01716041564941,-4.5249719619751
"1658",8.70807,45.7891,-1.04591619968414,-1.39649784564972
"1659",11.2914,45.7891,-1.97092604637146,0.0335153825581074
"1660",10.6247,45.3725,-1.42334043979645,-0.0175552275031805
"1661",7.45807,44.6225,-1.45578467845917,-0.25557354092598
"1662",8.95807,44.6225,-0.309480577707291,-1.71929609775543
"1694",9.45807,44.2891,0.142811045050621,-1.50380265712738
"1696",10.7081,43.7891,-0.0687709823250771,0.135535374283791
"1698",11.1247,43.4558,-0.256136864423752,0.326772481203079
"1699",-8.9586,43.2058,0.430020242929459,-1.33496832847595
"1700",-1.62527,43.1225,-0.225326061248779,-2.12332105636597
"1701",5.87473,43.1225,-0.0261140093207359,0.84811919927597
"1703",-8.79193,42.5391,1.01675486564636,-2.16691565513611
"1704",-2.4586,42.5391,-0.950083434581757,0.825839698314667
"1705",3.12473,42.3725,-0.37070906162262,0.832401275634766
"1712",0.958067,42.2058,-1.29766047000885,0.219732701778412
"1713",2.20807,42.2058,-1.43494701385498,-0.628238260746002
"1717",-0.375266,42.1225,-0.96881240606308,1.24727821350098
"1721",11.7914,42.1225,-0.367068916559219,1.29519951343536
"1723",-1.62527,42.0391,-0.674281418323517,1.51513624191284
"1726",1.5414,41.9558,-1.17623043060303,0.193522289395332
"1730",2.7914,41.9558,-0.225301787257195,0.307351380586624
"1732",12.4581,41.9558,-0.274376183748245,1.2929505109787
"1733",-8.79193,41.8725,1.13887310028076,-2.18293476104736
"1743",-2.4586,41.7891,-1.52064406871796,1.22952508926392
"1744",0.541401,41.7891,-1.13358426094055,1.78572905063629
"1753",-4.7086,41.7058,-1.26700568199158,1.65545618534088
"1754",-1.04193,41.7058,-0.977331876754761,1.81217920780182
"1766",2.20807,41.7058,-0.71997332572937,-0.120607770979404
"1795",-6.2086,41.5391,-0.510997354984283,0.346192568540573
"1814",0.291401,41.3725,-0.485496759414673,2.10436367988586
"1815",1.62473,41.3725,-0.300381720066071,0.63769394159317
"1822",-0.791933,41.2891,-1.05385982990265,2.10222244262695
"1829",-8.7086,41.2058,0.953563451766968,-0.99676525592804
"1831",0.958067,41.2058,-0.676161706447601,0.975042223930359
"1848",-5.7086,41.0391,-1.02144491672516,1.24188077449799
"1852",0.291401,40.8725,-0.884073972702026,1.27303826808929
"1853",-1.12527,40.7891,-1.71379458904266,1.6460497379303
"1854",-4.12527,40.7058,-1.73143303394318,0.464254528284073
"1857",-3.37527,40.7058,-1.15249562263489,2.070068359375
"1880",-3.79193,40.2891,-0.82950085401535,2.0465350151062
"1888",-3.04193,40.1225,-0.774712324142456,2.36314129829407
"1889",-1.37527,40.1225,-1.69312059879303,1.59216439723969
"1891",-0.0419328,40.1225,-0.178643390536308,1.68088698387146
"1894",-4.7086,40.0391,-0.690522015094757,2.34190201759338
"1900",3.87473,40.0391,0.261653274297714,1.11639952659607
"1910",2.87473,39.8725,-0.228503182530403,0.629655063152313
"1922",-0.291933,39.7058,0.168296664953232,1.74502801895142
"1945",3.37473,39.6225,0.417193979024887,1.19272494316101
"1946",-1.29193,39.5391,-0.843336641788483,2.07032299041748
"1951",2.37473,39.5391,0.092229075729847,1.74659383296967
"1962",-5.87527,39.4558,-0.234310209751129,2.02544140815735
"1972",-3.87527,39.3725,-0.991839170455933,2.03769946098328
"1973",-2.79193,39.3725,-0.650549173355103,2.57021546363831
"1987",-0.541933,39.2058,0.227190047502518,2.08989548683167
"1989",9.12473,39.2058,0.0047887060791254,2.10089039802551
"1993",-1.29193,39.0391,-1.18235862255096,1.95602679252625
"1995",1.37473,39.0391,0.130795419216156,1.75517427921295
"1998",-3.37527,38.9558,-0.609483063220978,2.70219421386719
"2003",-6.37527,38.8725,0.155868276953697,2.2115581035614
"2006",-9.12527,38.7891,0.725483894348145,0.9745854139328
"2010",-0.875266,38.7058,-0.735855042934418,2.39709949493408
"2014",-2.62527,38.2891,-1.25527191162109,2.08983874320984
"2015",-0.708599,38.2058,0.315255850553513,2.47763347625732
"2018",23.7914,38.1225,-0.314576238393784,1.56418073177338
"2019",-3.62527,38.0391,0.0694928839802742,2.91333031654358
"2026",-4.79193,37.8725,0.418187111616135,2.55854535102844
"2029",-0.875266,37.7058,0.404941201210022,2.93537378311157
"2030",-1.7086,37.6225,-0.226274460554123,2.93308019638062
"2035",-5.9586,37.5391,0.641673803329468,2.46586513519287
"2037",-4.37527,37.4558,-0.241563767194748,2.16857767105103
"2041",-2.29193,37.3725,-0.49298694729805,2.73688769340515
"2042",-7.2086,37.2891,0.61971378326416,2.25124931335449
"2043",14.7081,37.2891,0.14478687942028,1.91153144836426
"2046",-3.62527,37.2058,-0.248664051294327,2.7877676486969
"2048",-6.37527,37.1225,0.658185482025146,2.27224254608154
"2051",-2.37527,36.8725,0.0235687680542469,2.87208080291748
"2053",-4.7086,36.7891,0.700693607330322,2.00335121154785
"2056",-4.04193,36.7891,0.447575211524963,2.29693412780762
"2061",-6.29193,36.6225,0.660721361637115,1.92012214660645
"2068",-5.2086,36.4558,0.589880883693695,1.2696316242218
"2073",-5.62527,36.0391,1.15716660022736,0.867155194282532
