"","lon","lat","PC1","PC2"
"2114",-8.9586,43.2058,-3.28633260726929,1.69897651672363
"2115",3.0414,42.2058,-1.9081072807312,-0.681763768196106
"2116",-8.79193,41.9558,-3.38578009605408,2.55119729042053
"2117",2.70807,41.7058,-2.41203093528748,-0.20612245798111
"2120",2.12473,41.4558,-2.70789766311646,-0.344077438116074
"2122",-8.62527,41.1225,-2.58968734741211,1.65503120422363
"2126",0.791401,40.7058,-1.45360612869263,-0.247608333826065
"2127",-8.54193,40.5391,-2.10949921607971,0.899528980255127
"2129",0.374734,40.3725,-1.25080347061157,-0.705402851104736
"2133",-8.79193,40.1225,-1.85055220127106,0.576755583286285
"2138",-0.375266,39.5391,-1.00158107280731,-0.742979943752289
"2139",-8.54193,39.4558,-1.25627768039703,-0.00513055408373475
"2142",-9.29193,39.3725,-1.92612254619598,0.65793365240097
"2154",-8.87527,39.0391,-1.27123236656189,0.219301253557205
"2161",-0.541933,38.9558,-0.881699979305267,-1.37957632541656
"2177",-0.0419328,38.6225,-0.742461323738098,-1.48852872848511
"2178",-9.12527,38.5391,-1.33733534812927,0.31333065032959
"2182",-8.4586,38.5391,-1.00947737693787,-0.215002849698067
"2193",-8.04193,38.2058,-0.703713834285736,-0.669076323509216
"2194",-8.79193,38.1225,-1.21253645420074,0.193903222680092
"2197",-7.12527,37.9558,-0.826656520366669,-0.964411735534668
"2199",-5.79193,37.6225,-0.273220717906952,-1.15043640136719
"2201",-8.79193,37.3725,-1.18502223491669,0.183635070919991
"2206",-6.29193,37.2058,-0.350500494241714,-0.946802020072937
"2223",-8.04193,37.0391,-0.731008350849152,-0.189817070960999
"2229",-3.62527,37.0391,-1.02762877941132,-1.87685477733612
"2232",-4.4586,36.7891,-0.62070894241333,-0.73700225353241
"2238",-5.9586,36.2891,-0.779702126979828,-0.010943740606308
