"","lon","lat","PC1","PC2"
"207198",-16.6448,13.3848,3.55188894271851,1.98127722740173
"207199",4.2604,12.3148,3.48605895042419,0.206301733851433
"207200",10.2838,9.86834,2.91704368591309,1.09528684616089
"207201",-1.85456,9.24567,3.10249447822571,1.71486127376556
"207202",1.125,7.0083,2.50624656677246,2.72151136398315
"207203",-16,13.5,3.55814862251282,0.953614950180054
"207206",1.26943,10.7962,3.4826397895813,1.89199900627136
"207208",-8.00289,12.6392,3.64619398117065,0.427016109228134
"207209",-14.7794,13.5363,3.73794364929199,0.266767859458923
"207210",8.86596,9.88715,2.10211324691772,2.03571152687073
"207211",0.0437,5.882,2.52941918373108,2.59960126876831
"207212",-1.4895,12.3811,3.60277771949768,0.175632357597351
"207213",0.3836,6.4516,2.2449049949646,3.00450968742371
"207214",-5.0127,6.2097,2.19175028800964,2.99088931083679
"207215",-5.1066,6.8074,2.39103627204895,2.4099600315094
"207218",-16.4072,16.0559,3.24937033653259,-0.341927409172058
"207223",-0.396572,11.0849,3.50129532814026,1.59018766880035
"207224",-3.80658,8.75186,2.84950304031372,1.98656833171844
"207227",13.8176,8.21044,2.85896706581116,1.56713235378265
"207238",-13.3776,13.3485,3.45659208297729,0.458829075098038
"207245",-16.4277,13.8036,3.50197720527649,1.41964733600616
"207248",-13.2965,12.4864,3.6494779586792,1.3850154876709
"207275",-11.5679,13.6344,3.73358297348022,0.354337096214294
"207289",0.986449,6.02832,2.5100884437561,2.57221865653992
"207291",-4.7153,11.0703,3.22759675979614,1.75768101215363
"207292",-1.15288,10.8616,3.4266676902771,1.91595005989075
"207297",-16.5724,12.4214,3.33909511566162,3.64511823654175
"207298",-14.2097,13.3041,3.52635073661804,0.372730374336243
"207311",-16.7414,14.427,3.73825216293335,0.429257720708847
"207356",-15.3501,13.7014,3.72402119636536,0.103682152926922
"207358",2.44034,12.4795,3.66484379768372,-0.117745190858841
"207380",-12.7304,11.6459,3.2894811630249,2.81332874298096
"207391",-12.7852,12.893,3.62693810462952,0.96967226266861
"207429",13.7043,7.13391,2.16337895393372,3.2401704788208
"207434",-17.1806,14.6522,2.83816623687744,0.885840654373169
"207515",-15.9969,18.087,3.01918292045593,-1.3794310092926
"207531",13.4045,9.29718,3.3649320602417,0.905349433422089
"207557",8.51907,12.025,3.19019865989685,0.363345056772232
"207569",13.7218,8.79369,3.14318037033081,1.16164231300354
"207573",13.7211,10.7123,2.8464560508728,0.905282855033875
"207577",3.39097,11.9191,3.71244955062866,0.21175129711628
"207607",-6.28547,13.4587,3.52767014503479,-0.296520531177521
"207658",-12.4321,14.0926,3.73850846290588,0.249526277184486
"207664",1.34397,10.2704,3.17704701423645,2.47040772438049
"207665",2.46265,7.75445,2.99169182777405,2.23182702064514
"207676",2.0634,6.35166,2.76363086700439,2.9894757270813
"207690",1.48642,11.3197,3.57379460334778,1.53004574775696
"207761",14.586,11.3545,3.70354795455933,-0.312000691890717
"207778",14.6002,8.56973,3.22633004188538,1.19215166568756
"207827",-13.2718,8.49271,3.58982539176941,10.4346733093262
"207875",-16.8833,15.1378,3.2356493473053,0.41369041800499
"207880",-12.3273,12.3639,3.43739557266235,1.49493896961212
"207930",-7.54499,12.9101,3.39402174949646,0.256293773651123
"208039",7.16875,5.70299,2.44632506370544,5.43906450271606
"208070",-1.82035,10.8469,3.29024147987366,1.97700250148773
"208116",-5.46743,12.3978,3.31234264373779,0.44710248708725
"208129",-7.5949,12.3945,3.55398607254028,0.371922969818115
"208161",4.09626,9.72571,3.06417107582092,1.75360774993896
"208169",-0.551033,6.23954,1.25066912174225,4.22282981872559
"208181",-15.9317,11.7699,3.70836639404297,4.5053071975708
"208196",2.32361,11.6845,3.5006947517395,1.22287797927856
"208233",-5.07173,9.36976,2.82238912582397,2.44050741195679
"208312",4.94471,12.5354,3.48429608345032,-0.0741883665323257
"208324",2.11942,13.5107,3.71630907058716,-0.645838439464569
"208341",-13.6632,13.7769,3.45644354820251,0.297288447618484
"208359",-8.20239,10.7899,3.43797159194946,1.49368226528168
"208435",13.2385,8.46944,2.75845193862915,1.52634787559509
"208439",-13.6863,9.53074,4.33907842636108,12.6307353973389
"208673",-1.34421,6.68671,2.05823636054993,3.21954751014709
"208680",16.1574,9.2959,3.48762154579163,0.779449939727783
"208685",-1.4665,8.78856,3.16177201271057,1.85856628417969
"208716",3.85071,7.47141,2.55042195320129,2.74894309043884
"208720",1.95865,11.3801,3.50926208496094,1.5456223487854
"208743",2.98446,11.4432,3.48398733139038,1.37527012825012
"208748",3.40052,6.52014,2.58776903152466,3.95326495170593
"208826",-2.75855,11.7205,3.50347948074341,1.46053004264832
"208830",-0.394349,14.6372,3.83729982376099,-1.07800376415253
"208863",-1.48603,11.184,3.38956093788147,1.75625360012054
"209091",-1.36977,9.51797,3.2748749256134,1.63275635242462
"209098",-0.80375,10.1443,3.34364318847656,1.65331494808197
"209140",1.64392,8.99451,2.92249631881714,2.46474552154541
"209141",2.98191,9.80331,3.07840776443481,1.94362282752991
"209142",3.37861,10.2943,3.00761961936951,2.17703604698181
"209144",2.6125,8.85423,2.85139989852905,1.92720568180084
"209147",2.67291,9.3526,3.03762602806091,1.90819501876831
"209148",2.70486,10.371,3.12887096405029,2.08014059066772
"209153",1.95028,7.06096,2.79669427871704,2.10729718208313
"209155",1.54595,9.84476,3.17032814025879,2.58303141593933
"209156",1.97593,7.92759,2.94092535972595,2.13967776298523
"209160",2.40768,7.20406,2.85558819770813,2.18023991584778
"209162",1.87362,8.40207,2.92120409011841,2.23988366127014
"209177",3.6758,10.916,3.34298586845398,1.10236072540283
"209178",2.0147,10.2386,3.27021074295044,2.12014579772949
"209179",2.10896,10.8308,3.26789951324463,2.1524829864502
"209182",2.83174,10.8399,3.26237750053406,1.83461403846741
"209183",-7.47191,14.4483,3.5114324092865,-0.994038760662079
"209186",-5.1667,9.8667,2.9420325756073,2.92817378044128
"209187",-2.0667,12.1333,3.47535252571106,0.474351555109024
"209188",-4.0833,11.1667,3.34438800811768,2.0268292427063
"209190",1.4167,12.6167,3.59961700439453,-0.0708681419491768
"209197",-11.1096,10.7402,3.1321439743042,2.07700371742249
"209217",-2.46094,11.1784,3.33865714073181,1.71083700656891
"209222",-8.0619,13.7981,3.4550039768219,-0.266560345888138
"209223",7.04884,13.5909,3.31244468688965,-0.876403450965881
"209226",-8.16147,14.3203,3.51264619827271,-0.681936860084534
"209228",-9.39674,14.9925,3.57330513000488,-0.871569991111755
"209267",0.9898,8.9485,2.78033685684204,3.05632090568542
"209286",1.04662,9.55386,3.08486819267273,2.8036904335022
"209292",-0.25,11.65,3.52649784088135,1.39115691184998
"209298",0.2018,10.773,3.47905373573303,2.12855553627014
"209299",0.4637,10.2983,3.31251311302185,2.0651535987854
"209300",-5.1082,7.3486,2.40326476097107,2.28469204902649
"209309",-3.5667,11.4833,3.40769624710083,1.72539722919464
"209311",0.15,12.2,3.60280656814575,0.318507134914398
"209313",-0.8,12.3333,3.62852358818054,0.235266238451004
"209315",3.5167,12.9333,3.6976113319397,-0.458352327346802
"209319",-5.25,8.6333,2.7104480266571,2.21813535690308
"209325",-16.045,12.9396,3.69454765319824,1.67259168624878
"209350",-0.85865,9.55336,3.26206803321838,1.82717335224152
"209367",-11.4517,14.4562,3.93621802330017,-0.315319776535034
"209405",0.584335,8.69168,2.97355031967163,2.74697613716125
"209434",-2.06167,10.395,3.3626434803009,1.64462077617645
"209515",0.695572,10.7918,3.51380777359009,2.07087826728821
"209550",1.57105,6.80474,2.54854226112366,2.26943445205688
"209589",-12.4338,14.9079,3.86088156700134,-0.369794756174088
"209591",7.61953,11.1872,2.89719867706299,1.033975481987
"209636",14.2777,10.5732,3.53522229194641,0.599681854248047
"209646",-5.63,9.45,3.07140016555786,2.62768721580505
"209648",-6.52,9.5,2.99976634979248,2.98279047012329
