"","lon","lat","PC1","PC2"
"13",101.703,3.13912,5.49290037155151,-6.88145160675049
"14",76.946,8.48554,5.41114234924316,-1.8648157119751
"53",76.7,11.4,1.95830070972443,-0.924493014812469
"54",77.35,12.58,3.72924065589905,1.01747334003448
"55",79.9801,12.6853,4.63211822509766,-0.197794646024704
"116",77.6053,13.0047,3.47288775444031,0.907401859760284
"136",80.1721,13.236,4.69726133346558,-0.37827143073082
"137",76.4406,15.1569,3.51592087745667,1.06887888908386
"168",74.5102,15.3339,6.25297260284424,-0.928864538669586
"175",107.58,16.47,4.92971897125244,-3.99170112609863
"177",106.114,16.6962,4.55170154571533,-1.12005257606506
"179",78.26,17.22,3.55303359031677,1.96930551528931
"226",73,19.25,7.49219512939453,-1.04459834098816
"227",77,20,3.81085968017578,1.94670295715332
"228",85.5,20.13,4.3401517868042,-0.0177453402429819
"270",99.8631,20.3287,4.44421434402466,-0.0713318809866905
"271",79.559,21.1188,4.09019708633423,1.63565111160278
"312",71.394,21.602,3.5614230632782,2.66129183769226
"313",80.33,21.97,4.22357177734375,1.14483988285065
"318",88.21,22.35,4.0717716217041,-0.0290649309754372
"321",80.703,22.4492,3.83859491348267,1.67877805233002
"361",72.5826,23.0293,3.86634945869446,2.59411358833313
"403",77.42,23.03,4.11993503570557,2.14908385276794
"404",79.8009,23.1344,3.82645559310913,2.0427668094635
"495",78.7197,23.5806,4.03868246078491,1.99965465068817
"498",91.9805,24.5913,5.73510503768921,-2.49894237518311
"501",68.05,24.95,2.79933547973633,2.72776937484741
"506",94.05,25.3,3.15912985801697,-1.43729758262634
"508",92.6667,25.45,4.380530834198,-1.82412111759186
"512",91.423,26.0709,4.09769058227539,-0.670752108097076
"533",88.25,26.75,6.40808200836182,-2.30079960823059
"534",80.9338,26.8414,3.30841827392578,2.24298334121704
"628",84.9833,27.2833,4.30653381347656,-0.369434297084808
"629",95.73,27.3,4.56382846832275,-2.34704375267029
"631",85.25,27.8295,3.24337482452393,-0.767732501029968
"635",84.2285,27.969,4.81584930419922,-1.37582111358643
"641",76.893,28.464,2.40349435806274,3.03238201141357
"642",75.0293,29.5233,2.00135231018066,3.27670931816101
"644",78.0265,30.3232,4.07454109191895,-0.247027888894081
"682",74.3436,31.5497,2.07622838020325,2.66667222976685
"684",77.2219,31.725,1.25888788700104,-1.18946802616119
"691",75.8978,32.3189,3.31314277648926,-0.292707085609436
