"","lon","lat","PC1","PC2"
"2571",12.6073,-18.0818,5.2680721282959,-0.108650892972946
"2573",12.9442,-18.7414,5.70132112503052,-0.425535768270493
"2575",13.245,-17.002,5.68843507766724,0.4958855509758
"2583",13.5526,-12.9324,5.11909341812134,3.30450248718262
"2586",13.5799,-17.3805,4.99989604949951,0.595002889633179
"2592",13.6189,-19.1239,6.1939525604248,-0.593586921691895
"2611",13.8294,-18.0586,5.39848756790161,0.0241772253066301
"2617",13.8738,-20.2332,5.79932498931885,-0.508983612060547
"2685",13.9624,-15.3783,4.75063037872314,2.6348397731781
"2689",14.1145,-17.4301,5.79350662231445,0.319355994462967
"2691",14.1331,-19.8514,5.03479099273682,-0.146584436297417
"2714",14.2628,-11.0682,4.78594636917114,3.24022030830383
"2716",14.3145,-16.5037,5.32942056655884,1.04851722717285
"2717",14.3347,-19.4249,5.60976839065552,-0.437480866909027
"2726",14.3712,-20.5695,6.35225629806519,-0.73670619726181
"2737",14.5626,-17.2478,5.58264398574829,0.363964080810547
"2742",14.6764,-21.0938,6.23118162155151,-0.758504152297974
"2753",14.7605,-19.9685,5.85091352462769,-0.42668229341507
"2763",14.8502,-19.3806,5.54576539993286,-0.477976322174072
"2774",15.1631,-21.8335,5.86781930923462,-0.691498517990112
"2881",15.1788,-20.3042,5.8355917930603,-0.47775262594223
"2911",15.4783,-19.3575,5.82120180130005,-0.544251084327698
"2929",15.5447,-21.5298,5.71767234802246,-0.526353776454926
"2954",15.6988,-22.4552,6.16321992874146,-0.703299582004547
"2956",15.768,-17.7833,5.70423269271851,0.230585217475891
"2958",15.7718,-23.3041,5.89626026153564,-0.914981186389923
"2967",15.8007,-24.4869,5.34876298904419,-1.56569826602936
"3211",15.8876,-23.75,5.40733003616333,-1.08430373668671
"3226",15.9162,-19.181,6.1084566116333,-0.641132831573486
"3295",16.084,-21.3559,5.45477390289307,-0.568017899990082
"3311",16.2387,-24.2633,3.63878083229065,-1.14027166366577
"3329",16.2942,-24.9362,3.96385335922241,-1.70326364040375
"3333",16.3146,-23.2536,4.36639595031738,-0.727238774299622
"3336",16.4223,-25.7524,3.72143530845642,-1.70901727676392
"3341",16.4717,-19.0317,5.85561895370483,-0.130309402942657
"3342",16.652,-20.4731,5.22788143157959,-0.00687835458666086
"3345",16.6669,-21.0396,5.00521373748779,-0.410779267549515
"3349",16.761,-22.5771,4.64277172088623,-0.505750179290771
"3353",16.9237,-24.5654,4.55151796340942,-1.62701916694641
"3359",16.9401,-18.8125,5.69034385681152,0.0432692021131516
"3382",17.0165,-23.3223,4.90287399291992,-1.02394783496857
"3465",17.1256,-20.761,4.96070766448975,-0.331377387046814
"3539",17.1581,-22.2727,4.63425922393799,-0.241813838481903
"3540",17.1606,-19.8804,5.01491975784302,0.470980793237686
"3541",17.1869,-21.556,4.98297119140625,-0.46012082695961
"3544",17.2086,-22.788,4.54989194869995,-0.687135577201843
"3545",17.2091,-19.3919,5.22918176651001,0.247296988964081
"3652",17.3376,-20.3527,4.7559871673584,0.125674992799759
"3661",17.6838,-23.0049,4.9219913482666,-1.06453478336334
"3662",17.8447,-24.4869,5.22066879272461,-1.54520261287689
"3667",17.9208,-25.4352,5.09506177902222,-1.79273808002472
"3669",17.963,-24.0196,5.22504806518555,-1.52474558353424
"3670",18.0366,-27.0309,5.41632223129272,-2.26420521736145
"3672",18.1412,-26.4958,5.37302494049072,-2.04551553726196
"3689",18.4885,-21.4592,4.52361726760864,-0.454312741756439
"3690",18.569,-27.3298,4.5754337310791,-2.20003342628479
"3691",18.608,-25.9409,5.10042428970337,-2.09582161903381
"3695",18.9579,-28.8746,5.29523515701294,-2.40942072868347
"3741",19.3253,-21.7483,4.66936779022217,-0.890940427780151
"3743",19.5413,-28.7079,5.24512529373169,-2.61664628982544
"3745",19.6361,-28.0966,5.04447555541992,-2.57111358642578
"3759",20.1246,-28.8746,4.59753084182739,-2.54545068740845
"3768",20.125,-28.375,4.93225288391113,-2.35209369659424
"3849",20.5413,-28.0413,4.97961282730103,-2.47975039482117
"3885",20.8746,-28.7079,4.86379814147949,-2.52233791351318
"3888",20.8746,-29.2079,4.61502075195312,-2.71087694168091
"3930",21.3746,-28.3746,4.78675413131714,-2.29107785224915
