"","lon","lat","PC1","PC2"
"1348",-3.04193,43.2891,-2.83148431777954,1.81744062900543
"1351",-8.79193,42.0391,-2.30565452575684,3.07574009895325
"1353",0.708067,41.7058,-2.04427814483643,-2.10279607772827
"1356",2.2914,41.6225,-2.05170869827271,-0.385772228240967
"1362",0.291401,41.3725,-1.38807034492493,-2.01613020896912
"1367",-3.54193,40.2891,-1.53344118595123,-2.2203483581543
"1376",-0.291933,39.9558,-1.4780501127243,-1.28777170181274
"1381",-0.875266,39.5391,-2.31502962112427,-1.97667551040649
"1389",-0.791933,38.2058,-0.537608981132507,-1.88224303722382
"1390",-5.29193,37.7058,-0.397590667009354,-1.76082396507263
"1391",-1.04193,37.7058,-0.291818469762802,-2.31950712203979
"1393",-6.04193,37.5391,-0.293996155261993,-1.71700918674469
"1398",-4.4586,36.7891,-0.530904233455658,-1.25909328460693
"1405",-5.37527,36.2058,-0.40391543507576,-0.105341240763664
