"","lon","lat","PC1","PC2"
"1406",1.87473,41.9558,-2.63933753967285,-0.852074861526489
"1409",2.2914,41.6225,-2.02458477020264,-0.472349613904953
"1420",-7.79193,41.2058,-1.82445621490479,1.25902020931244
"1421",0.541401,41.2058,-1.14670026302338,-1.84237635135651
"1422",1.5414,41.2058,-1.62440812587738,-0.664599061012268
"1425",-3.2086,40.7891,-1.90430271625519,-2.14740586280823
"1427",-2.2086,40.7891,-2.33942174911499,-1.59858894348145
"1428",-3.79193,40.5391,-1.63838326931,-2.11098027229309
"1430",0.374734,40.3725,-1.05066335201263,-1.10888683795929
"1434",-3.29193,40.2891,-1.61012315750122,-2.19375038146973
"1436",-5.04193,40.0391,-1.25427329540253,-2.13858294487
"1438",-0.0419328,39.9558,-0.912685751914978,-1.19066190719604
"1440",-0.541933,39.5391,-0.852322518825531,-1.36596143245697
"1443",-5.54193,39.0391,-0.951532125473022,-1.64382672309875
"1444",-0.291933,38.9558,-1.14388966560364,-1.95601677894592
"1446",-1.2086,37.9558,-0.304163962602615,-2.25482487678528
"1447",-4.79193,37.7891,-0.355686157941818,-1.95662403106689
"1451",-5.79193,37.6225,-0.26891827583313,-1.6607871055603
"1461",-6.12527,37.2058,-0.351991146802902,-1.27822744846344
"1467",-4.79193,37.1225,-0.610542178153992,-1.50175452232361
"1473",-4.37527,36.7891,-0.779407560825348,-1.23511052131653
"1481",-3.4586,36.7058,-0.466460824012756,-1.52470898628235
"1484",-5.29193,36.2891,-0.435165047645569,-0.201995074748993
