"","lon","lat","PC1","PC2"
"157341",-58.8818,-34.199,0.884138524532318,-0.498323351144791
"157342",-58.354,-34.6082,0.911484241485596,-1.3801189661026
"157343",-57.1774,-28.5327,2.31804895401001,-1.67256164550781
"157345",-58.484,-21.0186,3.59810733795166,1.42045021057129
"157349",-60.6328,-32.1219,1.47519445419312,0.489251285791397
"157350",-56.3016,-34.5015,0.476011604070663,-1.89565360546112
"157351",-61.0039,-35.544,0.978344142436981,0.446564704179764
"157354",-64.6144,-17.8573,1.88502371311188,2.29530096054077
"157355",-55.6282,-34.7422,0.678969442844391,-2.07429981231689
"157357",-56.3044,-19.9526,4.43823766708374,0.0705867558717728
"157358",-58.0215,-28.7673,2.11582565307617,-0.681868195533752
"157364",-64.8435,-34.8337,0.412652492523193,2.5032057762146
"157365",-58.0321,-20.0159,4.07501935958862,0.794918179512024
"157366",-56.6988,-17.2826,4.55286455154419,0.834515929222107
"157367",-64.4584,-31.7475,0.905491411685944,1.94475245475769
"157368",-65.4798,-31.376,1.27389633655548,2.35105562210083
"157369",-58.7964,-33.4981,1.01317262649536,-0.344474375247955
"157370",-62.7258,-30.9396,1.45335209369659,1.66133499145508
"157372",-63.5333,-31.25,1.39923226833344,1.90377342700958
"157375",-56.7118,-16.5122,4.56026649475098,0.876794040203094
"157377",-64.3406,-31.1632,0.377498745918274,1.84874844551086
"157378",-64.2364,-32.1675,0.943347573280334,2.08509755134583
"157385",-57.5228,-30.944,1.99618077278137,-1.42727887630463
"157390",-62.909,-23.5153,2.96684408187866,2.53247261047363
"157392",-63.9252,-30.0994,1.11770212650299,2.19329571723938
"157397",-62.8833,-28.55,1.78625917434692,2.48233151435852
"157399",-62.7527,-33.1622,0.911575615406036,1.53693664073944
"157404",-65.5994,-37.9983,-0.393373250961304,2.96271014213562
"157405",-64.3732,-34.2242,0.756753325462341,2.08126044273376
"157406",-66.247,-30.5991,1.19574284553528,2.98308539390564
"157407",-63.8112,-30.6233,1.42901492118835,2.15312480926514
"157408",-64.4147,-35.8055,0.559668958187103,1.94794464111328
"157409",-57.7372,-37.9393,-0.00538691412657499,-0.437758952379227
"157412",-55.7102,-27.5571,2.81604480743408,-3.44853734970093
"157421",-57.935,-34.9083,0.700629889965057,-1.05386126041412
"157422",-62.2434,-38.685,0.0594201646745205,1.44294250011444
"157425",-63.2004,-29.2604,1.77638936042786,2.2572124004364
"157429",-50.913,-31.2234,1.69739031791687,-3.38926935195923
"157439",-55.666,-32.6767,1.05352997779846,-2.24446487426758
"157441",-56.3714,-33.9669,0.870365977287292,-2.39792490005493
"157442",-66.05,-33.1167,0.346244633197784,2.54904818534851
"157492",-59.9583,-30.6369,1.86806666851044,0.656609892845154
"157534",-56.8479,-27.8236,2.50779294967651,-1.9458931684494
"157544",-64.2247,-36.9035,0.0486431270837784,2.16250038146973
"157553",-65.7971,-17.9918,2.08001065254211,2.69435691833496
"157559",-58.2222,-26.3434,2.88078880310059,-0.637254595756531
"157568",-59.14,-27.92,2.25654768943787,0.0432880446314812
"157574",-58.2336,-31.8734,1.45793271064758,-0.995520055294037
"157587",-53.3836,-32.598,1.17204689979553,-2.80147409439087
"157588",-55.2062,-34.2798,0.762906014919281,-2.74235701560974
"157589",-52.9001,-32.3386,1.29392611980438,-2.79986572265625
"157592",-53.5547,-33.7052,0.865934312343597,-2.87225031852722
"157595",-58.5023,-32.9802,1.12239301204681,-0.356463313102722
"157597",-59.1849,-30.3878,1.88497292995453,0.299503803253174
"157607",-57.2736,-35.235,0.342031806707382,-0.868884980678558
"157609",-55.7534,-27.0562,2.85935640335083,-3.05616307258606
"157615",-56.9649,-36.4965,-0.262115836143494,-1.31229186058044
"157620",-56.553,-32.8051,1.24427711963654,-1.99789786338806
"157623",-58.4245,-30.6081,1.96830654144287,-0.665030121803284
"157633",-61.1496,-30.1986,1.80687808990479,1.19535410404205
"157636",-55.6272,-29.5014,2.17944550514221,-3.87420558929443
"157644",-63.5418,-33.155,0.937879741191864,1.64315593242645
"157645",-51.1513,-29.8206,2.34177422523499,-3.80884838104248
"157646",-64.3468,-33.1362,0.995875835418701,1.55421233177185
"157651",-54.4075,-33.2115,1.39579498767853,-2.89272785186768
"157657",-67.6225,-39.1128,-1.02251160144806,2.81809520721436
"157659",-63.6471,-32.2463,1.00994312763214,1.91234314441681
"157669",-62.0947,-39.6975,-0.578227996826172,1.75657820701599
"157670",-64.9616,-32.3535,0.0463293865323067,1.67910754680634
"157671",-57.4335,-36.0995,0.0959606766700745,-0.645394027233124
"157674",-59.0155,-26.8925,2.69670915603638,-0.0572472885251045
"157688",-60.6744,-31.6361,1.59869050979614,0.489420622587204
"157690",-64.7314,-36.2862,0.363271117210388,2.15529251098633
"157691",-62.3062,-34.3638,0.922474324703217,0.139460116624832
"157698",-57.6327,-25.276,3.15430426597595,-0.805434465408325
"157700",-65.2993,-43.2481,-1.1685825586319,2.30626010894775
"157713",-63.9045,-22.5602,3.61306118965149,1.26167321205139
"157714",-58.7672,-38.1626,0.00869672372937202,-0.245799615979195
"157722",-65.9223,-32.3968,1.2767550945282,2.36088252067566
"157725",-53.767,-32.2498,1.22916400432587,-2.8222017288208
"157742",-58.8005,-24.8055,2.7521059513092,1.12980234622955
"157744",-60.149,-24.4995,2.66017866134644,1.82051312923431
"157756",-58.1423,-25.044,2.82572150230408,0.54953944683075
"157760",-57.0249,-37.3388,0.0745787248015404,-1.00195217132568
"157765",-58.7924,-35.444,0.729286313056946,-0.376647174358368
"157774",-61.4996,-32.0922,1.3418163061142,0.968810379505157
"157784",-56.539,-28.4088,2.31627750396729,-2.28252196311951
"157786",-64.2058,-24.7341,2.42489504814148,2.75160908699036
"157787",-64.9762,-30.8541,0.926868617534637,2.37819385528564
"157795",-59.1367,-37.3288,0.151563838124275,0.155947998166084
"157796",-61.5099,-25.668,2.36506414413452,2.43782877922058
"157798",-52.6642,-31.8669,1.58459341526031,-2.93951487541199
"157799",-59.4325,-34.2592,1.06712293624878,-0.330976575613022
"157816",-64.2827,-32.6403,0.746209502220154,1.81271243095398
"157833",-65.1811,-31.7731,1.00060415267944,1.7379047870636
"157842",-60.6143,-32.8572,1.18484389781952,0.538779437541962
"157851",-57.6898,-34.3386,0.940172553062439,-1.37314510345459
"157853",-63.5258,-37.7369,-0.338578760623932,2.12217164039612
"157855",-67.9553,-34.0459,-0.446902275085449,3.45357823371887
"157864",-59.6747,-22.5416,2.8943030834198,2.56693935394287
"157866",-56.675,-36.8833,0.00903929769992828,-1.41149163246155
"157868",-52.9072,-28.4836,2.04548621177673,-4.39678812026978
"157873",-62.1348,-31.3195,1.30524325370789,1.43433904647827
"157888",-56.0192,-31.2785,1.47241580486298,-2.47113060951233
"157902",-57.0386,-19.5557,4.34496879577637,0.423880755901337
"157921",-54.1,-27.5038,2.37941217422485,-4.54671001434326
"157941",-58.1249,-32.6506,1.22559535503387,-1.0328962802887
"157947",-64.8614,-33.3263,0.625156044960022,2.012526512146
"157971",-60.2135,-33.3374,0.899966716766357,0.624416708946228
"157973",-60.6845,-29.6716,1.85744428634644,1.02955996990204
"157978",-57.3252,-32.9912,1.33185040950775,-1.83125579357147
"157983",-58.9819,-34.7807,0.929444670677185,-0.471488445997238
"158002",-59.6965,-38.6455,-0.111208386719227,0.169292405247688
"158014",-60.2761,-38.3702,-0.112034410238266,0.5432288646698
"158015",-57.992,-35.5864,0.388378888368607,-0.636576294898987
"158064",-62.6997,-32.6679,0.898243844509125,1.62121260166168
"158069",-64.8526,-27.5028,1.88346195220947,2.14081025123596
"158070",-59.4666,-33.782,1.12995958328247,-0.579203188419342
"158080",-53.8156,-34.33,0.681841671466827,-2.71132278442383
"158115",-60.56,-33.9369,1.04017412662506,0.70737761259079
"158134",-54.2227,-34.662,0.546842575073242,-2.53437852859497
"158142",-59.9727,-29.3514,1.89169347286224,0.666363179683685
"158148",-59.666,-35.4595,0.797237038612366,-0.0127698248252273
"158149",-59.9749,-36.6066,0.424098372459412,0.362414985895157
"158173",-55.9673,-28.4594,2.35234141349792,-2.86313796043396
"158234",-60.4932,-29.0653,1.94431245326996,0.939766228199005
"158239",-61.0011,-29.1637,1.96872627735138,1.31852781772614
"158249",-56.8589,-24.9163,3.52406454086304,-1.05737924575806
"158252",-61.4667,-33.7,0.969170451164246,0.695643305778503
"158253",-59.122,-31.6421,1.6304337978363,0.00460653658956289
"158256",-61.45,-38.9167,-0.0945108085870743,1.04159760475159
"158265",-58.5704,-27.3135,2.70910620689392,-0.856999337673187
"158266",-68.5723,-39.0712,-0.976546108722687,2.90906476974487
"158277",-62.8818,-24.1816,2.52711725234985,2.8404905796051
"158295",-68.0176,-38.694,-0.784014880657196,2.75368762016296
"158300",-61.5023,-21.0415,2.78740477561951,3.05580949783325
"158311",-59.3144,-33.159,1.18467175960541,-0.340120524168015
"158354",-64.6785,-30.0459,1.44360625743866,2.16102242469788
"158370",-61.0026,-31.2402,1.63478934764862,1.03773057460785
"158380",-61.8871,-33.1653,1.05244886875153,1.09950649738312
"158397",-62.6342,-31.91,1.12480521202087,1.64454817771912
"158441",-56.8389,-26.0956,2.72893047332764,-1.57643175125122
"158454",-51.8939,-31.1753,1.69031381607056,-3.23207712173462
"158474",-61.9713,-30.7693,1.57218968868256,1.46325278282166
"158507",-57.4326,-17.6558,4.61818599700928,0.823444664478302
"158516",-63.0742,-38.6269,-0.259921312332153,2.04212713241577
"158523",-56.2061,-16.0775,4.77955341339111,0.794200241565704
"158662",-67.5484,-17.4184,-0.545905292034149,3.07889103889465
"158664",-58.0038,-31.2722,1.83898365497589,-1.1193630695343
"158691",-58.3107,-26.8606,2.85544800758362,-0.797081172466278
"158699",-57.8341,-36.8199,0.162900313735008,-0.270877063274384
"158722",-64.7889,-32.8663,0.682314515113831,1.93221509456635
"158759",-62.7719,-37.553,-0.126829445362091,1.55838859081268
"158761",-62.0597,-24.8276,2.38781070709229,2.65850186347961
"158805",-66.431,-32.6829,1.15745532512665,2.81442809104919
"158833",-67.9833,-32.3833,0.402148008346558,3.85589146614075
"158879",-58.2147,-33.9876,0.983578205108643,-0.791899144649506
"158885",-61.2023,-27.2015,2.36457824707031,1.77262806892395
"158892",-64.3622,-27.651,1.89704668521881,2.79009461402893
"158938",-58.2151,-36.4691,0.312312543392181,-0.177931234240532
"158947",-50.4697,-30.4508,1.85693514347076,-3.74931645393372
"158948",-57.4566,-30.1955,2.1900053024292,-1.76030266284943
"158974",-57.1677,-25.6825,3.180016040802,-1.71117651462555
"158986",-60.6667,-24.1343,2.52917957305908,2.37959790229797
