"","lon","lat","PC1","PC2"
"222373",-16.8018,13.3229,3.19212937355042,-0.528828799724579
"222468",-16.7641,12.7569,3.25120782852173,-1.49044072628021
"222516",-16.7317,14.0307,3.0041389465332,-0.403734624385834
"222834",-16.56,15.2291,2.859778881073,1.16375470161438
"222951",-16.4675,12.2876,3.43508553504944,-1.774733543396
"222958",-16.4536,13.6506,3.1957995891571,-0.0193558111786842
"223004",-16.3818,14.6801,3.13013911247253,1.2527357339859
"223012",-16.3432,16.2542,2.42384028434753,1.430628657341
"223013",-16.3151,13.2091,3.23299241065979,-0.0831375792622566
"223031",-16.1621,14.0989,3.33671569824219,1.11906504631042
"223053",-15.9317,11.7699,3.6941978931427,-2.3761899471283
"223072",-15.8643,13.4217,3.02369165420532,0.527621686458588
"223226",-15.7884,12.3104,3.47069454193115,-1.04147064685822
"223235",-15.6912,16.4381,2.74760293960571,1.91952085494995
"223243",-15.3501,13.7014,3.04941391944885,1.1380101442337
"223256",-15.0909,11.2216,4.25982332229614,-2.960373878479
"223279",-14.8847,13.6972,3.07560467720032,1.04468595981598
"223373",-14.5195,13.3295,2.97970676422119,0.912190139293671
"223386",-13.9949,13.3614,2.81421232223511,0.872092843055725
"223387",-13.3786,12.9772,2.94458508491516,0.498611450195312
"223499",-12.8688,12.8025,3.15014934539795,0.273383498191833
"223501",-12.8101,14.1269,3.13573884963989,0.9502032995224
"223508",-12.4424,14.9163,3.1839656829834,1.492147564888
"223523",-12.3844,12.5209,3.13553547859192,-0.0177700873464346
"223532",-11.5199,13.5664,3.16881465911865,0.831815183162689
"223533",-8.64593,12.2257,2.97578406333923,0.751548886299133
"223537",-8.15834,10.8389,2.95419931411743,0.0509671829640865
"223538",-8.07441,12.7464,2.89090442657471,0.942861795425415
"223544",-8.02036,13.5719,2.76204967498779,1.47315406799316
"223593",-7.5949,12.3945,2.92757773399353,0.883522808551788
"223595",-7.55617,12.8643,2.78860282897949,1.01598012447357
"223600",-6.28547,13.4587,2.82463908195496,1.46970152854919
"223601",-5.63,9.45,2.9433479309082,-1.45748829841614
"223603",-5.2761,6.84255,2.39553928375244,-1.65404891967773
"223604",-5.07173,9.36976,2.67367553710938,-1.37627017498016
"223605",-4.95271,11.0849,2.86506724357605,-0.540549278259277
