"","lon","lat","PC1","PC2"
"13",101.703,3.13912,7.53312349319458,-1.99686002731323
"14",76.946,8.48554,4.99708795547485,0.428357541561127
"53",76.7,11.4,1.67923152446747,-1.12593567371368
"54",77.35,12.58,2.40311455726624,1.75251245498657
"55",79.9801,12.6853,3.67556738853455,1.5116503238678
"116",77.6053,13.0047,2.21376371383667,1.50169193744659
"136",80.1721,13.236,3.80094361305237,1.3863433599472
"137",76.4406,15.1569,2.1731231212616,1.81092524528503
"168",74.5102,15.3339,5.09372568130493,-0.029353030025959
"175",107.58,16.47,5.45459318161011,-1.20685160160065
"177",106.114,16.6962,3.83704566955566,0.0444576293230057
"179",78.26,17.22,1.86385226249695,2.43250560760498
"226",73,19.25,6.16925287246704,0.219870835542679
"227",77,20,2.06654524803162,2.3918445110321
"228",85.5,20.13,3.25491809844971,1.09959137439728
"270",99.8631,20.3287,3.37664818763733,0.724348545074463
"271",79.559,21.1188,2.40758371353149,2.20735836029053
"312",71.394,21.602,1.62300741672516,2.87549781799316
"313",80.33,21.97,2.63418960571289,1.62465715408325
"318",88.21,22.35,3.00909328460693,0.824938416481018
"321",80.703,22.4492,2.1639986038208,1.79394423961639
"361",72.5826,23.0293,1.8665212392807,2.89947700500488
"403",77.42,23.03,2.19731998443604,2.4791042804718
"404",79.8009,23.1344,1.99526357650757,2.39301013946533
"495",78.7197,23.5806,2.19131994247437,2.27676367759705
"498",91.9805,24.5913,5.27359580993652,-1.43999743461609
"501",68.05,24.95,0.951170384883881,2.87244534492493
"506",94.05,25.3,2.81230211257935,-1.49810469150543
"508",92.6667,25.45,3.9260036945343,-1.50336790084839
"512",91.423,26.0709,3.29289078712463,-0.0472870245575905
"533",88.25,26.75,5.75530004501343,-1.50550544261932
"534",80.9338,26.8414,1.52068054676056,2.39690470695496
"628",84.9833,27.2833,3.33543992042542,-0.12736913561821
"629",95.73,27.3,4.33161640167236,-1.38261044025421
"631",85.25,27.8295,2.5960533618927,-1.30125594139099
"635",84.2285,27.969,4.13074016571045,-1.15280389785767
"641",76.893,28.464,0.524046421051025,2.64868640899658
"642",75.0293,29.5233,0.100187435746193,2.90390276908875
"644",78.0265,30.3232,3.11860203742981,0.142906278371811
"682",74.3436,31.5497,0.388163536787033,2.3930230140686
"684",77.2219,31.725,1.21055960655212,-1.26270234584808
"691",75.8978,32.3189,2.55067539215088,0.14838220179081
