"","lon","lat","PC1","PC2"
"60",12.4581,44.9558,-1.10321891307831,-0.577959179878235
"61",10.3747,43.8725,-0.129095643758774,-0.593326568603516
"65",-2.9586,43.2891,0.657036244869232,-1.57410907745361
"66",3.12473,42.2891,-0.295439720153809,0.234878733754158
"68",2.70807,41.7891,-0.158223822712898,-0.157600522041321
"72",0.624734,41.5391,-1.18220925331116,1.05989396572113
"75",2.20807,41.4558,-0.193664535880089,-0.0146691631525755
"80",-3.79193,41.2058,-1.46076118946075,0.157343372702599
"82",-3.54193,40.4558,-1.05869972705841,1.13805413246155
"91",-6.62527,40.1225,-0.236727714538574,0.506228148937225
"106",-5.79193,39.9558,-0.583834111690521,1.03090524673462
"108",-4.87527,39.9558,-0.844687044620514,1.10488224029541
"110",-3.79193,39.9558,-0.910453975200653,1.23705780506134
"113",-7.12527,39.8725,-0.154986545443535,0.789226949214935
"123",3.12473,39.7891,0.173511207103729,0.4794702231884
"124",-0.291933,39.7058,-0.0655929148197174,0.76137638092041
"128",-6.37527,39.4558,-0.507782399654388,1.09027850627899
"129",-8.54193,39.3725,0.247539758682251,0.395443946123123
"132",-5.7086,39.3725,-0.69387823343277,0.862097501754761
"138",-7.04193,39.1225,-0.323447346687317,1.11872553825378
"146",-5.12527,39.1225,-0.73156875371933,1.07541811466217
"154",-8.9586,38.9558,0.346289992332458,0.242916479706764
"161",-6.4586,38.9558,-0.375631183385849,1.45531117916107
"196",-7.4586,38.6225,-0.219301789999008,0.948448479175568
"198",-8.7086,38.4558,0.272500544786453,0.397228956222534
"204",-6.62527,38.3725,-0.425113320350647,1.20945703983307
"210",-8.04193,38.2058,-0.000265407637925819,1.10275256633759
"212",-0.625266,38.2058,-0.0151077620685101,1.2366509437561
"219",-5.54193,37.7058,-0.205675765872002,1.55336129665375
"221",-8.7086,37.6225,0.19414047896862,0.426180630922318
"224",-7.4586,37.5391,-0.010619536973536,1.21115028858185
"227",-6.2086,37.5391,-0.0763872787356377,1.58505713939667
"235",-3.62527,37.2058,-0.747033655643463,1.6282205581665
"236",-6.4586,37.1225,0.0720972418785095,1.38080525398254
"240",-5.79193,37.1225,0.100563190877438,1.42538905143738
"246",-4.87527,36.8725,-0.249270379543304,0.986387431621552
"251",-4.12527,36.7891,0.0940499827265739,1.31000125408173
"254",-3.04193,36.7891,-0.417813837528229,1.31590437889099
"260",-5.9586,36.2891,0.427106291055679,0.731887757778168
"261",-5.37527,36.2058,0.664809286594391,0.522541403770447
