"","lon","lat","PC1","PC2"
"395",-8.4586,43.2891,-2.39863157272339,2.01804828643799
"397",-9.04193,43.1225,-2.43580293655396,1.79139375686646
"402",-8.79193,42.7058,-2.60061144828796,2.84266090393066
"408",-7.62527,42.5391,-2.59916162490845,2.45775651931763
"416",-8.54193,42.2891,-2.62964415550232,3.16466093063354
"435",2.62473,42.0391,-2.77806305885315,0.0160741601139307
"439",1.87473,41.9558,-2.82349586486816,-0.741651058197021
"442",-8.79193,41.8725,-2.29372835159302,2.78207588195801
"450",-7.4586,41.7891,-2.30487990379333,2.75973343849182
"451",0.791401,41.7891,-2.28649854660034,-1.8476939201355
"474",-8.29193,41.6225,-2.00640153884888,1.9763251543045
"482",2.2914,41.6225,-2.17228651046753,-0.326416283845901
"509",0.291401,41.4558,-1.46797204017639,-1.9992870092392
"522",-7.7086,41.3725,-2.52816247940063,1.07833933830261
"524",-7.04193,41.3725,-2.05634093284607,0.973717272281647
"531",-8.7086,41.2891,-1.88814449310303,2.07229375839233
"542",1.87473,41.2891,-2.15360546112061,-0.239445090293884
"572",1.20807,41.1225,-1.74400758743286,-0.901027321815491
"579",-8.29193,40.9558,-2.12035250663757,1.7950451374054
"591",-8.7086,40.6225,-1.65991985797882,1.02452707290649
"597",-7.87527,40.6225,-1.89719724655151,2.42918634414673
"620",-7.29193,40.3725,-1.83084380626678,0.420489758253098
"621",0.374734,40.3725,-1.15304517745972,-0.985828757286072
"629",-8.4586,40.2058,-1.24079346656799,0.328158974647522
"634",-5.9586,40.2058,-2.12885069847107,-0.647858321666718
"656",-5.29193,39.9558,-1.29836690425873,-1.99771451950073
"657",-0.291933,39.9558,-1.52717280387878,-1.20284569263458
"660",-8.9586,39.8725,-1.41473960876465,0.43538972735405
"667",-7.29193,39.8725,-1.02181148529053,-0.803244233131409
"677",-8.04193,39.7891,-1.43188798427582,0.0944744572043419
"681",3.0414,39.7891,-1.19940936565399,-0.460934340953827
"716",-8.54193,39.5391,-1.09773671627045,-0.176523223519325
"727",-6.62527,39.5391,-1.18983793258667,-1.40689158439636
"729",-5.79193,39.5391,-1.3347977399826,-1.67071390151978
"730",-0.541933,39.5391,-0.943618774414062,-1.24994540214539
"733",2.45807,39.5391,-1.08037209510803,-1.1212682723999
"735",-9.2086,39.4558,-1.45700061321259,0.456311881542206
"750",-7.54193,39.4558,-1.17449450492859,-0.770990550518036
"756",-4.2086,39.4558,-1.74915421009064,-2.03279709815979
"807",-5.12527,39.2891,-1.26852488517761,-1.87036192417145
"820",-8.12527,39.2058,-0.927937090396881,-0.553398489952087
"835",-8.79193,39.1225,-0.936016976833344,-0.166352480649948
"855",-0.291933,39.1225,-0.962938249111176,-1.40848505496979
"878",-7.29193,39.0391,-1.03192055225372,-1.20101356506348
"882",-6.7086,39.0391,-0.850105702877045,-1.67116510868073
"884",-6.04193,39.0391,-0.958340466022491,-1.43990886211395
"893",-9.37527,38.9558,-1.32632172107697,0.401632308959961
"973",-8.37527,38.7891,-0.873870730400085,-0.50924277305603
"987",-5.54193,38.7891,-0.869818031787872,-1.75868475437164
"1013",-8.9586,38.6225,-0.826777398586273,-0.159891068935394
"1023",-7.7086,38.6225,-0.86423933506012,-1.03908622264862
"1027",-0.0419328,38.6225,-0.871337890625,-1.88513028621674
"1060",-6.87527,38.4558,-1.14711439609528,-1.25931203365326
"1063",-0.875266,38.4558,-1.1887104511261,-2.17664623260498
"1080",-6.2086,38.3725,-1.12607312202454,-1.44285011291504
"1084",-8.54193,38.2891,-0.792808890342712,-0.504677534103394
"1105",-7.37527,38.2058,-0.728592038154602,-1.2506468296051
"1110",-4.04193,38.2058,-1.0802218914032,-2.1352207660675
"1122",-7.9586,38.1225,-0.65006160736084,-1.12613320350647
"1132",-1.29193,38.1225,-0.568756937980652,-2.13272070884705
"1154",-5.29193,37.9558,-0.877706110477448,-1.54156136512756
"1155",-4.7086,37.9558,-0.676026344299316,-1.78810954093933
"1158",-8.79193,37.8725,-0.882182717323303,-0.211343288421631
"1189",-7.62527,37.7058,-0.542492628097534,-1.24560141563416
"1191",-6.2086,37.7058,-0.67625230550766,-1.49418485164642
"1195",-1.04193,37.7058,-0.265661925077438,-2.18431854248047
"1210",-7.04193,37.5391,-0.514716148376465,-1.38297069072723
"1219",-8.54193,37.4558,-0.817316889762878,-0.532954752445221
"1245",-5.2086,37.3725,-0.377561986446381,-1.58479928970337
"1256",-6.54193,37.2891,-0.42111149430275,-1.39648759365082
"1262",-5.9586,37.2891,-0.330175459384918,-1.41135239601135
"1275",-8.04193,37.2058,-0.699961066246033,-0.811221420764923
"1281",-7.4586,37.2058,-0.391495704650879,-1.07026565074921
"1291",-3.87527,37.2058,-0.674876749515533,-2.25243997573853
"1316",-8.9586,37.0391,-0.86738646030426,-0.0128932232037187
"1330",-6.29193,36.8725,-0.471668779850006,-1.01086115837097
"1333",-4.7086,36.7891,-0.502094268798828,-0.973480999469757
"1336",-4.12527,36.7891,-0.375641793012619,-1.25453197956085
"1338",-5.62527,36.7058,-0.649663269519806,-0.722747027873993
"1346",-5.12527,36.4558,-0.550569713115692,-0.301356732845306
