"","lon","lat","PC1","PC2"
"14147",-11.1127,9.18345,0.946539640426636,5.80074071884155
"14148",-10.1496,8.55183,1.71047210693359,5.53039073944092
"14149",-8.53551,7.56391,1.46583521366119,4.63140726089478
"14512",8.64092,3.35098,-1.25347006320953,8.40438938140869
"14578",9.375,6.375,1.05951416492462,5.50107717514038
"14588",9.42455,-1.97543,1.38610923290253,4.33545303344727
"14593",9.54768,1.462,1.02341771125793,7.22346591949463
"14596",9.67926,4.83063,0.678989231586456,7.59810209274292
"14624",9.75805,-2.52712,1.36789107322693,3.94029378890991
"14627",9.84148,3.80087,1.46290326118469,7.89825820922852
"14628",10.0652,5.44611,1.43202900886536,4.66898727416992
"14629",10.0682,-0.823089,1.75771653652191,5.18687200546265
"14630",10.163,5.94878,1.28042805194855,5.34422397613525
"14645",10.617,6.2296,0.204405456781387,4.63033819198608
"14646",10.6354,5.63567,0.947777688503265,4.32659912109375
"14647",11.4019,-3.84426,1.44906413555145,2.902991771698
"14648",11.4617,3.87183,1.06793320178986,4.32752084732056
"14672",11.6419,3.3756,1.0225282907486,4.56827259063721
"14673",11.6553,6.0884,1.61692070960999,3.66662263870239
"14674",11.7111,5.40021,1.71342134475708,3.65139961242676
"14675",11.7693,-17.2764,0.818455636501312,-1.10292994976044
"14676",11.9794,-15.7776,1.82827389240265,-1.27175319194794
"14677",12.0247,-4.9762,1.39310491085052,2.1033399105072
"14682",12.2462,3.76983,1.3293913602829,4.06278419494629
"14683",12.3602,-5.9599,1.79208207130432,1.55342555046082
"14684",12.6073,-18.0818,0.868380606174469,-0.893581390380859
"14685",12.6333,6.46667,1.69361889362335,3.54394483566284
"14686",12.7334,3.38292,1.15715384483337,4.21740865707397
"14687",12.7749,0.544685,1.17051374912262,4.05913877487183
"14698",12.9136,-18.8055,1.07856774330139,-1.12230730056763
"14699",12.9723,-12.9472,1.76214134693146,-0.0465711168944836
"14700",13.0315,-5.01682,1.29574143886566,2.32222890853882
"14701",13.0606,-20.0266,0.442300736904144,-1.1702378988266
"14709",13.2256,0.77237,1.02541089057922,4.14790868759155
"14710",13.245,-17.002,1.33389115333557,-0.657480597496033
"14713",13.2689,-9.62194,1.52711391448975,0.838466703891754
"14716",13.3041,-15.15,0.317511171102524,0.814875960350037
