"","lon","lat","PC1","PC2"
"127650",-1.86159,9.25918,2.60365796089172,1.42979466915131
"127651",36.7912,-1.37458,0.436821132898331,1.56769049167633
"127655",28.5155,-26.3351,-0.873235464096069,-0.458522796630859
"127657",28.3183,-25.9026,-0.584088504314423,-0.190410852432251
"127658",30.3746,-27.1246,-0.788785040378571,0.307848215103149
"127660",26.8746,-26.6246,-0.582206904888153,-0.990057349205017
"127666",26.9579,-25.4579,-0.00355254532769322,-0.85568380355835
"127670",29.5413,-23.8746,-0.440835326910019,-0.0807837247848511
"127671",28.8746,-28.2913,-1.31340074539185,-0.3625508248806
"127672",25.4579,-30.7079,-1.09264874458313,-2.14795231819153
"127675",28.7913,-25.6246,-0.357875764369965,-0.320441007614136
"127678",28.2913,-28.3746,-1.57039070129395,-0.52924245595932
"127679",28.0413,-26.9579,-0.927915871143341,-0.972197115421295
"127680",29.6246,-27.5413,-1.37595069408417,-0.295357823371887
"127682",29.2079,-28.9579,-1.35532760620117,1.46471583843231
"127684",28.0413,-25.1246,0.0413143187761307,-0.998794138431549
"127692",29.8746,-26.8746,-1.17569983005524,-0.281108379364014
"127703",29.8746,-26.2079,-1.10890471935272,-0.122789487242699
"127710",29.3746,-27.9579,-1.41077935695648,-0.285793304443359
"127711",27.4579,-25.5413,0.0771044865250587,-0.999489724636078
"127715",1.4123,11.2346,3.0627875328064,1.30126774311066
"127719",25.6246,-27.6246,-0.669084906578064,-1.88105988502502
"127722",27.7079,-26.2079,-0.937630534172058,-0.4254429936409
"127724",26.9579,-27.1246,-0.542414128780365,-1.2557635307312
"127726",27.1246,-24.8746,0.106851831078529,-1.06499350070953
"127732",28.8746,-26.7079,-0.930043339729309,-0.547676563262939
"127737",26.3746,-28.3746,-0.976354539394379,-1.83863878250122
"127740",29.3746,-29.7913,-1.59889221191406,0.873064279556274
"127742",28.7079,-27.2079,-1.23597800731659,-0.826272666454315
"127744",25.4579,-32.1246,-0.957119882106781,-1.61607992649078
"127747",24.6246,-29.0413,-0.231242716312408,-2.11874628067017
"127750",27.2079,-28.3746,-0.93602043390274,-1.48678910732269
"127762",28.5413,-27.8746,-1.47619152069092,-0.724572837352753
"127775",30.2079,-29.0413,-1.00115644931793,0.364914983510971
