"","lon","lat","PC1","PC2"
"1627",4.87473,52.3725,-2.63110160827637,-1.33609390258789
"1629",5.95807,52.2058,-2.88276958465576,-1.55344247817993
"1630",4.45807,51.9558,-2.5972855091095,-1.36406743526459
"1631",-0.291933,51.7058,-2.89754462242126,-1.03862881660461
"1641",4.7914,51.2058,-2.84534811973572,-1.2986615896225
"1642",4.0414,50.9558,-2.79074382781982,-1.28920102119446
"1657",13.3747,46.2891,-2.05937242507935,-3.27891683578491
"1658",8.70807,45.7891,-2.25201201438904,-1.02850043773651
"1659",11.2914,45.7891,-3.16604161262512,-0.424314677715302
"1660",10.6247,45.3725,-2.61243152618408,-0.180966645479202
"1661",7.45807,44.6225,-2.6347873210907,-0.428039491176605
"1662",8.95807,44.6225,-1.56778073310852,-1.01440703868866
"1694",9.45807,44.2891,-1.2390604019165,-0.703999876976013
"1696",10.7081,43.7891,-1.48736393451691,0.389820426702499
"1698",11.1247,43.4558,-1.63574075698853,0.411200612783432
"1699",-8.9586,43.2058,-1.00788176059723,-0.797840714454651
"1700",-1.62527,43.1225,-1.4174108505249,-1.42282164096832
"1701",5.87473,43.1225,-1.54947733879089,0.774265289306641
"1703",-8.79193,42.5391,-0.450803011655807,-1.08648788928986
"1704",-2.4586,42.5391,-2.29216408729553,0.535639226436615
"1705",3.12473,42.3725,-1.78109622001648,0.61251437664032
"1712",0.958067,42.2058,-2.56413340568542,0.0261460412293673
"1713",2.20807,42.2058,-2.64286708831787,-0.718080937862396
"1717",-0.375266,42.1225,-2.32287168502808,0.883666932582855
"1721",11.7914,42.1225,-1.85733020305634,1.04400873184204
"1723",-1.62527,42.0391,-2.08336067199707,1.10902285575867
"1726",1.5414,41.9558,-2.50144577026367,0.0136194257065654
"1730",2.7914,41.9558,-1.61235666275024,0.381197422742844
"1732",12.4581,41.9558,-1.7617015838623,1.13361382484436
"1733",-8.79193,41.8725,-0.386932700872421,-0.939725041389465
"1743",-2.4586,41.7891,-2.85183048248291,0.77001816034317
"1744",0.541401,41.7891,-2.54187321662903,1.26875483989716
"1753",-4.7086,41.7058,-2.69671988487244,1.17386603355408
"1754",-1.04193,41.7058,-2.38986682891846,1.25235497951508
"1766",2.20807,41.7058,-2.01262021064758,-0.151805534958839
"1795",-6.2086,41.5391,-1.98725759983063,0.596035420894623
"1814",0.291401,41.3725,-1.97551226615906,1.65472018718719
"1815",1.62473,41.3725,-1.71497213840485,0.52396684885025
"1822",-0.791933,41.2891,-2.52055788040161,1.53881180286407
"1829",-8.7086,41.2058,-0.646876394748688,-0.17240959405899
"1831",0.958067,41.2058,-2.0932559967041,0.716268181800842
"1848",-5.7086,41.0391,-2.47749614715576,0.996088683605194
"1852",0.291401,40.8725,-2.2954158782959,0.950286269187927
"1853",-1.12527,40.7891,-3.14444756507874,1.14674305915833
"1854",-4.12527,40.7058,-2.99149250984192,0.0864076763391495
"1857",-3.37527,40.7058,-2.61225700378418,1.5471465587616
"1880",-3.79193,40.2891,-2.29794359207153,1.59468424320221
"1888",-3.04193,40.1225,-2.30032062530518,1.93560862541199
"1889",-1.37527,40.1225,-3.07481932640076,1.06030344963074
"1891",-0.0419328,40.1225,-1.70736312866211,1.39143860340118
"1894",-4.7086,40.0391,-2.20321774482727,1.81414198875427
"1900",3.87473,40.0391,-1.29119384288788,0.964708030223846
"1910",2.87473,39.8725,-1.71050202846527,0.569627046585083
"1922",-0.291933,39.7058,-1.39852201938629,1.45267522335052
"1945",3.37473,39.6225,-1.18935859203339,1.17357492446899
"1946",-1.29193,39.5391,-2.30586385726929,1.61675560474396
"1951",2.37473,39.5391,-1.50550782680511,1.45119249820709
"1962",-5.87527,39.4558,-1.83265674114227,1.87219130992889
"1972",-3.87527,39.3725,-2.4589569568634,1.5862330198288
"1973",-2.79193,39.3725,-2.21485233306885,2.17304420471191
"1987",-0.541933,39.2058,-1.37130236625671,1.74384653568268
"1989",9.12473,39.2058,-1.57903039455414,1.73421812057495
"1993",-1.29193,39.0391,-2.60375380516052,1.46083915233612
"1995",1.37473,39.0391,-1.45506489276886,1.47457075119019
"1998",-3.37527,38.9558,-2.1877589225769,2.298175573349
"2003",-6.37527,38.8725,-1.51365089416504,2.1341233253479
"2006",-9.12527,38.7891,-0.929153621196747,1.13854289054871
"2010",-0.875266,38.7058,-2.26103043556213,1.89915406703949
"2014",-2.62527,38.2891,-2.72650194168091,1.63866782188416
"2015",-0.708599,38.2058,-1.32007932662964,2.04761052131653
"2018",23.7914,38.1225,-1.8225269317627,1.40536570549011
"2019",-3.62527,38.0391,-1.60422694683075,2.62228894233704
"2026",-4.79193,37.8725,-1.31612956523895,2.50072407722473
"2029",-0.875266,37.7058,-1.27931010723114,2.49319911003113
