"","lon","lat","PC1","PC2"
"2114",-8.9586,43.2058,-2.43118262290955,1.85985100269318
"2115",3.0414,42.2058,-1.75379180908203,-0.791652500629425
"2116",-8.79193,41.9558,-2.29817271232605,2.83048033714294
"2117",2.70807,41.7058,-2.10029172897339,-0.191142573952675
"2120",2.12473,41.4558,-2.45088911056519,-0.425004601478577
"2122",-8.62527,41.1225,-1.78522157669067,1.70384633541107
"2126",0.791401,40.7058,-1.23046624660492,-0.499614238739014
"2127",-8.54193,40.5391,-1.53519487380981,0.813922941684723
"2129",0.374734,40.3725,-1.15304517745972,-0.985828757286072
"2133",-8.79193,40.1225,-1.38128793239594,0.411792188882828
"2138",-0.375266,39.5391,-0.940786719322205,-1.05178391933441
"2139",-8.54193,39.4558,-0.980379819869995,-0.255715012550354
"2142",-9.29193,39.3725,-1.43306136131287,0.441705465316772
"2154",-8.87527,39.0391,-0.937790513038635,-0.0734070539474487
"2161",-0.541933,38.9558,-0.973905622959137,-1.73402869701385
"2177",-0.0419328,38.6225,-0.871337890625,-1.88513028621674
"2178",-9.12527,38.5391,-0.973109841346741,0.0261950027197599
"2182",-8.4586,38.5391,-0.804183185100555,-0.529242515563965
"2193",-8.04193,38.2058,-0.637791752815247,-1.02975726127625
"2194",-8.79193,38.1225,-0.889128923416138,-0.160853430628777
"2197",-7.12527,37.9558,-0.826343655586243,-1.26161754131317
"2199",-5.79193,37.6225,-0.365084052085876,-1.551513671875
"2201",-8.79193,37.3725,-0.867049276828766,-0.204802557826042
"2206",-6.29193,37.2058,-0.385041385889053,-1.35645258426666
"2223",-8.04193,37.0391,-0.540116846561432,-0.618770658969879
"2229",-3.62527,37.0391,-1.24408209323883,-2.06142425537109
"2232",-4.4586,36.7891,-0.578784167766571,-1.10456705093384
"2238",-5.9586,36.2891,-0.539862513542175,-0.370186626911163
